omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,3133,6144.000000,2163.507554,3.91477,9.11073,job.586431.out
4,3,8,6,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,2103,9216.000000,2159.621009,3.94872,9.18976,job.586432.out
4,3,8,8,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,1615,12288.000000,2182.234239,4.00134,9.3122,job.586433.out
4,3,8,10,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,1287,15360.000000,2175.676913,3.99786,9.30412,job.586434.out
4,3,8,12,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,1037,18432.000000,2156.750020,3.89946,9.0751,job.586435.out
4,3,8,14,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,862,21504.000000,2142.366354,3.80702,8.85998,job.586436.out
4,3,8,16,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,714,24576.000000,2126.221860,3.63123,8.45086,job.586437.out
4,3,8,18,16,16,16,18,8,8,8,AVX2,NEW,12345,1320,3072,28311552,623,27648.000000,2119.055069,3.57653,8.32357,job.586438.out
4,3,8,20,16,16,16,20,8,8,8,AVX2,NEW,12345,1320,3072,31457280,543,30720.000000,2106.771742,3.48382,8.10781,job.586439.out
4,3,8,22,16,16,16,22,8,8,8,AVX2,NEW,12345,1320,3072,34603008,498,33792.000000,2137.312664,3.4644,8.0626,job.586440.out
4,3,8,24,16,16,16,24,8,8,8,AVX2,NEW,12345,1320,3072,37748736,452,36864.000000,2181.218341,3.3612,7.82243,job.586441.out
4,3,8,26,16,16,16,26,8,8,8,AVX2,NEW,12345,1320,3072,40894464,386,39936.000000,2040.267495,3.32443,7.73686,job.586442.out
4,3,8,28,16,16,16,28,8,8,8,AVX2,NEW,12345,1320,3072,44040192,360,43008.000000,2077.264107,3.27954,7.63238,job.586443.out
4,3,8,30,16,16,16,30,8,8,8,AVX2,NEW,12345,1320,3072,47185920,340,46080.000000,2099.509222,3.28342,7.64141,job.586444.out
2,3,16,8,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,1598,6144.000000,2178.432438,1.98306,4.61513,job.586446.out
4,3,8,32,16,16,16,32,8,8,8,AVX2,NEW,12345,1320,3072,50331648,317,49152.000000,2126.716783,3.22362,7.50224,job.586445.out
2,3,16,10,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,1254,7680.000000,2130.581117,1.9889,4.62872,job.586447.out
2,3,16,12,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,1030,9216.000000,2152.338419,1.94054,4.51616,job.586448.out
2,3,16,14,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,840,10752.000000,2109.211507,1.88409,4.38479,job.586449.out
2,3,16,16,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,725,12288.000000,2137.530403,1.83383,4.26783,job.586450.out
2,3,16,18,16,16,16,9,8,8,8,AVX2,NEW,12345,1320,3072,14155776,635,13824.000000,2125.475272,1.81721,4.22913,job.586451.out
2,3,16,20,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,567,15360.000000,2151.196355,1.78134,4.14566,job.586452.out
2,3,16,22,16,16,16,11,8,8,8,AVX2,NEW,12345,1320,3072,17301504,509,16896.000000,2148.767990,1.76102,4.09838,job.586453.out
2,3,16,24,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,460,18432.000000,2140.233561,1.7431,4.05666,job.586454.out
2,3,16,26,16,16,16,13,8,8,8,AVX2,NEW,12345,1320,3072,20447232,406,19968.000000,2038.720390,1.74967,4.07195,job.586455.out
2,3,16,28,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,370,21504.000000,2035.442736,1.71995,4.00278,job.586456.out
2,3,16,30,16,16,16,15,8,8,8,AVX2,NEW,12345,1320,3072,23592960,365,23040.000000,2148.694755,1.72208,4.00775,job.586457.out
2,3,16,32,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,332,24576.000000,2136.728357,1.68017,3.91021,job.586458.out
1,3,32,16,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,694,6144.000000,2052.723342,0.913972,2.12706,job.586459.out
1,3,32,20,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,564,7680.000000,2145.537026,0.888295,2.0673,job.586460.out
1,3,32,24,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,464,9216.000000,2099.636173,0.896126,2.08553,job.586461.out
1,3,32,28,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,393,10752.000000,2124.840661,0.875,2.03636,job.586462.out
1,3,32,32,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,346,12288.000000,2143.044218,0.872929,2.03154,job.586430.out
