omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,5801,6144.000000,2111.390867,7.42742,17.2856,job.586204.out
4,3,8,6,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,3871,9216.000000,2095.067585,7.49239,17.4368,job.586205.out
4,3,8,10,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,2352,15360.000000,2078.609629,7.6473,17.7974,job.586207.out
4,3,8,8,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,3107,12288.000000,2197.203396,7.64548,17.7931,job.586206.out
4,3,8,12,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,1903,18432.000000,2109.455656,7.31633,17.0271,job.586208.out
4,3,8,14,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1560,21504.000000,2079.131864,7.09928,16.522,job.586209.out
4,3,8,16,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,1264,24576.000000,2115.883150,6.4598,15.0337,job.586210.out
4,3,8,18,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,1083,27648.000000,2214.918663,5.94822,13.8431,job.586211.out
4,3,8,20,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,876,30720.000000,2163.768514,5.47227,12.7355,job.586212.out
4,3,8,22,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,749,33792.000000,2141.282203,5.20085,12.1038,job.586213.out
4,3,8,24,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,659,36864.000000,2131.675392,5.01441,11.6699,job.586214.out
4,3,8,26,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,612,39936.000000,2208.682530,4.86895,11.3314,job.586215.out
4,3,8,28,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,554,43008.000000,2194.896012,4.77637,11.1159,job.586216.out
4,3,8,30,16,16,16,30,8,8,8,AVX2,OLD,12345,1320,3072,47185920,508,46080.000000,2203.923498,4.67339,10.8763,job.586217.out
4,3,8,32,16,16,16,32,8,8,8,AVX2,OLD,12345,1320,3072,50331648,453,49152.000000,2168.284974,4.51831,10.5153,job.586218.out
2,3,16,8,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,3244,6144.000000,2133.481715,4.11051,9.56628,job.586219.out
2,3,16,10,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,2482,7680.000000,2067.940056,4.05581,9.43898,job.586220.out
2,3,16,12,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,1959,9216.000000,2052.790945,3.86977,9.006,job.586221.out
2,3,16,14,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,1567,10752.000000,2098.890007,3.532,8.21994,job.586222.out
2,3,16,16,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,1295,12288.000000,2125.405195,3.29429,7.66671,job.586223.out
2,3,16,18,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,1065,13824.000000,2117.658779,3.059,7.11914,job.586224.out
2,3,16,20,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,902,15360.000000,2106.927072,2.89335,6.73361,job.586225.out
2,3,16,22,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,772,16896.000000,2109.828677,2.72024,6.33073,job.586226.out
2,3,16,24,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,694,18432.000000,2124.763749,2.64895,6.16483,job.586227.out
2,3,16,26,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,651,19968.000000,2202.131792,2.59732,6.04466,job.586228.out
2,3,16,28,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,574,21504.000000,2101.684496,2.58414,6.014,job.586229.out
2,3,16,30,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,532,23040.000000,2130.004030,2.53202,5.89269,job.586230.out
2,3,16,32,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,497,24576.000000,2160.990902,2.48695,5.78781,job.586231.out
1,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,1349,6144.000000,2100.211768,1.73641,4.0411,job.586232.out
1,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,963,7680.000000,2060.639653,1.5792,3.67524,job.586233.out
1,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,775,9216.000000,2061.671298,1.52432,3.54752,job.586234.out
1,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,652,10752.000000,2081.554704,1.48184,3.44865,job.586235.out
1,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,562,12288.000000,2079.544324,1.46117,3.40055,job.586203.out
