omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,6,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,5316,9216.000000,2025.630224,10.6419,24.7666,job.585986.out
4,3,8,4,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,8666,6144.000000,2182.328114,10.735,24.9833,job.585985.out
4,3,8,8,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,4103,12288.000000,2074.225970,10.695,24.8901,job.585987.out
4,3,8,10,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,3243,15360.000000,2041.721234,10.7348,24.9828,job.585988.out
4,3,8,12,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,2633,18432.000000,2045.638790,10.4387,24.2937,job.585989.out
4,3,8,14,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,2167,21504.000000,2074.089134,9.88561,23.0065,job.585990.out
4,3,8,16,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,1797,24576.000000,2191.840891,8.86549,20.6324,job.585991.out
4,3,8,18,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,1397,27648.000000,2152.675239,7.89468,18.3731,job.585992.out
4,3,8,20,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,1139,30720.000000,2186.880432,7.04,16.384,job.585993.out
4,3,8,22,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,937,33792.000000,2099.879138,6.63456,15.4404,job.585994.out
4,3,8,24,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,834,36864.000000,2198.871075,6.15207,14.3175,job.585995.out
4,3,8,26,16,16,16,26,8,8,8,MACRO,OLD,12345,1320,3072,40894464,727,39936.000000,2164.182313,5.9028,13.7374,job.585996.out
4,3,8,28,16,16,16,28,8,8,8,MACRO,OLD,12345,1320,3072,44040192,642,43008.000000,2146.977802,5.65861,13.1691,job.585997.out
4,3,8,30,16,16,16,30,8,8,8,MACRO,OLD,12345,1320,3072,47185920,573,46080.000000,2102.943584,5.52449,12.857,job.585998.out
4,3,8,32,16,16,16,32,8,8,8,MACRO,OLD,12345,1320,3072,50331648,523,49152.000000,2091.759670,5.40734,12.5844,job.585999.out
2,3,16,8,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3998,6144.000000,2001.850602,5.39902,12.565,job.586000.out
2,3,16,10,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,3508,7680.000000,2193.745652,5.40365,12.5758,job.586001.out
2,3,16,12,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2472,9216.000000,2054.627103,4.87877,11.3542,job.586002.out
2,3,16,14,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,2006,10752.000000,2106.865887,4.50439,10.4829,job.586003.out
2,3,16,16,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,1571,12288.000000,2098.135542,4.04834,9.42158,job.586004.out
2,3,16,18,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,1344,13824.000000,2121.448728,3.85348,8.9681,job.586005.out
2,3,16,20,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1171,15360.000000,2155.479693,3.67161,8.54484,job.586006.out
2,3,16,22,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,928,16896.000000,2074.401363,3.32577,7.73997,job.586007.out
2,3,16,24,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,864,18432.000000,2215.992435,3.16206,7.35898,job.586008.out
2,3,16,26,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,768,19968.000000,2043.181651,3.30249,7.68579,job.586009.out
2,3,16,28,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,667,21504.000000,2014.713680,3.13245,7.29007,job.586010.out
2,3,16,30,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,629,23040.000000,2142.183575,2.97666,6.9275,job.586011.out
2,3,16,32,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,620,24576.000000,2155.184970,3.11079,7.23966,job.586012.out
1,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,1488,6144.000000,2198.547814,1.82966,4.25812,job.586013.out
1,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,1045,7680.000000,2174.360217,1.62405,3.7796,job.586014.out
1,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,775,9216.000000,2029.726400,1.54832,3.60335,job.586015.out
1,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,669,10752.000000,2109.389717,1.50041,3.49187,job.586016.out
1,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,553,12288.000000,2033.280436,1.47049,3.42223,job.585984.out
