omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,6882,6144.000000,2086.372345,8.91716,20.7527,job.585852.out
4,3,8,6,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,4574,9216.000000,2101.287154,8.82685,20.5425,job.585853.out
4,3,8,8,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,3398,12288.000000,2009.849396,9.141,21.2736,job.585854.out
4,3,8,10,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,2798,15360.000000,2084.164872,9.07318,21.1158,job.585855.out
4,3,8,12,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,2252,18432.000000,2053.356668,8.89466,20.7003,job.585856.out
4,3,8,14,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1860,21504.000000,2067.478627,8.51224,19.8103,job.585857.out
4,3,8,16,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,1580,24576.000000,2182.809159,7.82718,18.216,job.585858.out
4,3,8,18,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,1314,27648.000000,2270.330099,7.04081,16.3859,job.585859.out
4,3,8,20,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,1055,30720.000000,2252.891014,6.32974,14.731,job.585860.out
4,3,8,22,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,872,33792.000000,2205.953634,5.87742,13.6784,job.585861.out
4,3,8,24,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,724,36864.000000,2114.005481,5.55505,12.9281,job.585862.out
4,3,8,26,16,16,16,26,8,8,8,MACRO,OLD,12345,1320,3072,40894464,670,39936.000000,2133.822219,5.51739,12.8405,job.585863.out
4,3,8,28,16,16,16,28,8,8,8,MACRO,OLD,12345,1320,3072,44040192,614,43008.000000,2167.211819,5.36129,12.4772,job.585864.out
4,3,8,30,16,16,16,30,8,8,8,MACRO,OLD,12345,1320,3072,47185920,564,46080.000000,2149.895438,5.31896,12.3787,job.585865.out
2,3,16,8,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3872,6144.000000,2046.036624,5.11594,11.9062,job.585867.out
4,3,8,32,16,16,16,32,8,8,8,MACRO,OLD,12345,1320,3072,50331648,517,49152.000000,2146.347117,5.20936,12.1236,job.585866.out
2,3,16,10,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,2903,7680.000000,2108.383432,4.65277,10.8283,job.585868.out
2,3,16,12,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2440,9216.000000,2180.394767,4.53785,10.5608,job.585869.out
2,3,16,14,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,1920,10752.000000,2247.450847,4.0416,9.4059,job.585870.out
2,3,16,16,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,1550,12288.000000,2100.149266,3.99039,9.28673,job.585871.out
2,3,16,18,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,1260,13824.000000,2171.284758,3.52972,8.21462,job.585872.out
2,3,16,20,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1049,15360.000000,2053.282232,3.45279,8.03559,job.585873.out
2,3,16,22,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,993,16896.000000,2231.471219,3.30822,7.69913,job.585874.out
2,3,16,24,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,785,18432.000000,2055.673496,3.097,7.20755,job.585875.out
2,3,16,26,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,697,19968.000000,2053.401045,2.98227,6.94054,job.585876.out
2,3,16,28,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,724,21504.000000,2212.369808,3.09637,7.2061,job.585877.out
2,3,16,30,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,627,23040.000000,2135.253747,2.97682,6.92788,job.585878.out
2,3,16,32,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,558,24576.000000,2032.812386,2.96825,6.90793,job.585879.out
1,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,1402,6144.000000,2172.691348,1.74443,4.05977,job.585880.out
1,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,1027,7680.000000,2224.697224,1.55996,3.63045,job.585881.out
1,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,798,9216.000000,2146.927973,1.50723,3.50774,job.585882.out
1,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,686,10752.000000,2235.729721,1.4516,3.37827,job.585883.out
1,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,580,12288.000000,2184.539265,1.4355,3.34079,job.585851.out
