omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,6963,6144.000000,2033.393178,9.25718,21.544,job.586051.out
4,3,8,6,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,4854,9216.000000,2044.377406,9.62795,22.4069,job.586052.out
4,3,8,8,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,3751,12288.000000,2050.481404,9.89066,23.0183,job.586053.out
4,3,8,10,16,16,16,10,8,8,8,MACRO,NEW,12345,1320,3072,15728640,2979,15360.000000,2039.891509,9.86978,22.9697,job.586054.out
4,3,8,12,16,16,16,12,8,8,8,MACRO,NEW,12345,1320,3072,18874368,2361,18432.000000,2059.550477,9.29713,21.6369,job.586055.out
4,3,8,14,16,16,16,14,8,8,8,MACRO,NEW,12345,1320,3072,22020096,1840,21504.000000,2063.446832,8.43716,19.6356,job.586056.out
4,3,8,16,16,16,16,16,8,8,8,MACRO,NEW,12345,1320,3072,25165824,1461,24576.000000,2116.309597,7.46509,17.3733,job.586057.out
4,3,8,18,16,16,16,18,8,8,8,MACRO,NEW,12345,1320,3072,28311552,1198,27648.000000,2118.047332,6.88078,16.0134,job.586058.out
4,3,8,20,16,16,16,20,8,8,8,MACRO,NEW,12345,1320,3072,31457280,964,30720.000000,2140.420230,6.08768,14.1677,job.586059.out
4,3,8,22,16,16,16,22,8,8,8,MACRO,NEW,12345,1320,3072,34603008,856,33792.000000,2186.790697,5.82014,13.545,job.586060.out
4,3,8,24,16,16,16,24,8,8,8,MACRO,NEW,12345,1320,3072,37748736,745,36864.000000,2184.082155,5.53277,12.8763,job.586061.out
4,3,8,26,16,16,16,26,8,8,8,MACRO,NEW,12345,1320,3072,40894464,670,39936.000000,2201.123849,5.34869,12.4479,job.586062.out
4,3,8,28,16,16,16,28,8,8,8,MACRO,NEW,12345,1320,3072,44040192,598,43008.000000,2188.539690,5.17069,12.0336,job.586063.out
4,3,8,30,16,16,16,30,8,8,8,MACRO,NEW,12345,1320,3072,47185920,557,46080.000000,2207.865605,5.11502,11.9041,job.586064.out
2,3,16,8,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,3908,6144.000000,2214.142195,4.77148,11.1045,job.586066.out
4,3,8,32,16,16,16,32,8,8,8,MACRO,NEW,12345,1320,3072,50331648,505,49152.000000,2284.324399,4.7811,11.1269,job.586065.out
2,3,16,10,16,16,16,5,8,8,8,MACRO,NEW,12345,1320,3072,7864320,2981,7680.000000,2263.459509,4.45044,10.3574,job.586067.out
2,3,16,12,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,2254,9216.000000,2046.621509,4.46593,10.3934,job.586068.out
2,3,16,14,16,16,16,7,8,8,8,MACRO,NEW,12345,1320,3072,11010048,1763,10752.000000,2071.042505,4.02722,9.37244,job.586069.out
2,3,16,16,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,1399,12288.000000,2121.889877,3.56475,8.29614,job.586070.out
2,3,16,18,16,16,16,9,8,8,8,MACRO,NEW,12345,1320,3072,14155776,1192,13824.000000,2191.322867,3.30869,7.70023,job.586071.out
2,3,16,20,16,16,16,10,8,8,8,MACRO,NEW,12345,1320,3072,15728640,949,15360.000000,2129.624995,3.01167,7.00897,job.586072.out
2,3,16,22,16,16,16,11,8,8,8,MACRO,NEW,12345,1320,3072,17301504,861,16896.000000,2214.486601,2.89046,6.72688,job.586073.out
2,3,16,24,16,16,16,12,8,8,8,MACRO,NEW,12345,1320,3072,18874368,728,18432.000000,2122.592014,2.78157,6.47347,job.586074.out
2,3,16,26,16,16,16,13,8,8,8,MACRO,NEW,12345,1320,3072,20447232,693,19968.000000,2200.498112,2.76694,6.43942,job.586075.out
2,3,16,28,16,16,16,14,8,8,8,MACRO,NEW,12345,1320,3072,22020096,612,21504.000000,2201.253150,2.63059,6.1221,job.586076.out
2,3,16,30,16,16,16,15,8,8,8,MACRO,NEW,12345,1320,3072,23592960,559,23040.000000,2120.658157,2.67225,6.21904,job.586077.out
2,3,16,32,16,16,16,16,8,8,8,MACRO,NEW,12345,1320,3072,25165824,537,24576.000000,2276.649369,2.5506,5.93594,job.586078.out
1,3,32,16,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,1238,6144.000000,2226.892379,1.50288,3.49762,job.586079.out
1,3,32,20,16,16,16,5,8,8,8,MACRO,NEW,12345,1320,3072,7864320,941,7680.000000,2239.085239,1.42015,3.30507,job.586080.out
1,3,32,24,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,712,9216.000000,2114.179116,1.36563,3.1782,job.586081.out
1,3,32,28,16,16,16,7,8,8,8,MACRO,NEW,12345,1320,3072,11010048,604,10752.000000,2129.659691,1.34174,3.1226,job.586082.out
1,3,32,32,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,517,12288.000000,2125.960080,1.31483,3.05997,job.586050.out
