omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,3291,6144.000000,2183.469122,4.0746,9.4827,job.585919.out
4,3,8,6,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,2181,9216.000000,2133.161082,4.14598,9.64883,job.585920.out
4,3,8,8,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,1671,12288.000000,2150.601941,4.20098,9.77682,job.585921.out
4,3,8,10,16,16,16,10,8,8,8,MACRO,NEW,12345,1320,3072,15728640,1335,15360.000000,2161.575005,4.17402,9.71409,job.585922.out
4,3,8,12,16,16,16,12,8,8,8,MACRO,NEW,12345,1320,3072,18874368,1097,18432.000000,2146.062281,4.14562,9.64799,job.585923.out
4,3,8,14,16,16,16,14,8,8,8,MACRO,NEW,12345,1320,3072,22020096,899,21504.000000,2161.701187,3.93492,9.15763,job.585924.out
4,3,8,16,16,16,16,16,8,8,8,MACRO,NEW,12345,1320,3072,25165824,766,24576.000000,2182.745937,3.7948,8.83155,job.585925.out
4,3,8,18,16,16,16,18,8,8,8,MACRO,NEW,12345,1320,3072,28311552,649,27648.000000,2144.289754,3.68195,8.5689,job.585926.out
4,3,8,20,16,16,16,20,8,8,8,MACRO,NEW,12345,1320,3072,31457280,578,30720.000000,2137.653522,3.65481,8.50573,job.585927.out
4,3,8,22,16,16,16,22,8,8,8,MACRO,NEW,12345,1320,3072,34603008,494,33792.000000,2066.316952,3.55465,8.27264,job.585928.out
4,3,8,24,16,16,16,24,8,8,8,MACRO,NEW,12345,1320,3072,37748736,463,36864.000000,2144.339108,3.50221,8.15061,job.585929.out
4,3,8,26,16,16,16,26,8,8,8,MACRO,NEW,12345,1320,3072,40894464,435,39936.000000,2195.100027,3.48219,8.104,job.585930.out
4,3,8,28,16,16,16,28,8,8,8,MACRO,NEW,12345,1320,3072,44040192,389,43008.000000,2154.600330,3.41653,7.95119,job.585931.out
4,3,8,30,16,16,16,30,8,8,8,MACRO,NEW,12345,1320,3072,47185920,346,46080.000000,2077.953753,3.37602,7.85693,job.585932.out
2,3,16,8,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,1646,6144.000000,2171.577121,2.04908,4.76876,job.585934.out
4,3,8,32,16,16,16,32,8,8,8,MACRO,NEW,12345,1320,3072,50331648,324,49152.000000,2119.496181,3.30603,7.69402,job.585933.out
2,3,16,10,16,16,16,5,8,8,8,MACRO,NEW,12345,1320,3072,7864320,1332,7680.000000,2161.415096,2.08248,4.84649,job.585935.out
2,3,16,12,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,1087,9216.000000,2163.174152,2.03767,4.74221,job.585936.out
2,3,16,14,16,16,16,7,8,8,8,MACRO,NEW,12345,1320,3072,11010048,911,10752.000000,2176.736703,1.97995,4.60789,job.585937.out
2,3,16,16,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,760,12288.000000,2133.922932,1.92561,4.48142,job.585938.out
2,3,16,18,16,16,16,9,8,8,8,MACRO,NEW,12345,1320,3072,14155776,670,13824.000000,2139.933396,1.90441,4.43209,job.585939.out
2,3,16,20,16,16,16,10,8,8,8,MACRO,NEW,12345,1320,3072,15728640,591,15360.000000,2151.675891,1.85633,4.32018,job.585940.out
2,3,16,22,16,16,16,11,8,8,8,MACRO,NEW,12345,1320,3072,17301504,526,16896.000000,2109.917691,1.85335,4.31324,job.585941.out
2,3,16,24,16,16,16,12,8,8,8,MACRO,NEW,12345,1320,3072,18874368,474,18432.000000,2094.317873,1.83553,4.27177,job.585942.out
2,3,16,26,16,16,16,13,8,8,8,MACRO,NEW,12345,1320,3072,20447232,446,19968.000000,2158.001192,1.81581,4.22589,job.585943.out
2,3,16,28,16,16,16,14,8,8,8,MACRO,NEW,12345,1320,3072,22020096,386,21504.000000,2029.953020,1.79917,4.18717,job.585944.out
2,3,16,32,16,16,16,16,8,8,8,MACRO,NEW,12345,1320,3072,25165824,344,24576.000000,2145.399284,1.73386,4.03517,job.585946.out
1,3,32,16,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,753,6144.000000,2136.536117,0.952771,2.21736,job.585947.out
1,3,32,20,16,16,16,5,8,8,8,MACRO,NEW,12345,1320,3072,7864320,577,7680.000000,2073.457944,0.940361,2.18848,job.585948.out
1,3,32,24,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,474,9216.000000,2064.245874,0.931134,2.167,job.585949.out
1,3,32,28,16,16,16,7,8,8,8,MACRO,NEW,12345,1320,3072,11010048,402,10752.000000,2046.899547,0.929119,2.16231,job.585950.out
1,3,32,32,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,344,12288.000000,2034.245666,0.9143,2.12783,job.585918.out
