omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,4871,6144.000000,2155.960663,6.10775,14.2144,job.587158.out
4,3,16,10,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,4212,7680.000000,2195.043654,6.48424,15.0906,job.587159.out
4,3,16,12,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,4165,9216.000000,2178.152055,7.75393,18.0455,job.587160.out
4,3,16,14,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,3597,10752.000000,2360.125189,7.2102,16.7801,job.587161.out
4,3,16,16,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,2998,12288.000000,2184.625081,7.41974,17.2678,job.587162.out
4,3,16,18,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,3036,13824.000000,2448.023230,7.5435,17.5558,job.587163.out
4,3,16,20,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,2485,15360.000000,2188.113619,7.67539,17.8627,job.587164.out
4,3,16,22,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,2292,16896.000000,2200.663384,7.74279,18.0196,job.587165.out
4,3,16,24,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,2074,18432.000000,2152.184048,7.81546,18.1887,job.587166.out
4,3,16,26,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,1882,19968.000000,2203.352310,7.50452,17.4651,job.587167.out
4,3,16,28,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1723,21504.000000,2179.425011,7.48024,17.4085,job.587168.out
4,3,16,30,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,1522,23040.000000,2152.094659,7.16949,16.6854,job.587169.out
4,3,16,32,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,1418,24576.000000,2159.047928,7.10195,16.5282,job.587170.out
4,3,16,34,16,16,16,17,8,8,8,AVX2,OLD,12345,1320,3072,26738688,1345,26112.000000,2304.180779,6.70654,15.6079,job.587171.out
4,3,16,36,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,1204,27648.000000,2217.138128,6.60618,15.3744,job.587172.out
4,3,16,38,16,16,16,19,8,8,8,AVX2,OLD,12345,1320,3072,29884416,1040,29184.000000,2156.807104,6.19184,14.4101,job.587173.out
4,3,16,40,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,973,30720.000000,2168.889438,6.06386,14.1123,job.587174.out
4,3,16,42,16,16,16,21,8,8,8,AVX2,OLD,12345,1320,3072,33030144,915,32256.000000,2211.298840,5.87269,13.6673,job.587175.out
4,3,16,44,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,813,33792.000000,2091.866578,5.77861,13.4484,job.587176.out
4,3,16,46,16,16,16,23,8,8,8,AVX2,OLD,12345,1320,3072,36175872,806,35328.000000,2178.207865,5.75185,13.3861,job.587177.out
4,3,16,48,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,749,36864.000000,2162.024783,5.61922,13.0775,job.587178.out
4,3,16,50,16,16,16,25,8,8,8,AVX2,OLD,12345,1320,3072,39321600,718,38400.000000,2166.942672,5.59836,13.0289,job.587179.out
4,3,16,52,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,680,39936.000000,2182.979236,5.47364,12.7387,job.587180.out
4,3,16,54,16,16,16,27,8,8,8,AVX2,OLD,12345,1320,3072,42467328,650,41472.000000,2144.400003,5.53115,12.8725,job.587181.out
4,3,16,56,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,610,43008.000000,2133.878863,5.40956,12.5895,job.587182.out
