omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,4616,6144.000000,2173.481423,5.74135,13.3617,job.586997.out
4,3,16,10,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,4309,7680.000000,2170.295740,6.70921,15.6142,job.586998.out
4,3,16,12,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,3619,9216.000000,2214.141045,6.62794,15.425,job.586999.out
4,3,16,14,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,3284,10752.000000,2268.687227,6.84811,15.9374,job.587000.out
4,3,16,16,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,2787,12288.000000,2203.213255,6.83934,15.917,job.587001.out
4,3,16,18,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,2306,13824.000000,2198.457838,6.3801,14.8482,job.587002.out
4,3,16,20,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,2228,15360.000000,2196.270594,6.85604,15.9559,job.587003.out
4,3,16,22,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,2138,16896.000000,2257.251742,7.04149,16.3875,job.587004.out
4,3,16,24,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,1790,18432.000000,2198.617569,6.60281,15.3665,job.587005.out
4,3,16,26,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,1620,19968.000000,2200.335034,6.46865,15.0543,job.587006.out
4,3,16,28,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1569,21504.000000,2245.583986,6.61098,15.3855,job.587007.out
4,3,16,30,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,1389,23040.000000,2193.857736,6.41843,14.9374,job.587008.out
4,3,16,32,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,1206,24576.000000,2181.531732,5.97791,13.9122,job.587009.out
4,3,16,34,16,16,16,17,8,8,8,AVX2,OLD,12345,1320,3072,26738688,1115,26112.000000,2189.501889,5.8509,13.6166,job.587010.out
4,3,16,36,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,998,27648.000000,2189.428752,5.54519,12.9052,job.587011.out
4,3,16,38,16,16,16,19,8,8,8,AVX2,OLD,12345,1320,3072,29884416,879,29184.000000,2215.655452,5.0943,11.8558,job.587012.out
4,3,16,40,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,821,30720.000000,2215.134687,5.00976,11.6591,job.587013.out
4,3,16,42,16,16,16,21,8,8,8,AVX2,OLD,12345,1320,3072,33030144,750,32256.000000,2175.328064,4.89328,11.388,job.587014.out
4,3,16,44,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,776,33792.000000,2229.339924,5.1755,12.0448,job.587015.out
4,3,16,46,16,16,16,23,8,8,8,AVX2,OLD,12345,1320,3072,36175872,704,35328.000000,2160.168575,5.0659,11.7897,job.587016.out
4,3,16,48,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,682,36864.000000,2209.585151,5.00644,11.6513,job.587017.out
4,3,16,50,16,16,16,25,8,8,8,AVX2,OLD,12345,1320,3072,39321600,644,38400.000000,2195.587707,4.95586,11.5336,job.587018.out
