omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,4841,6144.000000,2172.843584,6.02297,14.0171,job.587267.out
4,3,16,10,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,4224,7680.000000,2228.616194,6.40476,14.9056,job.587268.out
4,3,16,12,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,3554,9216.000000,2080.144589,6.92818,16.1238,job.587269.out
4,3,16,14,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,3401,10752.000000,2347.126151,6.85507,15.9536,job.587270.out
4,3,16,16,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,2930,12288.000000,2231.544282,7.09898,16.5213,job.587271.out
4,3,16,18,16,16,16,9,8,8,8,AVX2,NEW,12345,1320,3072,14155776,2626,13824.000000,2199.130744,7.26323,16.9035,job.587272.out
4,3,16,20,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,2523,15360.000000,2173.598922,7.8448,18.257,job.587274.out
4,3,16,22,16,16,16,11,8,8,8,AVX2,NEW,12345,1320,3072,17301504,2241,16896.000000,2207.778495,7.54611,17.5618,job.587275.out
4,3,16,24,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,1905,18432.000000,2236.949935,6.90659,16.0735,job.587276.out
4,3,16,26,16,16,16,13,8,8,8,AVX2,NEW,12345,1320,3072,20447232,1674,19968.000000,2172.448872,6.77007,15.7558,job.587277.out
4,3,16,28,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,1492,21504.000000,2168.483212,6.51006,15.1507,job.587278.out
4,3,16,30,16,16,16,15,8,8,8,AVX2,NEW,12345,1320,3072,23592960,1340,23040.000000,2125.956183,6.38978,14.8708,job.587279.out
4,3,16,32,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,1164,24576.000000,2110.164311,5.96486,13.8819,job.587280.out
4,3,16,34,16,16,16,17,8,8,8,AVX2,NEW,12345,1320,3072,26738688,1092,26112.000000,2195.064514,5.71568,13.302,job.587281.out
