omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,2779,6144.000000,2123.154321,3.53843,8.2349,job.587107.out
4,3,16,10,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,2340,7680.000000,2141.937651,3.69167,8.59152,job.587108.out
4,3,16,12,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,1968,9216.000000,2143.050269,3.72381,8.66633,job.587109.out
4,3,16,14,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,1707,10752.000000,2122.196821,3.80531,8.85599,job.587110.out
4,3,16,16,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,1507,12288.000000,2146.881227,3.79524,8.83256,job.587111.out
4,3,16,18,16,16,16,9,8,8,8,AVX2,NEW,12345,1320,3072,14155776,1329,13824.000000,2117.587824,3.81742,8.88418,job.587112.out
4,3,16,20,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,1211,15360.000000,2148.521017,3.80933,8.86535,job.587113.out
4,3,16,22,16,16,16,11,8,8,8,AVX2,NEW,12345,1320,3072,17301504,1088,16896.000000,2157.570915,3.74887,8.72464,job.587114.out
4,3,16,24,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,960,18432.000000,2097.261706,3.71231,8.63955,job.587115.out
4,3,16,26,16,16,16,13,8,8,8,AVX2,NEW,12345,1320,3072,20447232,882,19968.000000,2119.864139,3.65551,8.50737,job.587116.out
4,3,16,28,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,807,21504.000000,2118.260322,3.60468,8.38906,job.587117.out
4,3,16,30,16,16,16,15,8,8,8,AVX2,NEW,12345,1320,3072,23592960,741,23040.000000,2127.893668,3.53023,8.21582,job.587118.out
4,3,16,32,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,654,24576.000000,2029.039286,3.48539,8.11145,job.587119.out
4,3,16,34,16,16,16,17,8,8,8,AVX2,NEW,12345,1320,3072,26738688,616,26112.000000,2075.218984,3.41043,7.93701,job.587120.out
4,3,16,36,16,16,16,18,8,8,8,AVX2,NEW,12345,1320,3072,28311552,576,27648.000000,2050.286063,3.41763,7.95375,job.587121.out
4,3,16,38,16,16,16,19,8,8,8,AVX2,NEW,12345,1320,3072,29884416,544,29184.000000,2080.146807,3.35817,7.81537,job.587122.out
4,3,16,40,16,16,16,20,8,8,8,AVX2,NEW,12345,1320,3072,31457280,509,30720.000000,2048.908139,3.35791,7.81477,job.587123.out
4,3,16,42,16,16,16,21,8,8,8,AVX2,NEW,12345,1320,3072,33030144,492,32256.000000,2076.285687,3.36311,7.82688,job.587124.out
4,3,16,44,16,16,16,22,8,8,8,AVX2,NEW,12345,1320,3072,34603008,461,33792.000000,2087.934991,3.28285,7.64008,job.587125.out
4,3,16,46,16,16,16,23,8,8,8,AVX2,NEW,12345,1320,3072,36175872,442,35328.000000,2119.966892,3.24089,7.54245,job.587126.out
4,3,16,48,16,16,16,24,8,8,8,AVX2,NEW,12345,1320,3072,37748736,425,36864.000000,2107.967212,3.27024,7.61075,job.587127.out
