omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,5163,6144.000000,2192.290296,6.36661,14.8168,job.586923.out
4,3,16,10,16,16,16,5,8,8,8,MACRO,NEW,12345,1320,3072,7864320,4464,7680.000000,2179.143839,6.92233,16.1101,job.586924.out
4,3,16,12,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,4322,9216.000000,2287.876093,7.66033,17.8277,job.586925.out
4,3,16,14,16,16,16,7,8,8,8,MACRO,NEW,12345,1320,3072,11010048,3489,10752.000000,2251.519733,7.33107,17.0614,job.586926.out
4,3,16,16,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,3157,12288.000000,2220.221772,7.68798,17.892,job.586927.out
4,3,16,18,16,16,16,9,8,8,8,MACRO,NEW,12345,1320,3072,14155776,2967,13824.000000,2210.363744,8.1647,19.0015,job.586928.out
4,3,16,20,16,16,16,10,8,8,8,MACRO,NEW,12345,1320,3072,15728640,2701,15360.000000,2230.203376,8.1851,19.049,job.586929.out
4,3,16,22,16,16,16,11,8,8,8,MACRO,NEW,12345,1320,3072,17301504,2261,16896.000000,2249.811107,7.47121,17.3875,job.586930.out
4,3,16,24,16,16,16,12,8,8,8,MACRO,NEW,12345,1320,3072,18874368,1954,18432.000000,2153.945183,7.35724,17.1223,job.586931.out
4,3,16,26,16,16,16,13,8,8,8,MACRO,NEW,12345,1320,3072,20447232,1881,19968.000000,2236.521227,7.3893,17.1969,job.586932.out
4,3,16,28,16,16,16,14,8,8,8,MACRO,NEW,12345,1320,3072,22020096,1568,21504.000000,2188.667143,6.77857,15.7756,job.586933.out
4,3,16,30,16,16,16,15,8,8,8,MACRO,NEW,12345,1320,3072,23592960,1402,23040.000000,2123.065800,6.69452,15.58,job.586934.out
4,3,16,32,16,16,16,16,8,8,8,MACRO,NEW,12345,1320,3072,25165824,1326,24576.000000,2258.287682,6.34933,14.7766,job.586935.out
4,3,16,34,16,16,16,17,8,8,8,MACRO,NEW,12345,1320,3072,26738688,1151,26112.000000,2184.039358,6.05491,14.0914,job.586936.out
4,3,16,36,16,16,16,18,8,8,8,MACRO,NEW,12345,1320,3072,28311552,1073,27648.000000,2284.523475,5.71374,13.2974,job.586937.out
4,3,16,38,16,16,16,19,8,8,8,MACRO,NEW,12345,1320,3072,29884416,968,29184.000000,2229.805909,5.5745,12.9734,job.586938.out
4,3,16,40,16,16,16,20,8,8,8,MACRO,NEW,12345,1320,3072,31457280,859,30720.000000,2202.834700,5.2709,12.2668,job.586939.out
4,3,16,42,16,16,16,21,8,8,8,MACRO,NEW,12345,1320,3072,33030144,826,32256.000000,2262.175880,5.18223,12.0605,job.586940.out
4,3,16,44,16,16,16,22,8,8,8,MACRO,NEW,12345,1320,3072,34603008,733,33792.000000,2167.432392,5.02834,11.7023,job.586941.out
4,3,16,46,16,16,16,23,8,8,8,MACRO,NEW,12345,1320,3072,36175872,742,35328.000000,2265.549699,5.09099,11.8481,job.586942.out
4,3,16,48,16,16,16,24,8,8,8,MACRO,NEW,12345,1320,3072,37748736,700,36864.000000,2362.982886,4.80499,11.1825,job.586943.out
4,3,16,50,16,16,16,25,8,8,8,MACRO,NEW,12345,1320,3072,39321600,638,38400.000000,2233.033161,4.82736,11.2346,job.586944.out
