omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3317,6144.000000,2210.349154,4.05685,9.44139,job.586723.out
4,3,16,10,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,2645,7680.000000,2170.916797,4.11715,9.58172,job.586724.out
4,3,16,12,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2256,9216.000000,2173.715702,4.20854,9.79442,job.586725.out
4,3,16,14,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,1956,10752.000000,2142.167109,4.31974,10.0532,job.586726.out
4,3,16,16,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,1690,12288.000000,2154.123037,4.2418,9.87182,job.586727.out
4,3,16,18,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,1536,13824.000000,2195.936331,4.25459,9.90159,job.586728.out
4,3,16,20,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1360,15360.000000,2131.625485,4.31193,10.035,job.586729.out
4,3,16,22,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,1217,16896.000000,2130.761943,4.24612,9.88188,job.586730.out
4,3,16,24,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,1104,18432.000000,2131.058682,4.20145,9.77791,job.586731.out
4,3,16,26,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,976,19968.000000,2111.210308,4.06168,9.45263,job.586732.out
4,3,16,28,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,888,21504.000000,2120.802035,3.96173,9.22002,job.586733.out
4,3,16,30,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,788,23040.000000,2112.595490,3.78133,8.8002,job.586734.out
