omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,5012,6144.000000,2152.427430,6.29487,14.6499,job.587621.out
4,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,4979,7680.000000,2465.577430,6.82397,15.8812,job.587622.out
4,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,4032,9216.000000,2287.958637,7.14607,16.6309,job.587623.out
4,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,3506,10752.000000,2222.670396,7.4624,17.3671,job.587624.out
4,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,3187,12288.000000,2199.872662,7.83282,18.2291,job.587625.out
4,3,32,36,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,2879,13824.000000,2214.354125,7.90826,18.4047,job.587626.out
4,3,32,40,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,2778,15360.000000,2097.694869,8.95022,20.8296,job.587627.out
4,3,32,44,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,2351,16896.000000,2175.425016,8.03425,18.6979,job.587628.out
4,3,32,48,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,2179,18432.000000,2204.538759,8.01613,18.6557,job.587629.out
4,3,32,52,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,1988,19968.000000,2211.123041,7.89934,18.3839,job.587630.out
4,3,32,56,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1832,21504.000000,2209.786295,7.84417,18.2555,job.587631.out
4,3,32,60,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,1612,23040.000000,2221.326869,7.35678,17.1212,job.587632.out
4,3,32,64,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,1459,24576.000000,2167.036027,7.28036,16.9434,job.587633.out
4,3,32,68,16,16,16,17,8,8,8,MACRO,OLD,12345,1320,3072,26738688,1323,26112.000000,2163.608941,7.02545,16.3501,job.587635.out
4,3,32,72,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,1184,27648.000000,2274.172224,6.33351,14.7398,job.587636.out
