omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,5637,6144.000000,2488.150275,6.12457,14.2535,job.587343.out
4,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,4158,7680.000000,2181.482772,6.4409,14.9897,job.587345.out
4,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,3725,9216.000000,2235.621738,6.75652,15.7243,job.587346.out
4,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,3549,10752.000000,2351.283551,7.14074,16.6184,job.587347.out
4,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,2899,12288.000000,2191.767127,7.15134,16.6431,job.587348.out
4,3,32,36,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,2654,13824.000000,2214.010876,7.29134,16.9689,job.587349.out
4,3,32,40,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,2406,15360.000000,2219.094322,7.32763,17.0534,job.587350.out
4,3,32,44,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,2161,16896.000000,2188.564914,7.34061,17.0836,job.587351.out
4,3,32,48,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,1961,18432.000000,2174.385786,7.31419,17.0221,job.587352.out
4,3,32,52,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,1731,19968.000000,2187.858619,6.95128,16.1775,job.587353.out
4,3,32,56,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1572,21504.000000,2189.640854,6.79284,15.8088,job.587354.out
4,3,32,60,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,1414,23040.000000,2171.124165,6.60237,15.3655,job.587355.out
4,3,32,64,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,1289,24576.000000,2211.336956,6.30321,14.6693,job.587356.out
4,3,32,68,16,16,16,17,8,8,8,MACRO,OLD,12345,1320,3072,26738688,1157,26112.000000,2175.417003,6.1106,14.221,job.587357.out
4,3,32,72,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,1076,27648.000000,2193.614684,5.96717,13.8872,job.587358.out
4,3,32,76,16,16,16,19,8,8,8,MACRO,OLD,12345,1320,3072,29884416,964,29184.000000,2160.965730,5.72831,13.3313,job.587359.out
4,3,32,80,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,881,30720.000000,2200.273271,5.41219,12.5956,job.587360.out
4,3,32,84,16,16,16,21,8,8,8,MACRO,OLD,12345,1320,3072,33030144,830,32256.000000,2177.639102,5.40948,12.5893,job.587361.out
4,3,32,88,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,778,33792.000000,2180.599780,5.30481,12.3458,job.587362.out
4,3,32,92,16,16,16,23,8,8,8,MACRO,OLD,12345,1320,3072,36175872,734,35328.000000,2177.863604,5.23886,12.1923,job.587363.out
4,3,32,96,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,696,36864.000000,2169.217750,5.20429,12.1118,job.587364.out
4,3,32,100,16,16,16,25,8,8,8,MACRO,OLD,12345,1320,3072,39321600,677,38400.000000,2202.553332,5.19333,12.0863,job.587365.out
4,3,32,104,16,16,16,26,8,8,8,MACRO,OLD,12345,1320,3072,40894464,658,39936.000000,2237.029931,5.16858,12.0287,job.587366.out
4,3,32,108,16,16,16,27,8,8,8,MACRO,OLD,12345,1320,3072,42467328,583,41472.000000,2066.685235,5.14757,11.9798,job.587367.out
4,3,32,112,16,16,16,28,8,8,8,MACRO,OLD,12345,1320,3072,44040192,594,43008.000000,2191.324305,5.12958,11.9379,job.587368.out
4,3,32,116,16,16,16,29,8,8,8,MACRO,OLD,12345,1320,3072,45613056,565,44544.000000,2164.564901,5.11587,11.906,job.587369.out
4,3,32,120,16,16,16,30,8,8,8,MACRO,OLD,12345,1320,3072,47185920,524,46080.000000,2100.671673,5.05753,11.7702,job.587370.out
4,3,32,124,16,16,16,31,8,8,8,MACRO,OLD,12345,1320,3072,48758784,521,47616.000000,2140.484021,5.09954,11.868,job.587372.out
4,3,32,128,16,16,16,32,8,8,8,MACRO,OLD,12345,1320,3072,50331648,490,49152.000000,2094.162307,5.06034,11.7768,job.587373.out
3,3,40,20,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3651,6144.000000,2084.654376,4.73458,11.0187,job.587374.out
3,3,40,30,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2974,9216.000000,2207.911280,5.46204,12.7116,job.587375.out
3,3,40,40,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,2134,12288.000000,2200.892113,5.24239,12.2005,job.587376.out
3,3,40,50,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1488,15360.000000,2199.775123,4.5716,10.6394,job.587377.out
3,3,40,60,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,1087,18432.000000,2214.210303,3.9814,9.2658,job.587378.out
3,3,40,70,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,854,21504.000000,2229.128430,3.62489,8.43611,job.587381.out
3,3,40,80,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,741,24576.000000,2230.600859,3.5922,8.36002,job.587382.out
3,3,40,90,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,643,27648.000000,2213.377706,3.53404,8.22468,job.587383.out
3,3,40,100,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,587,30720.000000,2286.200685,3.47054,8.0769,job.587384.out
3,3,40,110,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,528,33792.000000,2187.460533,3.58889,8.35233,job.587385.out
3,3,40,120,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,475,36864.000000,2200.292910,3.50161,8.14921,job.587386.out
2,3,56,28,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3197,6144.000000,2281.693724,3.78782,8.81529,job.587387.out
2,3,56,42,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2037,9216.000000,2181.836554,3.78585,8.81072,job.587388.out
2,3,56,56,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,1328,12288.000000,2076.351448,3.45805,8.04782,job.587389.out
2,3,56,70,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,949,15360.000000,2093.309384,3.06391,7.13057,job.587390.out
2,3,56,84,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,760,18432.000000,2054.073336,3.0007,6.98345,job.587391.out
2,3,56,98,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,671,21504.000000,2200.639716,2.885,6.71418,job.587392.out
2,3,56,112,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,571,24576.000000,2197.869838,2.8093,6.53801,job.587395.out
2,3,56,126,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,498,27648.000000,2184.170610,2.7737,6.45515,job.587396.out
2,3,64,32,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3324,6144.000000,2198.701772,4.08694,9.51143,job.587397.out
2,3,64,40,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,2833,7680.000000,2248.727644,4.2572,9.90766,job.587398.out
2,3,64,48,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2116,9216.000000,2156.990606,3.97798,9.25784,job.587399.out
2,3,64,56,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,1796,10752.000000,2206.192653,3.85128,8.96297,job.587400.out
2,3,64,64,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,1427,12288.000000,2172.804327,3.55089,8.26389,job.587401.out
