omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,3808,6144.000000,2187.811209,4.70534,10.9506,job.588568.out
4,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,3202,7680.000000,2193.952670,4.93183,11.4777,job.588569.out
4,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,3056,9216.000000,2213.999221,5.5972,13.0262,job.588570.out
4,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,2405,10752.000000,2203.391349,5.16375,12.0175,job.588571.out
4,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,2254,12288.000000,2147.937663,5.6737,13.2042,job.588572.out
4,3,32,36,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,1956,13824.000000,2211.677626,5.37939,12.5193,job.588573.out
4,3,32,40,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,1859,15360.000000,2209.150709,5.68719,13.2356,job.588574.out
4,3,32,44,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,1590,16896.000000,2224.172944,5.31453,12.3684,job.588575.out
4,3,32,48,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,1376,18432.000000,2194.254259,5.08577,11.836,job.588576.out
4,3,32,52,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,1287,19968.000000,2203.980799,5.13048,11.94,job.588577.out
4,3,32,56,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1151,21504.000000,2213.974812,4.91897,11.4478,job.588578.out
4,3,32,60,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,1079,23040.000000,2207.649739,4.9548,11.5312,job.588579.out
4,3,32,64,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,938,24576.000000,2220.430166,4.56804,10.6311,job.588580.out
4,3,32,68,16,16,16,17,8,8,8,AVX2,OLD,12345,1320,3072,26738688,861,26112.000000,2206.496521,4.48325,10.4337,job.588581.out
4,3,32,72,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,782,27648.000000,2196.549773,4.33094,10.0793,job.588582.out
4,3,32,76,16,16,16,19,8,8,8,AVX2,OLD,12345,1320,3072,29884416,722,29184.000000,2196.520551,4.22085,9.82306,job.588583.out
4,3,32,80,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,672,30720.000000,2190.221059,4.1472,9.65167,job.588584.out
4,3,32,84,16,16,16,21,8,8,8,AVX2,OLD,12345,1320,3072,33030144,638,32256.000000,2205.155478,4.10624,9.55635,job.588585.out
4,3,32,88,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,593,33792.000000,2204.056689,4.00035,9.30992,job.588586.out
4,3,32,92,16,16,16,23,8,8,8,AVX2,OLD,12345,1320,3072,36175872,553,35328.000000,2192.592427,3.92048,9.12402,job.588587.out
4,3,32,96,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,521,36864.000000,2186.240074,3.86541,8.99585,job.588588.out
4,3,32,100,16,16,16,25,8,8,8,AVX2,OLD,12345,1320,3072,39321600,495,38400.000000,2195.352430,3.80965,8.86609,job.588589.out
4,3,32,104,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,470,39936.000000,2191.332488,3.76883,8.7711,job.588591.out
4,3,32,108,16,16,16,27,8,8,8,AVX2,OLD,12345,1320,3072,42467328,459,41472.000000,2229.147304,3.75735,8.74438,job.588592.out
4,3,32,112,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,437,43008.000000,2192.020598,3.77258,8.77983,job.588593.out
