omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3962,6144.000000,2183.922619,4.90435,11.4138,job.587743.out
4,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,3327,7680.000000,2143.144596,5.24584,12.2085,job.587744.out
4,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2896,9216.000000,2231.477547,5.26261,12.2475,job.587745.out
4,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,2577,10752.000000,2207.456531,5.52286,12.8532,job.587746.out
4,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,2434,12288.000000,2219.863074,5.92827,13.7967,job.587747.out
4,3,32,36,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,2004,13824.000000,2147.747384,5.67546,13.2083,job.587748.out
4,3,32,40,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1831,15360.000000,2197.883892,5.63025,13.1031,job.587749.out
4,3,32,44,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,1672,16896.000000,2208.849684,5.62739,13.0965,job.587750.out
4,3,32,48,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,1526,18432.000000,2201.553446,5.62148,13.0827,job.587751.out
4,3,32,52,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,1372,19968.000000,2214.562384,5.44319,12.6678,job.587752.out
4,3,32,56,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1223,21504.000000,2216.485995,5.22076,12.1501,job.587753.out
4,3,32,60,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,1111,23040.000000,2218.000170,5.07794,11.8178,job.587754.out
