omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,8,6,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,4852,9216.000000,2039.408989,9.64743,22.4522,job.586172.out
4,3,8,4,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,7997,6144.000000,2185.321788,9.89272,23.0231,job.586171.out
4,3,8,8,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,3694,12288.000000,2031.278331,9.83244,22.8828,job.586173.out
4,3,8,10,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,3207,15360.000000,2195.633945,9.87149,22.9737,job.586174.out
4,3,8,12,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,2422,18432.000000,2050.336932,9.58019,22.2957,job.586175.out
4,3,8,14,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1978,21504.000000,2034.704646,9.19807,21.4064,job.586176.out
4,3,8,16,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,1629,24576.000000,2062.069736,8.54243,19.8806,job.586177.out
4,3,8,18,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,1291,27648.000000,2080.705535,7.548,17.5663,job.586178.out
4,3,8,20,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,1089,30720.000000,2112.483679,6.968,16.2164,job.586179.out
4,3,8,22,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,897,33792.000000,2119.651243,6.29209,14.6434,job.586180.out
4,3,8,24,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,776,36864.000000,2120.152944,5.93676,13.8165,job.586181.out
4,3,8,26,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,706,39936.000000,2145.711644,5.78163,13.4554,job.586182.out
4,3,8,28,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,614,43008.000000,2052.609533,5.66062,13.1738,job.586183.out
4,3,8,30,16,16,16,30,8,8,8,AVX2,OLD,12345,1320,3072,47185920,559,46080.000000,2071.556699,5.47117,12.7329,job.586184.out
4,3,8,32,16,16,16,32,8,8,8,AVX2,OLD,12345,1320,3072,50331648,517,49152.000000,2103.598721,5.31522,12.37,job.586185.out
2,3,16,8,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,3752,6144.000000,2052.786504,4.94109,11.4993,job.586186.out
2,3,16,10,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,3054,7680.000000,2087.703748,4.94327,11.5043,job.586187.out
2,3,16,12,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,2279,9216.000000,2034.058049,4.54335,10.5736,job.586188.out
2,3,16,14,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,1900,10752.000000,2111.554822,4.2569,9.90696,job.586189.out
2,3,16,16,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,1538,12288.000000,2046.875651,4.06255,9.45466,job.586190.out
2,3,16,18,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,1247,13824.000000,2069.905102,3.6644,8.52805,job.586191.out
2,3,16,20,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,1088,15360.000000,2155.528486,3.41129,7.93901,job.586192.out
2,3,16,22,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,919,16896.000000,2066.322198,3.30639,7.69487,job.586193.out
2,3,16,24,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,809,18432.000000,2070.610024,3.16866,7.37433,job.586194.out
2,3,16,26,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,789,19968.000000,2186.953145,3.16975,7.37687,job.586195.out
2,3,16,28,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,678,21504.000000,2074.777201,3.09193,7.19577,job.586196.out
2,3,16,30,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,660,23040.000000,2255.006991,2.96709,6.90524,job.586197.out
2,3,16,32,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,587,24576.000000,2235.811630,2.83901,6.60715,job.586198.out
1,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,1356,6144.000000,2119.427326,1.7296,4.02525,job.586199.out
1,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,953,7680.000000,2081.984554,1.54678,3.59979,job.586200.out
1,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,784,9216.000000,2135.354755,1.48882,3.46488,job.586201.out
1,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,636,10752.000000,2090.623849,1.43921,3.34943,job.586202.out
1,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,553,12288.000000,2112.308479,1.41547,3.29419,job.586170.out
