omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,6240,6144.000000,2006.895544,8.4055,19.5619,job.586084.out
4,3,8,6,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,4244,9216.000000,2064.849001,8.33455,19.3968,job.586085.out
4,3,8,8,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,3296,12288.000000,2092.248812,8.51741,19.8223,job.586086.out
4,3,8,10,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,2583,15360.000000,2104.113081,8.29658,19.3084,job.586087.out
4,3,8,12,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,2195,18432.000000,2176.221013,8.18006,19.0372,job.586088.out
4,3,8,14,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1631,21504.000000,2178.501487,7.08383,16.486,job.586089.out
4,3,8,16,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,1365,24576.000000,2168.754561,6.80591,15.8392,job.586090.out
4,3,8,18,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,1182,27648.000000,2173.361352,6.6161,15.3975,job.586091.out
4,3,8,20,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,933,30720.000000,2040.621808,6.18006,14.3827,job.586092.out
4,3,8,22,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,885,33792.000000,2241.106494,5.87148,13.6645,job.586093.out
4,3,8,24,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,688,36864.000000,2099.737574,5.3147,12.3688,job.586094.out
4,3,8,26,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,646,39936.000000,2227.598639,5.09581,11.8593,job.586095.out
4,3,8,28,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,581,43008.000000,2084.284248,5.27498,12.2763,job.586096.out
4,3,8,30,16,16,16,30,8,8,8,AVX2,OLD,12345,1320,3072,47185920,574,46080.000000,2242.858705,5.1889,12.076,job.586097.out
2,3,16,8,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,3352,6144.000000,2253.265841,4.02157,9.35929,job.586099.out
4,3,8,32,16,16,16,32,8,8,8,AVX2,OLD,12345,1320,3072,50331648,488,49152.000000,2161.104030,4.88358,11.3654,job.586098.out
2,3,16,10,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,2703,7680.000000,2132.215747,4.2838,9.96956,job.586100.out
2,3,16,12,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,2122,9216.000000,2182.363709,3.94288,9.17615,job.586101.out
2,3,16,14,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,1658,10752.000000,2124.715705,3.69169,8.59158,job.586102.out
2,3,16,16,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,1472,12288.000000,2165.266142,3.67562,8.55417,job.586103.out
2,3,16,18,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,1135,13824.000000,2109.667097,3.27241,7.6158,job.586104.out
2,3,16,20,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,1038,15360.000000,2193.008387,3.1989,7.44472,job.586105.out
2,3,16,22,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,935,16896.000000,2200.532776,3.15879,7.35136,job.586106.out
2,3,16,24,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,797,18432.000000,2160.477316,2.99181,6.96275,job.586107.out
2,3,16,26,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,704,19968.000000,2178.817905,2.83883,6.60673,job.586108.out
2,3,16,28,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,617,21504.000000,2084.685436,2.80038,6.51724,job.586109.out
2,3,16,30,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,617,23040.000000,2231.953510,2.80243,6.52202,job.586110.out
2,3,16,32,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,529,24576.000000,2106.553686,2.71548,6.31967,job.586111.out
1,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,1314,6144.000000,2213.017968,1.60515,3.73561,job.586112.out
1,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,894,7680.000000,2062.373759,1.46482,3.40903,job.586113.out
1,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,789,9216.000000,2213.292246,1.44555,3.36419,job.586114.out
1,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,635,10752.000000,2163.432414,1.38858,3.23161,job.586115.out
1,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,550,12288.000000,2201.794885,1.35058,3.14316,job.586083.out
