omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,6855,6144.000000,2146.362774,8.63392,20.0935,job.586514.out
4,3,8,6,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,4535,9216.000000,2069.064560,8.88788,20.6845,job.586515.out
4,3,8,8,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,3434,12288.000000,2048.969146,9.06147,21.0885,job.586516.out
4,3,8,10,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,2735,15360.000000,2070.334499,8.92813,20.7782,job.586517.out
4,3,8,12,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,2240,18432.000000,2115.236407,8.58844,19.9876,job.586518.out
4,3,8,14,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,1766,21504.000000,2099.100343,7.9603,18.5258,job.586519.out
4,3,8,16,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,1382,24576.000000,2186.959241,6.83331,15.903,job.586520.out
4,3,8,18,16,16,16,18,8,8,8,AVX2,NEW,12345,1320,3072,28311552,1121,27648.000000,2040.651730,6.68272,15.5525,job.586521.out
4,3,8,20,16,16,16,20,8,8,8,AVX2,NEW,12345,1320,3072,31457280,978,30720.000000,2217.209538,5.96219,13.8756,job.586522.out
4,3,8,22,16,16,16,22,8,8,8,AVX2,NEW,12345,1320,3072,34603008,808,33792.000000,2146.084152,5.59798,13.028,job.586523.out
4,3,8,24,16,16,16,24,8,8,8,AVX2,NEW,12345,1320,3072,37748736,728,36864.000000,2186.797104,5.3998,12.5668,job.586524.out
4,3,8,26,16,16,16,26,8,8,8,AVX2,NEW,12345,1320,3072,40894464,667,39936.000000,2206.131054,5.31266,12.364,job.586525.out
4,3,8,28,16,16,16,28,8,8,8,AVX2,NEW,12345,1320,3072,44040192,593,43008.000000,2194.796871,5.11284,11.899,job.586526.out
4,3,8,30,16,16,16,30,8,8,8,AVX2,NEW,12345,1320,3072,47185920,530,46080.000000,2141.734177,5.01736,11.6768,job.586527.out
2,3,16,8,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,3329,6144.000000,2127.285621,4.2305,9.84553,job.586529.out
4,3,8,32,16,16,16,32,8,8,8,AVX2,NEW,12345,1320,3072,50331648,504,49152.000000,2228.368467,4.89145,11.3837,job.586528.out
2,3,16,10,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,2703,7680.000000,2059.023656,4.43607,10.3239,job.586530.out
2,3,16,12,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,2155,9216.000000,2135.972375,4.09116,9.52125,job.586531.out
2,3,16,14,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,1603,10752.000000,2024.506552,3.7459,8.71773,job.586532.out
2,3,16,16,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,1317,12288.000000,2123.217373,3.35371,7.80499,job.586533.out
2,3,16,18,16,16,16,9,8,8,8,AVX2,NEW,12345,1320,3072,14155776,1140,13824.000000,2170.176693,3.19519,7.43607,job.586534.out
2,3,16,20,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,934,15360.000000,2158.607818,2.92427,6.80557,job.586535.out
2,3,16,22,16,16,16,11,8,8,8,AVX2,NEW,12345,1320,3072,17301504,824,16896.000000,2177.102925,2.81375,6.54835,job.586536.out
2,3,16,24,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,699,18432.000000,2118.005535,2.67655,6.22906,job.586537.out
2,3,16,26,16,16,16,13,8,8,8,AVX2,NEW,12345,1320,3072,20447232,671,19968.000000,2186.445474,2.69632,6.27507,job.586538.out
2,3,16,28,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,584,21504.000000,2135.555210,2.58746,6.02173,job.586539.out
2,3,16,30,16,16,16,15,8,8,8,AVX2,NEW,12345,1320,3072,23592960,575,23040.000000,2323.016366,2.50929,5.8398,job.586540.out
2,3,16,32,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,503,24576.000000,2187.786636,2.48615,5.78594,job.586541.out
1,3,32,16,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,1229,6144.000000,2191.125723,1.51631,3.52887,job.586542.out
1,3,32,20,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,1005,7680.000000,2430.836350,1.39709,3.25141,job.586543.out
1,3,32,24,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,708,9216.000000,2122.060482,1.35292,3.1486,job.586544.out
1,3,32,28,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,582,10752.000000,2098.809439,1.31187,3.05309,job.586545.out
1,3,32,32,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,554,12288.000000,2296.222154,1.30446,3.03583,job.586513.out
