omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,4104,6144.000000,2179.267482,5.09097,11.8481,job.586117.out
4,3,8,6,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,2720,9216.000000,2175.765107,5.06935,11.7978,job.586118.out
4,3,8,8,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,1980,12288.000000,2106.141705,5.0829,11.8293,job.586119.out
4,3,8,10,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,1578,15360.000000,2135.698507,4.99357,11.6214,job.586120.out
4,3,8,12,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,1315,18432.000000,2132.523570,5.001,11.6387,job.586121.out
4,3,8,14,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1057,21504.000000,2135.459168,4.68334,10.8994,job.586122.out
4,3,8,16,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,907,24576.000000,2171.429367,4.51674,10.5117,job.586123.out
4,3,8,18,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,713,27648.000000,2044.085224,4.24333,9.87539,job.586124.out
4,3,8,20,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,648,30720.000000,2175.232648,4.02664,9.3711,job.586125.out
4,3,8,22,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,564,33792.000000,2115.901979,3.96324,9.22354,job.586126.out
4,3,8,24,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,492,36864.000000,2101.909900,3.7967,8.83595,job.586127.out
4,3,8,26,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,466,39936.000000,2177.256612,3.76092,8.75268,job.586128.out
4,3,8,28,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,403,43008.000000,2058.386477,3.70493,8.62238,job.586129.out
4,3,8,30,16,16,16,30,8,8,8,AVX2,OLD,12345,1320,3072,47185920,383,46080.000000,2131.192278,3.64369,8.47986,job.586130.out
2,3,16,8,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,2168,6144.000000,2156.511591,2.71776,6.32497,job.586132.out
4,3,8,32,16,16,16,32,8,8,8,AVX2,OLD,12345,1320,3072,50331648,352,49152.000000,2111.006049,3.60618,8.39256,job.586131.out
2,3,16,10,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,1687,7680.000000,2151.175737,2.65004,6.16738,job.586133.out
2,3,16,12,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,1372,9216.000000,2162.347288,2.57291,5.98785,job.586134.out
2,3,16,14,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,1103,10752.000000,2152.589953,2.42413,5.64161,job.586135.out
2,3,16,16,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,914,12288.000000,2147.257911,2.30142,5.35603,job.586136.out
2,3,16,18,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,772,13824.000000,2125.490411,2.20925,5.14152,job.586137.out
2,3,16,20,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,654,15360.000000,2096.184332,2.10859,4.90726,job.586138.out
2,3,16,22,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,585,16896.000000,2115.062962,2.05622,4.78538,job.586139.out
2,3,16,24,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,542,18432.000000,2168.836201,2.02674,4.71677,job.586140.out
2,3,16,26,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,485,19968.000000,2133.955789,1.99684,4.64719,job.586141.out
2,3,16,28,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,454,21504.000000,2181.415502,1.9692,4.58286,job.586142.out
2,3,16,30,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,405,23040.000000,2106.046170,1.9495,4.53701,job.586143.out
2,3,16,32,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,375,24576.000000,2104.691622,1.92667,4.48388,job.586144.out
1,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,961,6144.000000,2116.111167,1.22769,2.85717,job.586145.out
1,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,719,7680.000000,2099.794244,1.15709,2.69286,job.586146.out
1,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,601,9216.000000,2143.495967,1.13696,2.64603,job.586147.out
1,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,498,10752.000000,2117.828071,1.11245,2.58897,job.586148.out
1,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,437,12288.000000,2156.169936,1.0958,2.55023,job.586116.out
