Routine,Node,GFlops,MPI_Config
Macro_Fused,1,85,8MPI_4OMP
Macro_nonfused,1,71,16MPI_2OMP
Macro_newgeo,1,78,8MPI_4OMP
AVX_Fused,1,77,8MPI_4OMP
AVX_nonfused,1,65,16MPI_2OMP
AVX_newgeo,1,72,8MPI_4OMP
Macro_Fused,2,73,32MPI_2OMP 
Macro_nonfused,2,60,32MPI_2OMP 
Macro_newgeo,2,70,32MPI_2OMP
AVX_Fused,2,73,32MPI_2OMP
AVX_nonfused,2,65,32MPI_2OMP
AVX_newgeo,2,62,32MPI_2OMP
Macro_Fused,4,74,64MPI_2OMP 
Macro_nonfused,4,62,64MPI_2OMP
Macro_newgeo,4,73,64MPI_2OMP
AVX_Fused,4,64,64MPI_2OMP
AVX_nonfused,4,57,64MPI_2OMP
AVX_newgeo,4,62,64MPI_2OMP

