omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,6108,6144.000000,2087.466764,7.91012,18.409,job.586018.out
4,3,8,6,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,4175,9216.000000,2105.963862,8.03898,18.7089,job.586019.out
4,3,8,8,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,3177,12288.000000,2103.905686,8.16441,19.0008,job.586020.out
4,3,8,10,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,2678,15360.000000,2198.153200,8.23373,19.1621,job.586021.out
4,3,8,12,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,2052,18432.000000,2069.467642,8.04163,18.7151,job.586022.out
4,3,8,14,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1821,21504.000000,2199.792665,7.83249,18.2284,job.586023.out
4,3,8,16,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,1338,24576.000000,2031.465206,7.12214,16.5752,job.586024.out
4,3,8,18,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,1092,27648.000000,2085.129913,6.37098,14.827,job.586025.out
4,3,8,20,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,969,30720.000000,2192.237508,5.97462,13.9046,job.586026.out
4,3,8,22,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,829,33792.000000,2197.522481,5.60903,13.0537,job.586027.out
4,3,8,24,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,682,36864.000000,2111.986637,5.23779,12.1898,job.586028.out
4,3,8,26,16,16,16,26,8,8,8,MACRO,OLD,12345,1320,3072,40894464,645,39936.000000,2183.952932,5.1896,12.0776,job.586029.out
4,3,8,28,16,16,16,28,8,8,8,MACRO,OLD,12345,1320,3072,44040192,592,43008.000000,2233.173091,5.0165,11.6748,job.586030.out
4,3,8,30,16,16,16,30,8,8,8,MACRO,OLD,12345,1320,3072,47185920,518,46080.000000,2117.046557,4.96095,11.5455,job.586031.out
2,3,16,8,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3448,6144.000000,2086.103529,4.46823,10.3988,job.586033.out
4,3,8,32,16,16,16,32,8,8,8,MACRO,OLD,12345,1320,3072,50331648,469,49152.000000,2144.702367,4.72933,11.0064,job.586032.out
2,3,16,10,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,2727,7680.000000,2140.071683,4.30597,10.0212,job.586034.out
2,3,16,12,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2140,9216.000000,2031.116735,4.27242,9.94309,job.586035.out
2,3,16,14,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,1665,10752.000000,2077.612502,3.79133,8.82346,job.586036.out
2,3,16,16,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,1364,12288.000000,2126.774613,3.46758,8.07001,job.586037.out
2,3,16,18,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,1117,13824.000000,2100.786845,3.23413,7.5267,job.586038.out
2,3,16,20,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,968,15360.000000,2159.826934,3.02901,7.04933,job.586039.out
2,3,16,22,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,833,16896.000000,2133.340192,2.90283,6.75567,job.586040.out
2,3,16,24,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,784,18432.000000,2260.603899,2.81266,6.54582,job.586041.out
2,3,16,26,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,664,19968.000000,2147.235794,2.71691,6.323,job.586042.out
2,3,16,28,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,607,21504.000000,2110.258515,2.7216,6.33392,job.586043.out
2,3,16,30,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,555,23040.000000,2095.474867,2.68501,6.24875,job.586044.out
2,3,16,32,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,546,24576.000000,2239.623639,2.63622,6.1352,job.586045.out
1,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,1385,6144.000000,2003.639866,1.86868,4.34892,job.586046.out
1,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,1065,7680.000000,2178.342801,1.6521,3.8449,job.586047.out
1,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,827,9216.000000,2079.669791,1.61252,3.75278,job.586048.out
1,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,664,10752.000000,2020.071991,1.55505,3.61902,job.586049.out
1,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,574,12288.000000,2046.184968,1.5167,3.52978,job.586017.out
