omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,kb,msec,GFLOPS,BAND,Job_Output
4,3,8,4,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,4249,6144.000000,2172.698429,5.28678,12.3038,job.585886.out
4,3,8,6,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2800,9216.000000,2178.535933,5.21181,12.1293,job.585887.out
4,3,8,8,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,2065,12288.000000,2167.608886,5.15078,11.9873,job.585888.out
4,3,8,10,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1651,15360.000000,2160.774297,5.16394,12.0179,job.585889.out
4,3,8,12,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,1369,18432.000000,2145.433672,5.17504,12.0437,job.585890.out
4,3,8,14,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1097,21504.000000,2099.446607,4.94395,11.5059,job.585891.out
4,3,8,16,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,924,24576.000000,2151.405483,4.64423,10.8084,job.585892.out
4,3,8,18,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,767,27648.000000,2129.149190,4.38234,10.1989,job.585893.out
4,3,8,20,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,676,30720.000000,2179.429347,4.19255,9.7572,job.585894.out
4,3,8,22,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,563,33792.000000,2054.179976,4.07508,9.48383,job.585895.out
4,3,8,24,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,508,36864.000000,2071.107458,3.97847,9.25899,job.585896.out
4,3,8,26,16,16,16,26,8,8,8,MACRO,OLD,12345,1320,3072,40894464,463,39936.000000,2102.610659,3.86936,9.00506,job.585897.out
4,3,8,28,16,16,16,28,8,8,8,MACRO,OLD,12345,1320,3072,44040192,416,43008.000000,2139.245639,3.67989,8.5641,job.585898.out
4,3,8,30,16,16,16,30,8,8,8,MACRO,OLD,12345,1320,3072,47185920,384,46080.000000,2068.737510,3.76349,8.75867,job.585899.out
2,3,16,8,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,2265,6144.000000,2161.249541,2.83313,6.59348,job.585901.out
4,3,8,32,16,16,16,32,8,8,8,MACRO,OLD,12345,1320,3072,50331648,346,49152.000000,2026.076670,3.6933,8.59531,job.585900.out
2,3,16,10,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,1783,7680.000000,2169.015758,2.77781,6.46472,job.585902.out
2,3,16,12,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,1398,9216.000000,2139.442407,2.64973,6.16665,job.585903.out
2,3,16,14,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,1137,10752.000000,2124.833707,2.5315,5.89148,job.585904.out
2,3,16,16,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,966,12288.000000,2175.387937,2.4009,5.58755,job.585905.out
2,3,16,18,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,795,13824.000000,2131.894059,2.26823,5.2788,job.585906.out
2,3,16,20,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,708,15360.000000,2140.053953,2.2359,5.20355,job.585907.out
2,3,16,22,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,604,16896.000000,2074.508443,2.1645,5.03739,job.585908.out
2,3,16,24,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,553,18432.000000,2118.122117,2.11738,4.92773,job.585909.out
2,3,16,26,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,513,19968.000000,2175.488417,2.0718,4.82164,job.585910.out
2,3,16,28,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,479,21504.000000,2188.805640,2.07062,4.8189,job.585911.out
2,3,16,30,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,421,23040.000000,2100.388456,2.03197,4.72895,job.585912.out
2,3,16,32,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,401,24576.000000,2134.689397,2.0313,4.72738,job.585913.out
1,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,1031,6144.000000,2161.905992,1.28922,3.00036,job.585914.out
1,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,747,7680.000000,2101.510780,1.20117,2.79544,job.585915.out
1,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,626,9216.000000,2156.968323,1.17686,2.73888,job.585916.out
1,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,522,10752.000000,2144.111313,1.15177,2.68048,job.585917.out
1,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,444,12288.000000,2119.686570,1.13252,2.63568,job.585885.out
