omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,5159,6144.000000,2136.154227,6.52885,15.1944,job.586823.out
4,3,16,10,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,4430,7680.000000,2141.061017,6.99179,16.2718,job.586824.out
4,3,16,12,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,4572,9216.000000,2197.444745,8.43691,19.635,job.586825.out
4,3,16,14,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,4051,10752.000000,2191.855300,8.74364,20.3488,job.586826.out
4,3,16,16,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,3256,12288.000000,2204.216218,7.98664,18.5871,job.586827.out
4,3,16,18,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,3284,13824.000000,2217.671048,9.00725,20.9623,job.586828.out
4,3,16,20,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,2876,15360.000000,2176.360793,8.93104,20.785,job.586829.out
4,3,16,22,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,2446,16896.000000,2201.447303,8.26009,19.2235,job.586830.out
4,3,16,24,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,2297,18432.000000,2175.148930,8.5644,19.9317,job.586831.out
4,3,16,26,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,2040,19968.000000,2198.127746,8.15388,18.9763,job.586832.out
4,3,16,28,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1815,21504.000000,2189.152890,7.84463,18.2566,job.586833.out
4,3,16,30,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,1625,23040.000000,2190.841596,7.5193,17.4995,job.586834.out
4,3,16,32,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,1477,24576.000000,2188.337498,7.29844,16.9855,job.586835.out
4,3,16,34,16,16,16,17,8,8,8,MACRO,OLD,12345,1320,3072,26738688,1371,26112.000000,2212.047441,7.12092,16.5723,job.586836.out
4,3,16,36,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,1210,27648.000000,2202.189819,6.68416,15.5559,job.586837.out
4,3,16,38,16,16,16,19,8,8,8,MACRO,OLD,12345,1320,3072,29884416,1112,29184.000000,2192.581575,6.51248,15.1563,job.586838.out
4,3,16,40,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,946,30720.000000,2059.828968,6.20774,14.4471,job.586839.out
4,3,16,42,16,16,16,21,8,8,8,MACRO,OLD,12345,1320,3072,33030144,966,32256.000000,2218.213315,6.18069,14.3842,job.586840.out
4,3,16,44,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,881,33792.000000,2198.450893,5.95835,13.8667,job.586841.out
4,3,16,46,16,16,16,23,8,8,8,MACRO,OLD,12345,1320,3072,36175872,827,35328.000000,2182.720702,5.88951,13.7065,job.586842.out
4,3,16,48,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,787,36864.000000,2197.359718,5.80937,13.52,job.586843.out
4,3,16,50,16,16,16,25,8,8,8,MACRO,OLD,12345,1320,3072,39321600,734,38400.000000,2175.729584,5.7,13.2655,job.586844.out
4,3,16,52,16,16,16,26,8,8,8,MACRO,OLD,12345,1320,3072,40894464,701,39936.000000,2198.546224,5.60273,13.0391,job.586845.out
4,3,16,54,16,16,16,27,8,8,8,MACRO,OLD,12345,1320,3072,42467328,664,41472.000000,2189.600549,5.53364,12.8783,job.586846.out
4,3,16,56,16,16,16,28,8,8,8,MACRO,OLD,12345,1320,3072,44040192,621,43008.000000,2144.793368,5.47909,12.7513,job.586847.out
4,3,16,58,16,16,16,29,8,8,8,MACRO,OLD,12345,1320,3072,45613056,607,44544.000000,2171.783015,5.4779,12.7486,job.586848.out
4,3,16,60,16,16,16,30,8,8,8,MACRO,OLD,12345,1320,3072,47185920,582,46080.000000,2178.748942,5.41603,12.6046,job.586849.out
4,3,16,62,16,16,16,31,8,8,8,MACRO,OLD,12345,1320,3072,48758784,560,47616.000000,2163.092993,5.42398,12.6231,job.586850.out
4,3,16,64,16,16,16,32,8,8,8,MACRO,OLD,12345,1320,3072,50331648,535,49152.000000,2166.332555,5.341,12.43,job.586851.out
2,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3584,6144.000000,2232.710022,4.3395,10.0992,job.586852.out
2,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,2807,7680.000000,2158.531815,4.39438,10.2269,job.586853.out
2,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2496,9216.000000,2196.778340,4.60737,10.7226,job.586854.out
2,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,2056,10752.000000,2202.372257,4.41646,10.2783,job.586855.out
2,3,32,32,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,1652,12288.000000,2244.661766,3.97917,9.26062,job.586856.out
2,3,32,36,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,1368,13824.000000,2192.435236,3.7953,8.83269,job.586857.out
2,3,32,40,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1142,15360.000000,2170.220378,3.55636,8.27663,job.586858.out
2,3,32,44,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,993,16896.000000,2190.108578,3.3707,7.84454,job.586859.out
2,3,32,48,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,872,18432.000000,2150.723028,3.28819,7.65252,job.586860.out
2,3,32,52,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,788,19968.000000,2185.585638,3.16771,7.37213,job.586861.out
2,3,32,56,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,713,21504.000000,2176.573470,3.09947,7.21332,job.586862.out
2,3,32,60,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,660,23040.000000,2174.769744,3.07656,7.16,job.586863.out
2,3,32,64,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,596,24576.000000,2149.903286,2.99772,6.97651,job.586864.out
1,3,56,28,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,1277,6144.000000,2032.618066,1.6984,3.95263,job.586865.out
1,3,56,42,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,804,9216.000000,2189.451185,1.48907,3.46548,job.586866.out
1,3,56,56,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,578,12288.000000,2198.123565,1.42171,3.3087,job.586867.out
1,3,64,32,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,1415,6144.000000,2235.840984,1.71088,3.98168,job.586868.out
1,3,64,40,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,1004,7680.000000,2208.422165,1.53626,3.5753,job.586869.out
1,3,64,48,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,810,9216.000000,2194.833469,1.49651,3.48278,job.586870.out
1,3,64,56,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,681,10752.000000,2210.714727,1.45732,3.39159,job.586871.out
1,3,64,64,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,575,12288.000000,2163.728186,1.43681,3.34385,job.586822.out
