omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,MACRO,NEW,12345,1320,3072,6291456,2842,6144.000000,2067.182435,3.71663,8.64961,job.586773.out
4,3,16,10,16,16,16,5,8,8,8,MACRO,NEW,12345,1320,3072,7864320,2475,7680.000000,2167.416524,3.85875,8.98037,job.586774.out
4,3,16,12,16,16,16,6,8,8,8,MACRO,NEW,12345,1320,3072,9437184,2047,9216.000000,2139.077505,3.88049,9.03096,job.586775.out
4,3,16,14,16,16,16,7,8,8,8,MACRO,NEW,12345,1320,3072,11010048,1801,10752.000000,2162.030997,3.94088,9.17151,job.586776.out
4,3,16,16,16,16,16,8,8,8,8,MACRO,NEW,12345,1320,3072,12582912,1554,12288.000000,2126.994699,3.95019,9.19318,job.586777.out
4,3,16,18,16,16,16,9,8,8,8,MACRO,NEW,12345,1320,3072,14155776,1397,13824.000000,2119.726563,4.00869,9.32933,job.586778.out
4,3,16,20,16,16,16,10,8,8,8,MACRO,NEW,12345,1320,3072,15728640,1249,15360.000000,2150.960093,3.92441,9.13316,job.586779.out
4,3,16,22,16,16,16,11,8,8,8,MACRO,NEW,12345,1320,3072,17301504,1140,16896.000000,2146.171938,3.94891,9.19018,job.586780.out
4,3,16,24,16,16,16,12,8,8,8,MACRO,NEW,12345,1320,3072,18874368,1026,18432.000000,2152.309889,3.86605,8.99736,job.586781.out
4,3,16,26,16,16,16,13,8,8,8,MACRO,NEW,12345,1320,3072,20447232,914,19968.000000,2115.000518,3.79685,8.8363,job.586782.out
4,3,16,28,16,16,16,14,8,8,8,MACRO,NEW,12345,1320,3072,22020096,826,21504.000000,2097.456962,3.72614,8.67174,job.586783.out
4,3,16,30,16,16,16,15,8,8,8,MACRO,NEW,12345,1320,3072,23592960,793,23040.000000,2169.180200,3.70606,8.62502,job.586784.out
4,3,16,32,16,16,16,16,8,8,8,MACRO,NEW,12345,1320,3072,25165824,714,24576.000000,2135.279674,3.61582,8.41501,job.586785.out
4,3,16,34,16,16,16,17,8,8,8,MACRO,NEW,12345,1320,3072,26738688,661,26112.000000,2128.283026,3.56833,8.30447,job.586786.out
4,3,16,36,16,16,16,18,8,8,8,MACRO,NEW,12345,1320,3072,28311552,619,27648.000000,2111.170974,3.56684,8.30101,job.586787.out
4,3,16,38,16,16,16,19,8,8,8,MACRO,NEW,12345,1320,3072,29884416,577,29184.000000,2100.281619,3.52773,8.21,job.586788.out
4,3,16,40,16,16,16,20,8,8,8,MACRO,NEW,12345,1320,3072,31457280,539,30720.000000,2092.960173,3.48098,8.10119,job.586789.out
4,3,16,42,16,16,16,21,8,8,8,MACRO,NEW,12345,1320,3072,33030144,497,32256.000000,2031.516802,3.47216,8.08065,job.586790.out
4,3,16,44,16,16,16,22,8,8,8,MACRO,NEW,12345,1320,3072,34603008,486,33792.000000,2097.652886,3.44484,8.01709,job.586791.out
