omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,16,8,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,4560,6144.000000,2480.775815,4.96914,11.5645,job.586873.out
4,3,16,10,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,3780,7680.000000,2449.974091,5.21368,12.1337,job.586874.out
4,3,16,12,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,3025,9216.000000,2182.959853,5.6192,13.0774,job.586875.out
4,3,16,14,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,2499,10752.000000,2205.282064,5.36098,12.4765,job.586876.out
4,3,16,16,16,16,16,8,8,8,8,MACRO,OLD,12345,1320,3072,12582912,2313,12288.000000,2202.390570,5.67826,13.2149,job.586877.out
4,3,16,18,16,16,16,9,8,8,8,MACRO,OLD,12345,1320,3072,14155776,2046,13824.000000,2200.498433,5.6555,13.1619,job.586878.out
4,3,16,20,16,16,16,10,8,8,8,MACRO,OLD,12345,1320,3072,15728640,1837,15360.000000,2203.756922,5.63364,13.111,job.586879.out
4,3,16,22,16,16,16,11,8,8,8,MACRO,OLD,12345,1320,3072,17301504,1668,16896.000000,2189.130216,5.66449,13.1828,job.586880.out
4,3,16,24,16,16,16,12,8,8,8,MACRO,OLD,12345,1320,3072,18874368,1523,18432.000000,2201.415376,5.61078,13.0578,job.586881.out
4,3,16,26,16,16,16,13,8,8,8,MACRO,OLD,12345,1320,3072,20447232,1349,19968.000000,2190.829968,5.40992,12.5903,job.586882.out
4,3,16,28,16,16,16,14,8,8,8,MACRO,OLD,12345,1320,3072,22020096,1238,21504.000000,2204.278816,5.31406,12.3673,job.586883.out
4,3,16,30,16,16,16,15,8,8,8,MACRO,OLD,12345,1320,3072,23592960,1100,23040.000000,2144.573021,5.1998,12.1014,job.586884.out
4,3,16,32,16,16,16,16,8,8,8,MACRO,OLD,12345,1320,3072,25165824,1010,24576.000000,2182.223315,5.00479,11.6475,job.586885.out
4,3,16,34,16,16,16,17,8,8,8,MACRO,OLD,12345,1320,3072,26738688,929,26112.000000,2171.734929,4.91475,11.438,job.586886.out
4,3,16,36,16,16,16,18,8,8,8,MACRO,OLD,12345,1320,3072,28311552,861,27648.000000,2195.349424,4.77107,11.1036,job.586887.out
4,3,16,38,16,16,16,19,8,8,8,MACRO,OLD,12345,1320,3072,29884416,789,29184.000000,2183.296535,4.64047,10.7996,job.586888.out
4,3,16,40,16,16,16,20,8,8,8,MACRO,OLD,12345,1320,3072,31457280,724,30720.000000,2194.829708,4.45873,10.3767,job.586889.out
4,3,16,42,16,16,16,21,8,8,8,MACRO,OLD,12345,1320,3072,33030144,654,32256.000000,2149.494267,4.31822,10.0497,job.586890.out
4,3,16,44,16,16,16,22,8,8,8,MACRO,OLD,12345,1320,3072,34603008,625,33792.000000,2188.734241,4.24574,9.881,job.586891.out
4,3,16,46,16,16,16,23,8,8,8,MACRO,OLD,12345,1320,3072,36175872,589,35328.000000,2180.011521,4.1998,9.77407,job.586892.out
4,3,16,48,16,16,16,24,8,8,8,MACRO,OLD,12345,1320,3072,37748736,567,36864.000000,2200.914780,4.17864,9.72484,job.586893.out
4,3,16,50,16,16,16,25,8,8,8,MACRO,OLD,12345,1320,3072,39321600,529,38400.000000,2185.488323,4.0897,9.51784,job.586894.out
4,3,16,52,16,16,16,26,8,8,8,MACRO,OLD,12345,1320,3072,40894464,503,39936.000000,2168.607309,4.07572,9.48531,job.586895.out
4,3,16,54,16,16,16,27,8,8,8,MACRO,OLD,12345,1320,3072,42467328,478,41472.000000,2174.956265,4.01038,9.33324,job.586896.out
4,3,16,56,16,16,16,28,8,8,8,MACRO,OLD,12345,1320,3072,44040192,461,43008.000000,2205.657598,3.95517,9.20475,job.586897.out
4,3,16,58,16,16,16,29,8,8,8,MACRO,OLD,12345,1320,3072,45613056,440,44544.000000,2171.265179,3.97175,9.24334,job.586898.out
4,3,16,60,16,16,16,30,8,8,8,MACRO,OLD,12345,1320,3072,47185920,415,46080.000000,2154.099061,3.90614,9.09065,job.586899.out
4,3,16,62,16,16,16,31,8,8,8,MACRO,OLD,12345,1320,3072,48758784,407,47616.000000,2190.573837,3.89262,9.05919,job.586900.out
4,3,16,64,16,16,16,32,8,8,8,MACRO,OLD,12345,1320,3072,50331648,386,49152.000000,2190.051107,3.81177,8.87103,job.586901.out
2,3,32,16,16,16,16,4,8,8,8,MACRO,OLD,12345,1320,3072,6291456,3127,6144.000000,2223.196186,3.80237,8.84914,job.586902.out
2,3,32,20,16,16,16,5,8,8,8,MACRO,OLD,12345,1320,3072,7864320,2377,7680.000000,2164.088501,3.71166,8.63804,job.586903.out
2,3,32,24,16,16,16,6,8,8,8,MACRO,OLD,12345,1320,3072,9437184,2016,9216.000000,2199.984944,3.71592,8.64795,job.586904.out
2,3,32,28,16,16,16,7,8,8,8,MACRO,OLD,12345,1320,3072,11010048,1601,10752.000000,2172.558106,3.48628,8.11352,job.586905.out
