omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,5688,6144.000000,2302.519107,6.67821,15.542,job.588463.out
4,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,4148,7680.000000,2168.677867,6.46335,15.042,job.588464.out
4,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,4099,9216.000000,2184.777783,7.60792,17.7057,job.588465.out
4,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,3737,10752.000000,2194.094699,8.05767,18.7524,job.588466.out
4,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,3013,12288.000000,2225.929674,7.31849,17.0321,job.588467.out
4,3,32,36,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,2699,13824.000000,2200.975200,7.45889,17.3589,job.588468.out
4,3,32,40,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,2422,15360.000000,2196.223637,7.45318,17.3456,job.588469.out
4,3,32,44,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,2472,16896.000000,2194.873764,8.37289,19.486,job.588470.out
4,3,32,48,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,2018,18432.000000,2197.260006,7.44843,17.3345,job.588471.out
4,3,32,52,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,1870,19968.000000,2197.241205,7.47741,17.402,job.588472.out
4,3,32,56,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1677,21504.000000,2186.374185,7.25739,16.8899,job.588473.out
4,3,32,60,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,1537,23040.000000,2170.735654,7.17798,16.7051,job.588474.out
4,3,32,64,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,1395,24576.000000,2191.574624,6.88306,16.0188,job.588475.out
4,3,32,68,16,16,16,17,8,8,8,AVX2,OLD,12345,1320,3072,26738688,1275,26112.000000,2167.926151,6.75707,15.7255,job.588476.out
4,3,32,72,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,1164,27648.000000,2214.010012,6.39573,14.8846,job.588477.out
4,3,32,76,16,16,16,19,8,8,8,AVX2,OLD,12345,1320,3072,29884416,1085,29184.000000,2227.701977,6.25418,14.5552,job.588478.out
4,3,32,80,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,961,30720.000000,2157.633969,6.02032,14.0109,job.588479.out
4,3,32,84,16,16,16,21,8,8,8,AVX2,OLD,12345,1320,3072,33030144,900,32256.000000,2175.664706,5.87102,13.6635,job.588480.out
4,3,32,88,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,851,33792.000000,2197.378007,5.75826,13.401,job.588481.out
4,3,32,92,16,16,16,23,8,8,8,AVX2,OLD,12345,1320,3072,36175872,792,35328.000000,2158.806456,5.70274,13.2718,job.588482.out
4,3,32,96,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,755,36864.000000,2182.452789,5.61122,13.0588,job.588483.out
4,3,32,100,16,16,16,25,8,8,8,AVX2,OLD,12345,1320,3072,39321600,710,38400.000000,2153.964947,5.56934,12.9614,job.588484.out
4,3,32,104,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,660,39936.000000,2138.657693,5.42275,12.6202,job.588485.out
4,3,32,108,16,16,16,27,8,8,8,AVX2,OLD,12345,1320,3072,42467328,641,41472.000000,2155.262383,5.42707,12.6303,job.588486.out
4,3,32,112,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,610,43008.000000,2163.886650,5.33454,12.4149,job.588487.out
4,3,32,116,16,16,16,29,8,8,8,AVX2,OLD,12345,1320,3072,45613056,590,44544.000000,2170.838766,5.3268,12.3969,job.588488.out
4,3,32,120,16,16,16,30,8,8,8,AVX2,OLD,12345,1320,3072,47185920,557,46080.000000,2151.872583,5.24812,12.2138,job.588489.out
4,3,32,124,16,16,16,31,8,8,8,AVX2,OLD,12345,1320,3072,48758784,533,47616.000000,2127.849258,5.24798,12.2135,job.588490.out
4,3,32,128,16,16,16,32,8,8,8,AVX2,OLD,12345,1320,3072,50331648,510,49152.000000,2115.036861,5.2149,12.1365,job.588491.out
3,3,40,20,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,3608,6144.000000,2205.999547,4.42145,10.2899,job.588492.out
3,3,40,30,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,2993,9216.000000,2199.098701,5.51896,12.8441,job.588493.out
3,3,40,40,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,2279,12288.000000,2241.834749,5.49635,12.7915,job.588494.out
3,3,40,50,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,1494,15360.000000,2216.072341,4.55628,10.6037,job.588495.out
3,3,40,60,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,1133,18432.000000,2220.004433,4.13906,9.63271,job.588496.out
3,3,40,70,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,866,21504.000000,2219.511346,3.69175,8.59171,job.588497.out
3,3,40,80,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,763,24576.000000,2277.186645,3.62318,8.43213,job.588498.out
3,3,40,90,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,652,27648.000000,2220.405238,3.57217,8.31341,job.588499.out
3,3,40,100,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,576,30720.000000,2204.298490,3.53204,8.22003,job.588500.out
3,3,40,110,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,535,33792.000000,2208.239978,3.60225,8.38342,job.588501.out
3,3,40,120,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,489,36864.000000,2236.488333,3.54648,8.25362,job.588502.out
