omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,4572,6144.000000,2233.216731,5.53451,12.8803,job.587918.out
4,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,3850,7680.000000,2185.955891,5.95159,13.851,job.587919.out
4,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,3449,9216.000000,2223.888595,6.28891,14.636,job.587920.out
4,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,2987,10752.000000,2165.716592,6.52493,15.1853,job.587921.out
4,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,2706,12288.000000,2198.855259,6.65373,15.485,job.587922.out
4,3,32,36,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,2460,13824.000000,2195.053619,6.81673,15.8644,job.587923.out
4,3,32,40,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,2182,15360.000000,2191.344600,6.72958,15.6616,job.587924.out
4,3,32,44,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,1979,16896.000000,2199.049864,6.69033,15.5702,job.587925.out
4,3,32,48,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,1714,18432.000000,2180.698483,6.37441,14.835,job.587926.out
4,3,32,52,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,1696,19968.000000,2262.696641,6.58547,15.3262,job.587927.out
4,3,32,56,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,1467,21504.000000,2224.107227,6.24089,14.5242,job.587928.out
4,3,32,60,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,1386,23040.000000,2213.901246,6.34659,14.7702,job.587929.out
4,3,32,64,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,1203,24576.000000,2181.583218,5.9629,13.8773,job.587930.out
4,3,32,68,16,16,16,17,8,8,8,AVX2,OLD,12345,1320,3072,26738688,1095,26112.000000,2183.141357,5.76269,13.4113,job.587931.out
4,3,32,72,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,1046,27648.000000,2225.863327,5.71676,13.3044,job.587932.out
4,3,32,76,16,16,16,19,8,8,8,AVX2,OLD,12345,1320,3072,29884416,931,29184.000000,2160.613698,5.53312,12.8771,job.587933.out
4,3,32,80,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,849,30720.000000,2163.964380,5.30312,12.3418,job.587934.out
4,3,32,84,16,16,16,21,8,8,8,AVX2,OLD,12345,1320,3072,33030144,781,32256.000000,2220.588661,4.99167,11.617,job.587935.out
4,3,32,88,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,749,33792.000000,2215.442223,5.02676,11.6986,job.587936.out
4,3,32,92,16,16,16,23,8,8,8,AVX2,OLD,12345,1320,3072,36175872,711,35328.000000,2203.621127,5.01539,11.6722,job.587937.out
4,3,32,96,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,662,36864.000000,2178.429337,4.92912,11.4714,job.587938.out
4,3,32,100,16,16,16,25,8,8,8,AVX2,OLD,12345,1320,3072,39321600,611,38400.000000,2159.982413,4.77942,11.123,job.587939.out
4,3,32,104,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,632,39936.000000,2250.614128,4.93439,11.4837,job.587940.out
4,3,32,108,16,16,16,27,8,8,8,AVX2,OLD,12345,1320,3072,42467328,588,41472.000000,2178.039004,4.92628,11.4648,job.587941.out
4,3,32,112,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,559,43008.000000,2156.164726,4.90605,11.4177,job.587942.out
4,3,32,116,16,16,16,29,8,8,8,AVX2,OLD,12345,1320,3072,45613056,529,44544.000000,2134.226006,4.858,11.3059,job.587943.out
4,3,32,120,16,16,16,30,8,8,8,AVX2,OLD,12345,1320,3072,47185920,515,46080.000000,2141.385996,4.87615,11.3481,job.587944.out
4,3,32,124,16,16,16,31,8,8,8,AVX2,OLD,12345,1320,3072,48758784,502,47616.000000,2150.018815,4.89178,11.3845,job.587945.out
4,3,32,128,16,16,16,32,8,8,8,AVX2,OLD,12345,1320,3072,50331648,491,49152.000000,2172.203379,4.88849,11.3769,job.587946.out
