omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,4613,6144.000000,2200.063653,5.66829,13.1917,job.588722.out
4,3,32,20,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,3971,7680.000000,2120.292209,6.32875,14.7287,job.588723.out
4,3,32,24,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,3838,9216.000000,2353.981392,6.61146,15.3867,job.588724.out
4,3,32,28,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,3064,10752.000000,2145.852653,6.75508,15.7209,job.588725.out
4,3,32,32,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,2974,12288.000000,2256.637230,7.12546,16.5829,job.588726.out
4,3,32,36,16,16,16,9,8,8,8,AVX2,NEW,12345,1320,3072,14155776,2637,13824.000000,2182.193951,7.35027,17.1061,job.588727.out
4,3,32,40,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,2329,15360.000000,2110.119543,7.45944,17.3602,job.588728.out
4,3,32,44,16,16,16,11,8,8,8,AVX2,NEW,12345,1320,3072,17301504,2089,16896.000000,2212.533223,7.01916,16.3355,job.588729.out
4,3,32,48,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,1909,18432.000000,2240.746917,6.90937,16.08,job.588730.out
4,3,32,52,16,16,16,13,8,8,8,AVX2,NEW,12345,1320,3072,20447232,1726,19968.000000,2267.513588,6.68772,15.5642,job.588731.out
4,3,32,56,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,1429,21504.000000,2264.992575,5.96949,13.8926,job.588732.out
4,3,32,60,16,16,16,15,8,8,8,AVX2,NEW,12345,1320,3072,23592960,1190,23040.000000,2197.616946,5.48947,12.7755,job.588733.out
4,3,32,64,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,1053,24576.000000,2212.164767,5.14724,11.979,job.588734.out
4,3,32,68,16,16,16,17,8,8,8,AVX2,NEW,12345,1320,3072,26738688,899,26112.000000,2161.212460,4.7792,11.1225,job.588735.out
4,3,32,72,16,16,16,18,8,8,8,AVX2,NEW,12345,1320,3072,28311552,791,27648.000000,2184.459546,4.40503,10.2517,job.588736.out
4,3,32,76,16,16,16,19,8,8,8,AVX2,NEW,12345,1320,3072,29884416,698,29184.000000,2180.829889,4.1099,9.56486,job.588737.out
4,3,32,80,16,16,16,20,8,8,8,AVX2,NEW,12345,1320,3072,31457280,628,30720.000000,2196.267627,3.86499,8.99488,job.588738.out
4,3,32,84,16,16,16,21,8,8,8,AVX2,NEW,12345,1320,3072,33030144,597,32256.000000,2174.428509,3.89666,9.06859,job.588739.out
4,3,32,88,16,16,16,22,8,8,8,AVX2,NEW,12345,1320,3072,34603008,537,33792.000000,2178.281248,3.66545,8.53049,job.588740.out
4,3,32,92,16,16,16,23,8,8,8,AVX2,NEW,12345,1320,3072,36175872,498,35328.000000,2115.424727,3.65935,8.5163,job.588741.out
4,3,32,96,16,16,16,24,8,8,8,AVX2,NEW,12345,1320,3072,37748736,478,36864.000000,2179.370410,3.55756,8.27941,job.588742.out
4,3,32,100,16,16,16,25,8,8,8,AVX2,NEW,12345,1320,3072,39321600,452,38400.000000,2188.729648,3.48923,8.1204,job.588743.out
4,3,32,104,16,16,16,26,8,8,8,AVX2,NEW,12345,1320,3072,40894464,431,39936.000000,2179.976820,3.4741,8.08518,job.588744.out
4,3,32,108,16,16,16,27,8,8,8,AVX2,NEW,12345,1320,3072,42467328,416,41472.000000,2182.503438,3.47813,8.09456,job.588745.out
4,3,32,112,16,16,16,28,8,8,8,AVX2,NEW,12345,1320,3072,44040192,411,43008.000000,2249.970490,3.45674,8.04478,job.588746.out
4,3,32,116,16,16,16,29,8,8,8,AVX2,NEW,12345,1320,3072,45613056,368,44544.000000,2187.706084,3.29686,7.6727,job.588747.out
