omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,2805,6144.000000,2129.020336,3.5617,8.28904,job.588117.out
4,3,32,20,16,16,16,5,8,8,8,AVX2,NEW,12345,1320,3072,7864320,2347,7680.000000,2160.013478,3.67173,8.54511,job.588118.out
4,3,32,32,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,1481,12288.000000,2128.844885,3.76136,8.75371,job.588121.out
4,3,32,28,16,16,16,7,8,8,8,AVX2,NEW,12345,1320,3072,11010048,1696,10752.000000,2142.589666,3.7448,8.71517,job.588120.out
4,3,32,24,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,1940,9216.000000,2113.490769,3.72217,8.66251,job.588119.out
4,3,32,36,16,16,16,9,8,8,8,AVX2,NEW,12345,1320,3072,14155776,1329,13824.000000,2121.844902,3.80976,8.86635,job.588122.out
4,3,32,40,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,1193,15360.000000,2116.531811,3.80943,8.86557,job.588123.out
4,3,32,44,16,16,16,11,8,8,8,AVX2,NEW,12345,1320,3072,17301504,1062,16896.000000,2099.507175,3.76048,8.75167,job.588124.out
4,3,32,48,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,960,18432.000000,2102.275405,3.70345,8.61894,job.588125.out
4,3,32,56,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,808,21504.000000,2137.339736,3.57692,8.32448,job.588127.out
4,3,32,64,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,681,24576.000000,2085.161456,3.5316,8.21899,job.588129.out
4,3,32,60,16,16,16,15,8,8,8,AVX2,NEW,12345,1320,3072,23592960,742,23040.000000,2111.453682,3.56252,8.29096,job.588128.out
4,3,32,52,16,16,16,13,8,8,8,AVX2,NEW,12345,1320,3072,20447232,869,19968.000000,2081.888080,3.66733,8.53487,job.588126.out
4,3,32,68,16,16,16,17,8,8,8,AVX2,NEW,12345,1320,3072,26738688,626,26112.000000,2104.739017,3.41719,7.95273,job.588130.out
4,3,32,72,16,16,16,18,8,8,8,AVX2,NEW,12345,1320,3072,28311552,585,27648.000000,2081.844996,3.41841,7.95557,job.588131.out
4,3,32,76,16,16,16,19,8,8,8,AVX2,NEW,12345,1320,3072,29884416,554,29184.000000,2118.562597,3.35789,7.81472,job.588132.out
4,3,32,80,16,16,16,20,8,8,8,AVX2,NEW,12345,1320,3072,31457280,500,30720.000000,2026.210770,3.33549,7.76259,job.588133.out
4,3,32,84,16,16,16,21,8,8,8,AVX2,NEW,12345,1320,3072,33030144,480,32256.000000,2031.646385,3.35318,7.80375,job.588134.out
4,3,32,88,16,16,16,22,8,8,8,AVX2,NEW,12345,1320,3072,34603008,473,33792.000000,2130.988253,3.30025,7.68058,job.588135.out
4,3,32,92,16,16,16,23,8,8,8,AVX2,NEW,12345,1320,3072,36175872,430,35328.000000,2018.136255,3.312,7.70792,job.588136.out
4,3,32,96,16,16,16,24,8,8,8,AVX2,NEW,12345,1320,3072,37748736,406,36864.000000,2027.287550,3.24837,7.55985,job.588137.out
4,3,32,100,16,16,16,25,8,8,8,AVX2,NEW,12345,1320,3072,39321600,385,38400.000000,2008.434778,3.23882,7.53762,job.588138.out
4,3,32,108,16,16,16,27,8,8,8,AVX2,NEW,12345,1320,3072,42467328,371,41472.000000,2085.051888,3.24687,7.55635,job.588140.out
4,3,32,104,16,16,16,26,8,8,8,AVX2,NEW,12345,1320,3072,40894464,384,39936.000000,2093.455780,3.22318,7.50122,job.588139.out
4,3,32,112,16,16,16,28,8,8,8,AVX2,NEW,12345,1320,3072,44040192,355,43008.000000,2113.282494,3.17887,7.3981,job.588141.out
4,3,32,116,16,16,16,29,8,8,8,AVX2,NEW,12345,1320,3072,45613056,339,44544.000000,2085.643479,3.18568,7.41394,job.588142.out
3,3,40,20,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,2233,6144.000000,2110.185523,2.8607,6.65762,job.588146.out
4,3,32,124,16,16,16,31,8,8,8,AVX2,NEW,12345,1320,3072,48758784,309,47616.000000,2027.260380,3.19341,7.43193,job.588144.out
3,3,40,40,16,16,16,8,8,8,8,AVX2,NEW,12345,1320,3072,12582912,1142,12288.000000,2111.450546,2.92428,6.8056,job.588148.out
4,3,32,128,16,16,16,32,8,8,8,AVX2,NEW,12345,1320,3072,50331648,322,49152.000000,2195.530096,3.17183,7.38172,job.588145.out
4,3,32,120,16,16,16,30,8,8,8,AVX2,NEW,12345,1320,3072,47185920,327,46080.000000,2070.449760,3.2022,7.45239,job.588143.out
3,3,40,30,16,16,16,6,8,8,8,AVX2,NEW,12345,1320,3072,9437184,1509,9216.000000,2115.224662,2.89286,6.73248,job.588147.out
3,3,40,50,16,16,16,10,8,8,8,AVX2,NEW,12345,1320,3072,15728640,907,15360.000000,2125.807707,2.88355,6.7108,job.588149.out
3,3,40,60,16,16,16,12,8,8,8,AVX2,NEW,12345,1320,3072,18874368,748,18432.000000,2117.282579,2.86515,6.66799,job.588150.out
3,3,40,70,16,16,16,14,8,8,8,AVX2,NEW,12345,1320,3072,22020096,582,21504.000000,2024.084818,2.72061,6.3316,job.588151.out
3,3,40,80,16,16,16,16,8,8,8,AVX2,NEW,12345,1320,3072,25165824,495,24576.000000,2023.715339,2.64496,6.15555,job.588152.out
3,3,40,90,16,16,16,18,8,8,8,AVX2,NEW,12345,1320,3072,28311552,485,27648.000000,2202.711732,2.67855,6.23373,job.588153.out
2,3,56,28,16,16,16,4,8,8,8,AVX2,NEW,12345,1320,3072,6291456,1575,6144.000000,2115.065480,2.01308,4.68498,job.588157.out
