omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
4,3,32,16,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,3232,6144.000000,2181.594320,4.00499,9.3207,job.588015.out
4,3,32,20,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,2510,7680.000000,2141.368477,3.96092,9.21814,job.588016.out
4,3,32,24,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,2192,9216.000000,2191.833824,4.05535,9.4379,job.588017.out
4,3,32,28,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,1868,10752.000000,2168.017233,4.07621,9.48644,job.588018.out
4,3,32,32,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,1614,12288.000000,2150.762252,4.05737,9.44262,job.588019.out
4,3,32,36,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,1443,13824.000000,2132.454696,4.11598,9.579,job.588020.out
4,3,32,40,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,1308,15360.000000,2165.806044,4.08162,9.49903,job.588021.out
4,3,32,44,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,1165,16896.000000,2112.012610,4.10078,9.54362,job.588022.out
4,3,32,48,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,1015,18432.000000,2128.171045,3.86798,9.00185,job.588023.out
4,3,32,52,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,950,19968.000000,2120.554777,3.93606,9.16028,job.588024.out
4,3,32,56,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,837,21504.000000,2099.628059,3.77186,8.77814,job.588025.out
4,3,32,60,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,768,23040.000000,2146.813972,3.62662,8.44013,job.588026.out
4,3,32,64,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,689,24576.000000,2133.105245,3.49278,8.12864,job.588027.out
4,3,32,68,16,16,16,17,8,8,8,AVX2,OLD,12345,1320,3072,26738688,639,26112.000000,2142.928064,3.42599,7.97321,job.588028.out
4,3,32,72,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,583,27648.000000,2121.570438,3.34293,7.77991,job.588029.out
4,3,32,76,16,16,16,19,8,8,8,AVX2,OLD,12345,1320,3072,29884416,548,29184.000000,2141.274687,3.28629,7.64809,job.588030.out
4,3,32,80,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,495,30720.000000,2091.559727,3.19896,7.44485,job.588031.out
4,3,32,84,16,16,16,21,8,8,8,AVX2,OLD,12345,1320,3072,33030144,468,32256.000000,2114.026405,3.14195,7.31216,job.588032.out
4,3,32,88,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,446,33792.000000,2124.417207,3.12149,7.26455,job.588033.out
4,3,32,92,16,16,16,23,8,8,8,AVX2,OLD,12345,1320,3072,36175872,421,35328.000000,2141.821285,3.05542,7.11079,job.588034.out
4,3,32,96,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,390,36864.000000,2103.610764,3.00714,6.99845,job.588035.out
4,3,32,100,16,16,16,25,8,8,8,AVX2,OLD,12345,1320,3072,39321600,363,38400.000000,2100.961307,2.91926,6.79391,job.588036.out
4,3,32,104,16,16,16,26,8,8,8,AVX2,OLD,12345,1320,3072,40894464,374,39936.000000,2182.217035,3.01156,7.00871,job.588037.out
4,3,32,108,16,16,16,27,8,8,8,AVX2,OLD,12345,1320,3072,42467328,364,41472.000000,2203.153388,3.01484,7.01636,job.588038.out
4,3,32,112,16,16,16,28,8,8,8,AVX2,OLD,12345,1320,3072,44040192,328,43008.000000,2108.322686,2.94401,6.8515,job.588039.out
4,3,32,116,16,16,16,29,8,8,8,AVX2,OLD,12345,1320,3072,45613056,321,44544.000000,2125.874944,2.95944,6.88742,job.588040.out
4,3,32,120,16,16,16,30,8,8,8,AVX2,OLD,12345,1320,3072,47185920,317,46080.000000,2163.232242,2.97113,6.91462,job.588041.out
4,3,32,124,16,16,16,31,8,8,8,AVX2,OLD,12345,1320,3072,48758784,304,47616.000000,2170.832450,2.93395,6.8281,job.588042.out
4,3,32,128,16,16,16,32,8,8,8,AVX2,OLD,12345,1320,3072,50331648,274,49152.000000,2116.617304,2.79964,6.51552,job.588043.out
3,3,40,20,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,2571,6144.000000,2198.709442,3.1611,7.35674,job.588044.out
3,3,40,30,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,1764,9216.000000,2202.742982,3.24736,7.55748,job.588045.out
3,3,40,40,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,1293,12288.000000,2199.851996,3.17789,7.39582,job.588046.out
3,3,40,50,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,905,15360.000000,2276.999707,2.68615,6.25139,job.588047.out
3,3,40,60,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,688,18432.000000,2275.845132,2.45172,5.70582,job.588048.out
3,3,40,70,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,556,21504.000000,2283.302499,2.304,5.36205,job.588049.out
3,3,40,80,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,464,24576.000000,2247.404241,2.23255,5.19575,job.588050.out
3,3,40,90,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,394,27648.000000,2213.293478,2.16558,5.03989,job.588051.out
3,3,40,100,16,16,16,20,8,8,8,AVX2,OLD,12345,1320,3072,31457280,353,30720.000000,2287.309513,2.08604,4.8548,job.588052.out
3,3,40,110,16,16,16,22,8,8,8,AVX2,OLD,12345,1320,3072,34603008,322,33792.000000,2163.211137,2.21321,5.15075,job.588053.out
3,3,40,120,16,16,16,24,8,8,8,AVX2,OLD,12345,1320,3072,37748736,304,36864.000000,2287.955454,2.15517,5.01566,job.588054.out
2,3,56,28,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,2034,6144.000000,2122.296848,2.59089,6.0297,job.588055.out
2,3,56,42,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,1319,9216.000000,2100.568422,2.54626,5.92585,job.588056.out
2,3,56,56,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,903,12288.000000,2121.362699,2.30148,5.35617,job.588057.out
2,3,56,70,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,654,15360.000000,2058.792586,2.14689,4.99639,job.588058.out
2,3,56,84,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,527,18432.000000,2097.841168,2.03734,4.74144,job.588059.out
2,3,56,98,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,450,21504.000000,2106.833459,2.02094,4.70329,job.588060.out
2,3,56,112,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,402,24576.000000,2196.591263,1.97898,4.60562,job.588061.out
2,3,56,126,16,16,16,18,8,8,8,AVX2,OLD,12345,1320,3072,28311552,333,27648.000000,2101.640345,1.92753,4.4859,job.588062.out
2,3,64,32,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,2079,6144.000000,2115.034322,2.6573,6.18427,job.588063.out
2,3,64,40,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,1667,7680.000000,2145.727371,2.62528,6.10973,job.588064.out
2,3,64,48,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,1270,9216.000000,2090.932636,2.46297,5.732,job.588065.out
2,3,64,56,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,1058,10752.000000,2104.164145,2.37875,5.53599,job.588066.out
2,3,64,64,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,874,12288.000000,2099.249293,2.25103,5.23876,job.588067.out
2,3,64,72,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,743,13824.000000,2103.006782,2.14899,5.00129,job.588068.out
2,3,64,80,16,16,16,10,8,8,8,AVX2,OLD,12345,1320,3072,15728640,641,15360.000000,2090.819939,2.07198,4.82206,job.588069.out
2,3,64,88,16,16,16,11,8,8,8,AVX2,OLD,12345,1320,3072,17301504,554,16896.000000,2027.388862,2.03146,4.72777,job.588070.out
2,3,64,96,16,16,16,12,8,8,8,AVX2,OLD,12345,1320,3072,18874368,495,18432.000000,2004.136308,2.0031,4.66176,job.588071.out
2,3,64,104,16,16,16,13,8,8,8,AVX2,OLD,12345,1320,3072,20447232,466,19968.000000,2055.373104,1.99197,4.63585,job.588072.out
2,3,64,112,16,16,16,14,8,8,8,AVX2,OLD,12345,1320,3072,22020096,442,21504.000000,2140.639573,1.95367,4.54672,job.588073.out
2,3,64,120,16,16,16,15,8,8,8,AVX2,OLD,12345,1320,3072,23592960,387,23040.000000,2014.974704,1.94705,4.53131,job.588074.out
2,3,64,128,16,16,16,16,8,8,8,AVX2,OLD,12345,1320,3072,25165824,364,24576.000000,2043.520321,1.92613,4.48264,job.588075.out
1,3,104,52,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,1028,6144.000000,2201.067422,1.26259,2.9384,job.588089.out
1,3,104,78,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,590,9216.000000,2019.287097,1.18481,2.75738,job.588090.out
1,3,104,104,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,439,12288.000000,2068.304801,1.14758,2.67074,job.588091.out
1,3,112,56,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,971,6144.000000,2092.026446,1.25475,2.92014,job.588092.out
1,3,112,70,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,728,7680.000000,2049.011829,1.20061,2.79414,job.588093.out
1,3,112,98,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,506,10752.000000,2062.197690,1.16081,2.70153,job.588095.out
1,3,112,112,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,430,12288.000000,2013.627777,1.15458,2.68702,job.588096.out
1,3,112,126,16,16,16,9,8,8,8,AVX2,OLD,12345,1320,3072,14155776,414,13824.000000,2198.954020,1.14517,2.66513,job.588097.out
1,3,120,60,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,947,6144.000000,2081.262933,1.23006,2.86269,job.588098.out
1,3,120,90,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,587,9216.000000,2033.743428,1.17041,2.72386,job.588099.out
1,3,120,120,16,16,16,8,8,8,8,AVX2,OLD,12345,1320,3072,12582912,430,12288.000000,2068.439675,1.12398,2.61581,job.588100.out
1,3,128,64,16,16,16,4,8,8,8,AVX2,OLD,12345,1320,3072,6291456,946,6144.000000,2106.558302,1.21401,2.82533,job.588101.out
1,3,128,80,16,16,16,5,8,8,8,AVX2,OLD,12345,1320,3072,7864320,749,7680.000000,2193.840701,1.15369,2.68496,job.588102.out
1,3,128,96,16,16,16,6,8,8,8,AVX2,OLD,12345,1320,3072,9437184,578,9216.000000,2069.142761,1.13275,2.63621,job.588103.out
1,3,128,112,16,16,16,7,8,8,8,AVX2,OLD,12345,1320,3072,11010048,476,10752.000000,2022.976121,1.11316,2.59063,job.588104.out
