omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output,N_Nodes,NPX,NPY,NPZ,NPT,Total_proc,Total_DataMOV
16,3,8,20,20,20,20,20,10,10,10,AVX2,OLD,12345,1320,3072,61440000.0,2575,60000.0,2073.033597,32.7925,76.3171,job.375398.out,1,2,2,2,1,128,491520000.0
16,3,8,24,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,73728000.0,2363,72000.0,2243.887255,33.3617,77.6417,job.375400.out,1,2,2,2,1,128,589824000.0
16,3,8,22,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,67584000.0,2599,66000.0,2293.495803,32.9083,76.5865,job.375399.out,1,2,2,2,1,128,540672000.0
16,3,8,28,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,86016000.0,2054,84000.0,2195.643877,34.5757,80.467,job.375402.out,1,2,2,2,1,128,688128000.0
16,3,8,30,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,92160000.0,1931,90000.0,2212.508857,34.5615,80.434,job.375403.out,1,2,2,2,1,128,737280000.0
16,3,8,32,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,98304000.0,1762,96000.0,2237.303428,33.2663,77.4198,job.375404.out,1,2,2,2,1,128,786432000.0
16,3,8,26,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,79872000.0,2199,78000.0,2220.962355,33.9806,79.0822,job.375401.out,1,2,2,2,1,128,638976000.0
16,3,8,34,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,104448000.0,1578,102000.0,2186.348314,32.3922,75.3855,job.375405.out,1,2,2,2,1,128,835584000.0
16,3,8,36,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,110592000.0,1433,108000.0,2159.35078,31.5355,73.3917,job.375406.out,1,2,2,2,1,128,884736000.0
16,3,8,38,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,116736000.0,1434,114000.0,2467.33892,29.1526,67.8461,job.375407.out,1,2,2,2,1,128,933888000.0
16,3,8,40,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,122880000.0,1317,120000.0,2660.652558,26.1355,60.8245,job.375408.out,1,2,2,2,1,128,983040000.0
16,3,8,42,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,129024000.0,1176,126000.0,2091.241178,31.1764,72.5561,job.375409.out,1,2,2,2,1,128,1032192000.0
