omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output,N_Nodes,NPX,NPY,NPZ,NPT,Total_proc,Total_DataMOV
16,3,8,20,20,20,20,20,10,10,10,AVX2,OLD,12345,1320,3072,61440000.0,2825,60000.0,2235.163044,33.3667,77.6534,job.374776.out,1,2,2,2,1,128,491520000.0
16,3,8,26,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,79872000.0,2178,78000.0,2200.196515,33.9738,79.0662,job.374779.out,1,2,2,2,1,128,638976000.0
16,3,8,22,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,67584000.0,2564,66000.0,2250.552936,33.0846,76.9968,job.374777.out,1,2,2,2,1,128,540672000.0
16,3,8,28,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,86016000.0,2027,84000.0,2239.896995,33.447,77.8404,job.374780.out,1,2,2,2,1,128,688128000.0
16,3,8,24,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,73728000.0,2347,72000.0,2246.011158,33.1044,77.0431,job.374778.out,1,2,2,2,1,128,589824000.0
16,3,8,30,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,92160000.0,1786,90000.0,2185.417378,32.3625,75.3164,job.374781.out,1,2,2,2,1,128,737280000.0
16,3,8,32,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,98304000.0,1751,96000.0,2217.652032,33.3516,77.6183,job.374782.out,1,2,2,2,1,128,786432000.0
16,3,8,34,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,104448000.0,1624,102000.0,2231.62101,32.6602,76.0091,job.374783.out,1,2,2,2,1,128,835584000.0
16,3,8,36,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,110592000.0,1524,108000.0,2177.000952,33.2662,77.4194,job.374784.out,1,2,2,2,1,128,884736000.0
16,3,8,38,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,116736000.0,1281,114000.0,2211.87083,29.0501,67.6074,job.374785.out,1,2,2,2,1,128,933888000.0
16,3,8,40,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,122880000.0,1122,120000.0,2177.188715,27.2101,63.3254,job.374786.out,1,2,2,2,1,128,983040000.0
16,3,8,42,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,129024000.0,1205,126000.0,2151.643255,31.0485,72.2582,job.374787.out,1,2,2,2,1,128,1032192000.0
16,3,8,44,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,135168000.0,1108,132000.0,2229.814001,28.8601,67.1653,job.374788.out,1,2,2,2,1,128,1081344000.0
16,3,8,46,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,141312000.0,1052,138000.0,2179.501943,29.3083,68.2083,job.374789.out,1,2,2,2,1,128,1130496000.0
16,3,8,48,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,147456000.0,1002,144000.0,2238.826617,28.3571,65.9948,job.374790.out,1,2,2,2,1,128,1179648000.0
16,3,8,50,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,153600000.0,873,150000.0,2114.561411,27.2482,63.414,job.374791.out,1,2,2,2,1,128,1228800000.0
8,3,16,20,20,20,20,10,10,10,10,AVX2,OLD,12345,1320,3072,30720000.0,3140,30000.0,2196.354152,18.8713,43.9186,job.374847.out,1,2,2,2,2,128,491520000.0
8,3,16,22,20,20,20,11,10,10,10,AVX2,OLD,12345,1320,3072,33792000.0,2964,33000.0,2207.132982,19.4992,45.3799,job.374848.out,1,2,2,2,2,128,540672000.0
8,3,16,24,20,20,20,12,10,10,10,AVX2,OLD,12345,1320,3072,36864000.0,2860,36000.0,2214.433676,20.4578,47.6108,job.374849.out,1,2,2,2,2,128,589824000.0
8,3,16,26,20,20,20,13,10,10,10,AVX2,OLD,12345,1320,3072,39936000.0,2649,39000.0,2292.95051,19.8246,46.1373,job.374850.out,1,2,2,2,2,128,638976000.0
8,3,16,28,20,20,20,14,10,10,10,AVX2,OLD,12345,1320,3072,43008000.0,2572,42000.0,2208.060983,21.5259,50.0967,job.374851.out,1,2,2,2,2,128,688128000.0
8,3,16,30,20,20,20,15,10,10,10,AVX2,OLD,12345,1320,3072,46080000.0,2425,45000.0,2210.631265,21.72,50.5485,job.374852.out,1,2,2,2,2,128,737280000.0
