omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,AVX2,OLD,12345,1320,3072,6.144000e+07,2575,60000.000000,2073.033597,32.7925,76.3171,job.375398.out
16,3,8,24,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,2363,72000.000000,2243.887255,33.3617,77.6417,job.375400.out
16,3,8,22,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,2599,66000.000000,2293.495803,32.9083,76.5865,job.375399.out
16,3,8,28,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,2054,84000.000000,2195.643877,34.5757,80.467,job.375402.out
16,3,8,30,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,1931,90000.000000,2212.508857,34.5615,80.434,job.375403.out
16,3,8,32,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,1762,96000.000000,2237.303428,33.2663,77.4198,job.375404.out
16,3,8,26,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,2199,78000.000000,2220.962355,33.9806,79.0822,job.375401.out
16,3,8,34,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,1578,102000.000000,2186.348314,32.3922,75.3855,job.375405.out
16,3,8,36,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,1433,108000.000000,2159.350780,31.5355,73.3917,job.375406.out
16,3,8,38,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,1434,114000.000000,2467.338920,29.1526,67.8461,job.375407.out
16,3,8,40,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,1317,120000.000000,2660.652558,26.1355,60.8245,job.375408.out
16,3,8,42,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,1176,126000.000000,2091.241178,31.1764,72.5561,job.375409.out
16,3,8,44,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,1152,132000.000000,2204.733234,30.3475,70.6269,job.375410.out
16,3,8,46,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,1050,138000.000000,2191.366054,29.0942,67.7101,job.375411.out
16,3,8,48,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,965,144000.000000,2144.838052,28.5068,66.343,job.375412.out
16,3,8,50,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,1.536000e+08,897,150000.000000,2195.008585,26.9712,62.7693,job.375413.out
16,3,8,52,20,20,20,52,10,10,10,AVX2,OLD,12345,1320,3072,1.597440e+08,862,156000.000000,2201.611084,26.8747,62.5448,job.375414.out
16,3,8,54,20,20,20,54,10,10,10,AVX2,OLD,12345,1320,3072,1.658880e+08,799,162000.000000,2195.255057,25.9436,60.3777,job.375416.out
16,3,8,56,20,20,20,56,10,10,10,AVX2,OLD,12345,1320,3072,1.720320e+08,743,168000.000000,2138.101188,25.6875,59.7819,job.375417.out
16,3,8,58,20,20,20,58,10,10,10,AVX2,OLD,12345,1320,3072,1.781760e+08,692,174000.000000,2133.379185,24.8336,57.7946,job.375418.out
16,3,8,60,20,20,20,60,10,10,10,AVX2,OLD,12345,1320,3072,1.843200e+08,682,180000.000000,2255.185054,23.9512,55.741,job.375419.out
16,3,8,62,20,20,20,62,10,10,10,AVX2,OLD,12345,1320,3072,1.904640e+08,648,186000.000000,2186.710972,24.2521,56.4412,job.375420.out
16,3,8,64,20,20,20,64,10,10,10,AVX2,OLD,12345,1320,3072,1.966080e+08,611,192000.000000,2191.830595,23.5498,54.8069,job.375421.out
