omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,AVX2,OLD,12345,1320,3072,6.144000e+07,2825,60000.000000,2235.163044,33.3667,77.6534,job.374776.out
16,3,8,26,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,2178,78000.000000,2200.196515,33.9738,79.0662,job.374779.out
16,3,8,22,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,2564,66000.000000,2250.552936,33.0846,76.9968,job.374777.out
16,3,8,28,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,2027,84000.000000,2239.896995,33.447,77.8404,job.374780.out
16,3,8,24,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,2347,72000.000000,2246.011158,33.1044,77.0431,job.374778.out
16,3,8,30,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,1786,90000.000000,2185.417378,32.3625,75.3164,job.374781.out
16,3,8,32,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,1751,96000.000000,2217.652032,33.3516,77.6183,job.374782.out
16,3,8,34,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,1624,102000.000000,2231.621010,32.6602,76.0091,job.374783.out
16,3,8,36,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,1524,108000.000000,2177.000952,33.2662,77.4194,job.374784.out
16,3,8,38,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,1281,114000.000000,2211.870830,29.0501,67.6074,job.374785.out
16,3,8,40,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,1122,120000.000000,2177.188715,27.2101,63.3254,job.374786.out
16,3,8,42,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,1205,126000.000000,2151.643255,31.0485,72.2582,job.374787.out
16,3,8,44,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,1108,132000.000000,2229.814001,28.8601,67.1653,job.374788.out
16,3,8,46,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,1052,138000.000000,2179.501943,29.3083,68.2083,job.374789.out
16,3,8,48,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,1002,144000.000000,2238.826617,28.3571,65.9948,job.374790.out
16,3,8,50,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,1.536000e+08,873,150000.000000,2114.561411,27.2482,63.414,job.374791.out
16,3,8,52,20,20,20,52,10,10,10,AVX2,OLD,12345,1320,3072,1.597440e+08,847,156000.000000,2202.884777,26.3918,61.4209,job.374792.out
16,3,8,54,20,20,20,54,10,10,10,AVX2,OLD,12345,1320,3072,1.658880e+08,781,162000.000000,2161.564269,25.7543,59.9374,job.374793.out
16,3,8,56,20,20,20,56,10,10,10,AVX2,OLD,12345,1320,3072,1.720320e+08,728,168000.000000,2128.384926,25.2838,58.8424,job.374794.out
16,3,8,58,20,20,20,58,10,10,10,AVX2,OLD,12345,1320,3072,1.781760e+08,659,174000.000000,2127.373038,23.7161,55.1939,job.374795.out
16,3,8,60,20,20,20,60,10,10,10,AVX2,OLD,12345,1320,3072,1.843200e+08,630,180000.000000,2058.044816,24.2444,56.4233,job.374796.out
16,3,8,62,20,20,20,62,10,10,10,AVX2,OLD,12345,1320,3072,1.904640e+08,636,186000.000000,2154.182121,24.1624,56.2325,job.374797.out
16,3,8,64,20,20,20,64,10,10,10,AVX2,OLD,12345,1320,3072,1.966080e+08,564,192000.000000,2138.587290,22.2795,51.8505,job.374798.out
16,3,8,66,20,20,20,66,10,10,10,AVX2,OLD,12345,1320,3072,2.027520e+08,557,198000.000000,2118.507741,22.9057,53.3077,job.374799.out
16,3,8,68,20,20,20,68,10,10,10,AVX2,OLD,12345,1320,3072,2.088960e+08,527,204000.000000,2075.244740,22.7942,53.0483,job.374800.out
16,3,8,70,20,20,20,70,10,10,10,AVX2,OLD,12345,1320,3072,2.150400e+08,513,210000.000000,2175.310221,21.7905,50.7125,job.374801.out
16,3,8,72,20,20,20,72,10,10,10,AVX2,OLD,12345,1320,3072,2.211840e+08,456,216000.000000,2040.847303,21.2354,49.4206,job.374802.out
16,3,8,74,20,20,20,74,10,10,10,AVX2,OLD,12345,1320,3072,2.273280e+08,463,222000.000000,2075.654994,21.7887,50.7083,job.374803.out
16,3,8,76,20,20,20,76,10,10,10,AVX2,OLD,12345,1320,3072,2.334720e+08,466,228000.000000,2238.313535,20.8859,48.6071,job.374804.out
16,3,8,78,20,20,20,78,10,10,10,AVX2,OLD,12345,1320,3072,2.396160e+08,412,234000.000000,2092.594823,20.2713,47.1767,job.374805.out
16,3,8,80,20,20,20,80,10,10,10,AVX2,OLD,12345,1320,3072,2.457600e+08,409,240000.000000,2147.464900,20.1123,46.8067,job.374806.out
16,3,8,82,20,20,20,82,10,10,10,AVX2,OLD,12345,1320,3072,2.519040e+08,386,246000.000000,2039.228115,20.4885,47.6822,job.374807.out
16,3,8,84,20,20,20,84,10,10,10,AVX2,OLD,12345,1320,3072,2.580480e+08,374,252000.000000,2128.514118,19.4827,45.3415,job.374808.out
16,3,8,86,20,20,20,86,10,10,10,AVX2,OLD,12345,1320,3072,2.641920e+08,339,258000.000000,2062.742266,18.6564,43.4185,job.374809.out
16,3,8,88,20,20,20,88,10,10,10,AVX2,OLD,12345,1320,3072,2.703360e+08,368,264000.000000,2114.847807,20.2127,47.0406,job.374810.out
16,3,8,90,20,20,20,90,10,10,10,AVX2,OLD,12345,1320,3072,2.764800e+08,343,270000.000000,2071.533318,19.6706,45.779,job.374811.out
16,3,8,92,20,20,20,92,10,10,10,AVX2,OLD,12345,1320,3072,2.826240e+08,306,276000.000000,2002.626502,18.556,43.1848,job.374812.out
16,3,8,94,20,20,20,94,10,10,10,AVX2,OLD,12345,1320,3072,2.887680e+08,339,282000.000000,2221.873278,18.9314,44.0585,job.374813.out
16,3,8,98,20,20,20,98,10,10,10,AVX2,OLD,12345,1320,3072,3.010560e+08,325,294000.000000,2241.738004,18.7542,43.6461,job.374815.out
16,3,8,96,20,20,20,96,10,10,10,AVX2,OLD,12345,1320,3072,2.949120e+08,333,288000.000000,2198.263354,19.196,44.6742,job.374814.out
16,3,8,100,20,20,20,100,10,10,10,AVX2,OLD,12345,1320,3072,3.072000e+08,277,300000.000000,2120.677891,17.2417,40.126,job.374816.out
16,3,8,102,20,20,20,102,10,10,10,AVX2,OLD,12345,1320,3072,3.133440e+08,311,306000.000000,2175.025788,19.2517,44.8041,job.374817.out
16,3,8,104,20,20,20,104,10,10,10,AVX2,OLD,12345,1320,3072,3.194880e+08,293,312000.000000,2136.751261,18.8244,43.8095,job.374818.out
16,3,8,108,20,20,20,108,10,10,10,AVX2,OLD,12345,1320,3072,3.317760e+08,267,324000.000000,2152.344230,17.6847,41.1571,job.374820.out
16,3,8,110,20,20,20,110,10,10,10,AVX2,OLD,12345,1320,3072,3.379200e+08,254,330000.000000,2134.765993,17.2763,40.2066,job.374821.out
16,3,8,114,20,20,20,114,10,10,10,AVX2,OLD,12345,1320,3072,3.502080e+08,240,342000.000000,2167.851303,16.6594,38.7711,job.374823.out
16,3,8,112,20,20,20,112,10,10,10,AVX2,OLD,12345,1320,3072,3.440640e+08,270,336000.000000,2200.283774,18.1417,42.2206,job.374822.out
16,3,8,116,20,20,20,116,10,10,10,AVX2,OLD,12345,1320,3072,3.563520e+08,256,348000.000000,2287.543250,17.1357,39.8795,job.374824.out
16,3,8,118,20,20,20,118,10,10,10,AVX2,OLD,12345,1320,3072,3.624960e+08,235,354000.000000,2033.388791,18.0013,41.8939,job.374825.out
16,3,8,120,20,20,20,120,10,10,10,AVX2,OLD,12345,1320,3072,3.686400e+08,226,360000.000000,2117.479232,16.9061,39.3452,job.374826.out
16,3,8,122,20,20,20,122,10,10,10,AVX2,OLD,12345,1320,3072,3.747840e+08,219,366000.000000,2106.376199,16.7433,38.9663,job.374827.out
16,3,8,124,20,20,20,124,10,10,10,AVX2,OLD,12345,1320,3072,3.809280e+08,200,372000.000000,2077.908609,15.7543,36.6646,job.374828.out
16,3,8,126,20,20,20,126,10,10,10,AVX2,OLD,12345,1320,3072,3.870720e+08,231,378000.000000,2188.786185,17.5531,40.8508,job.374829.out
16,3,8,128,20,20,20,128,10,10,10,AVX2,OLD,12345,1320,3072,3.932160e+08,200,384000.000000,2005.578839,16.849,39.2122,job.374830.out
16,3,8,130,20,20,20,130,10,10,10,AVX2,OLD,12345,1320,3072,3.993600e+08,216,390000.000000,2132.417572,17.382,40.4526,job.374831.out
16,3,8,132,20,20,20,132,10,10,10,AVX2,OLD,12345,1320,3072,4.055040e+08,208,396000.000000,2212.022714,16.3841,38.1302,job.374832.out
16,3,8,134,20,20,20,134,10,10,10,AVX2,OLD,12345,1320,3072,4.116480e+08,201,402000.000000,2186.399098,16.2609,37.8436,job.374833.out
16,3,8,136,20,20,20,136,10,10,10,AVX2,OLD,12345,1320,3072,4.177920e+08,195,408000.000000,2223.257716,15.7455,36.6442,job.374834.out
16,3,8,138,20,20,20,138,10,10,10,AVX2,OLD,12345,1320,3072,4.239360e+08,199,414000.000000,2212.332647,16.3853,38.1332,job.374835.out
16,3,8,142,20,20,20,142,10,10,10,AVX2,OLD,12345,1320,3072,4.362240e+08,185,426000.000000,2040.144544,16.997,39.5567,job.374837.out
16,3,8,140,20,20,20,140,10,10,10,AVX2,OLD,12345,1320,3072,4.300800e+08,195,420000.000000,2235.740786,16.1181,37.5113,job.374836.out
16,3,8,144,20,20,20,144,10,10,10,AVX2,OLD,12345,1320,3072,4.423680e+08,187,432000.000000,2183.039738,16.2823,37.8934,job.374838.out
16,3,8,146,20,20,20,146,10,10,10,AVX2,OLD,12345,1320,3072,4.485120e+08,182,438000.000000,2243.595137,15.6334,36.3832,job.374839.out
16,3,8,148,20,20,20,148,10,10,10,AVX2,OLD,12345,1320,3072,4.546560e+08,168,444000.000000,2164.221044,15.165,35.2932,job.374840.out
16,3,8,150,20,20,20,150,10,10,10,AVX2,OLD,12345,1320,3072,4.608000e+08,181,450000.000000,2179.198088,16.4455,38.2732,job.374841.out
16,3,8,152,20,20,20,152,10,10,10,AVX2,OLD,12345,1320,3072,4.669440e+08,180,456000.000000,2199.226821,16.4218,38.2179,job.374842.out
16,3,8,154,20,20,20,154,10,10,10,AVX2,OLD,12345,1320,3072,4.730880e+08,170,462000.000000,2189.503180,15.7833,36.7321,job.374843.out
8,3,16,20,20,20,20,10,10,10,10,AVX2,OLD,12345,1320,3072,3.072000e+07,3140,30000.000000,2196.354152,18.8713,43.9186,job.374847.out
8,3,16,22,20,20,20,11,10,10,10,AVX2,OLD,12345,1320,3072,3.379200e+07,2964,33000.000000,2207.132982,19.4992,45.3799,job.374848.out
8,3,16,24,20,20,20,12,10,10,10,AVX2,OLD,12345,1320,3072,3.686400e+07,2860,36000.000000,2214.433676,20.4578,47.6108,job.374849.out
16,3,8,156,20,20,20,156,10,10,10,AVX2,OLD,12345,1320,3072,4.792320e+08,152,468000.000000,2022.748380,15.4739,36.012,job.374844.out
8,3,16,26,20,20,20,13,10,10,10,AVX2,OLD,12345,1320,3072,3.993600e+07,2649,39000.000000,2292.950510,19.8246,46.1373,job.374850.out
8,3,16,28,20,20,20,14,10,10,10,AVX2,OLD,12345,1320,3072,4.300800e+07,2572,42000.000000,2208.060983,21.5259,50.0967,job.374851.out
16,3,8,158,20,20,20,158,10,10,10,AVX2,OLD,12345,1320,3072,4.853760e+08,167,474000.000000,2170.925147,16.0436,37.3379,job.374845.out
8,3,16,30,20,20,20,15,10,10,10,AVX2,OLD,12345,1320,3072,4.608000e+07,2425,45000.000000,2210.631265,21.72,50.5485,job.374852.out
8,3,16,32,20,20,20,16,10,10,10,AVX2,OLD,12345,1320,3072,4.915200e+07,2320,48000.000000,2217.763892,22.0936,51.4178,job.374853.out
16,3,8,160,20,20,20,160,10,10,10,AVX2,OLD,12345,1320,3072,4.915200e+08,148,480000.000000,2073.330363,15.076,35.086,job.374846.out
8,3,16,34,20,20,20,17,10,10,10,AVX2,OLD,12345,1320,3072,5.222400e+07,2177,51000.000000,2201.526716,22.19,51.6422,job.374854.out
8,3,16,36,20,20,20,18,10,10,10,AVX2,OLD,12345,1320,3072,5.529600e+07,2084,54000.000000,2206.360733,22.4423,52.2294,job.374855.out
8,3,16,38,20,20,20,19,10,10,10,AVX2,OLD,12345,1320,3072,5.836800e+07,1919,57000.000000,2176.397821,22.1138,51.4649,job.374856.out
8,3,16,40,20,20,20,20,10,10,10,AVX2,OLD,12345,1320,3072,6.144000e+07,1855,60000.000000,2196.659742,22.2938,51.8839,job.374857.out
8,3,16,44,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,1721,66000.000000,2197.678112,22.7412,52.925,job.374859.out
8,3,16,42,20,20,20,21,10,10,10,AVX2,OLD,12345,1320,3072,6.451200e+07,1718,63000.000000,2186.345508,21.782,50.6926,job.374858.out
8,3,16,46,20,20,20,23,10,10,10,AVX2,OLD,12345,1320,3072,7.065600e+07,1444,69000.000000,2085.695835,21.0193,48.9176,job.374860.out
