omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,40,16,16,16,40,8,8,8,AVX2,OLD,12345,1320,3072,6.291456e+07,2419,61440.000000,2233.535361,29.2784,68.1388,job.404874.out
16,3,8,42,16,16,16,42,8,8,8,AVX2,OLD,12345,1320,3072,6.606029e+07,2332,64512.000000,2201.209190,30.0719,69.9854,job.404875.out
16,3,8,44,16,16,16,44,8,8,8,AVX2,OLD,12345,1320,3072,6.920602e+07,2186,67584.000000,2233.113620,29.1096,67.7459,job.404876.out
16,3,8,46,16,16,16,46,8,8,8,AVX2,OLD,12345,1320,3072,7.235174e+07,2133,70656.000000,2221.114752,29.8553,69.4814,job.404877.out
16,3,8,50,16,16,16,50,8,8,8,AVX2,OLD,12345,1320,3072,7.864320e+07,1939,76800.000000,2400.239707,27.2984,63.5308,job.404879.out
16,3,8,48,16,16,16,48,8,8,8,AVX2,OLD,12345,1320,3072,7.549747e+07,1988,73728.000000,2196.172398,29.3653,68.3412,job.404878.out
16,3,8,52,16,16,16,52,8,8,8,AVX2,OLD,12345,1320,3072,8.178893e+07,1823,79872.000000,2171.363730,29.5054,68.6671,job.404880.out
16,3,8,56,16,16,16,56,8,8,8,AVX2,OLD,12345,1320,3072,8.808038e+07,1693,86016.000000,2186.400942,29.3062,68.2035,job.404882.out
16,3,8,54,16,16,16,54,8,8,8,AVX2,OLD,12345,1320,3072,8.493466e+07,1743,82944.000000,2181.916428,29.1539,67.8491,job.404881.out
16,3,8,58,16,16,16,58,8,8,8,AVX2,OLD,12345,1320,3072,9.122611e+07,1600,89088.000000,2237.291084,28.033,65.2404,job.404883.out
16,3,8,60,16,16,16,60,8,8,8,AVX2,OLD,12345,1320,3072,9.437184e+07,1548,92160.000000,2220.613060,28.2679,65.7871,job.404884.out
16,3,8,64,16,16,16,64,8,8,8,AVX2,OLD,12345,1320,3072,1.006633e+08,1285,98304.000000,2156.373958,25.7753,59.986,job.404886.out
16,3,8,66,16,16,16,66,8,8,8,AVX2,OLD,12345,1320,3072,1.038090e+08,1252,101376.000000,2199.374097,25.3918,59.0936,job.404887.out
16,3,8,62,16,16,16,62,8,8,8,AVX2,OLD,12345,1320,3072,9.751757e+07,1372,95232.000000,2082.383182,27.6076,64.2505,job.404885.out
16,3,8,68,16,16,16,68,8,8,8,AVX2,OLD,12345,1320,3072,1.069548e+08,1389,104448.000000,2385.257599,26.7621,62.2826,job.404888.out
16,3,8,74,16,16,16,74,8,8,8,AVX2,OLD,12345,1320,3072,1.163919e+08,1182,113664.000000,2194.509048,26.9374,62.6907,job.404891.out
16,3,8,70,16,16,16,70,8,8,8,AVX2,OLD,12345,1320,3072,1.101005e+08,1089,107520.000000,2162.180204,23.8275,55.453,job.404889.out
16,3,8,72,16,16,16,72,8,8,8,AVX2,OLD,12345,1320,3072,1.132462e+08,1261,110592.000000,2607.795237,23.5298,54.7602,job.404890.out
16,3,8,76,16,16,16,76,8,8,8,AVX2,OLD,12345,1320,3072,1.195377e+08,1190,116736.000000,2242.262217,27.2595,63.4403,job.404892.out
16,3,8,84,16,16,16,84,8,8,8,AVX2,OLD,12345,1320,3072,1.321206e+08,962,129024.000000,2171.278450,25.1526,58.5369,job.404896.out
16,3,8,78,16,16,16,78,8,8,8,AVX2,OLD,12345,1320,3072,1.226834e+08,1103,119808.000000,2197.337733,26.4617,61.5835,job.404893.out
16,3,8,82,16,16,16,82,8,8,8,AVX2,OLD,12345,1320,3072,1.289748e+08,967,125952.000000,2086.250506,25.6873,59.7813,job.404895.out
16,3,8,88,16,16,16,88,8,8,8,AVX2,OLD,12345,1320,3072,1.384120e+08,910,135168.000000,2227.911231,24.2924,56.535,job.404898.out
16,3,8,86,16,16,16,86,8,8,8,AVX2,OLD,12345,1320,3072,1.352663e+08,952,132096.000000,2199.982042,25.1513,58.5339,job.404897.out
16,3,8,80,16,16,16,80,8,8,8,AVX2,OLD,12345,1320,3072,1.258291e+08,1058,122880.000000,2184.206907,26.1894,60.9499,job.404894.out
16,3,8,90,16,16,16,90,8,8,8,AVX2,OLD,12345,1320,3072,1.415578e+08,874,138240.000000,2226.185073,23.8801,55.5756,job.404899.out
16,3,8,92,16,16,16,92,8,8,8,AVX2,OLD,12345,1320,3072,1.447035e+08,823,141312.000000,2195.385852,23.3088,54.246,job.404900.out
