omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,MACRO,OLD,12345,1320,3072,6.144000e+07,2046,60000.000000,2220.099512,24.3297,56.6219,job.374156.out
16,3,8,24,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,1767,72000.000000,2232.011322,25.0799,58.3677,job.374158.out
16,3,8,22,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,1788,66000.000000,2148.840088,24.1635,56.2351,job.374157.out
16,3,8,26,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,1587,78000.000000,2224.707061,24.4823,56.9769,job.374159.out
16,3,8,28,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,1459,84000.000000,2202.284852,24.4858,56.9851,job.374160.out
16,3,8,30,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,1310,90000.000000,2181.788472,23.7768,55.3352,job.374161.out
16,3,8,32,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,1299,96000.000000,2195.986519,24.9864,58.1501,job.374162.out
16,3,8,36,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,1094,108000.000000,2219.073618,23.4273,54.5217,job.374164.out
16,3,8,34,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,1204,102000.000000,2208.709240,24.4648,56.9361,job.374163.out
16,3,8,40,20,20,20,40,10,10,10,MACRO,OLD,12345,1320,3072,1.228800e+08,1026,120000.000000,2352.475437,23.028,53.5924,job.374166.out
16,3,8,38,20,20,20,38,10,10,10,MACRO,OLD,12345,1320,3072,1.167360e+08,1020,114000.000000,2298.778381,22.2567,51.7974,job.374165.out
