omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,22,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,1754,66000.000000,2127.195786,23.9452,55.727,job.373347.out
16,3,8,20,20,20,20,20,10,10,10,MACRO,OLD,12345,1320,3072,6.144000e+07,1965,60000.000000,2205.279438,23.5235,54.7457,job.373346.out
16,3,8,26,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,1548,78000.000000,2176.162655,24.4133,56.8165,job.373349.out
16,3,8,32,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,1257,96000.000000,2169.799708,24.4703,56.9491,job.373352.out
16,3,8,24,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,1678,72000.000000,2245.313379,23.6756,55.0995,job.373348.out
16,3,8,28,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,1406,84000.000000,2240.464866,23.1942,53.9792,job.373350.out
16,3,8,30,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,1322,90000.000000,2242.826665,23.3416,54.3223,job.373351.out
16,3,8,34,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,1153,102000.000000,2184.183742,23.6915,55.1366,job.373353.out
16,3,8,36,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,1069,108000.000000,2168.008989,23.4311,54.5306,job.373354.out
16,3,8,38,20,20,20,38,10,10,10,MACRO,OLD,12345,1320,3072,1.167360e+08,1026,114000.000000,2232.589366,23.0513,53.6467,job.373355.out
16,3,8,40,20,20,20,40,10,10,10,MACRO,OLD,12345,1320,3072,1.228800e+08,1005,120000.000000,2214.448002,23.9626,55.7676,job.373356.out
