omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,VECT,OLD,12345,1320,3072,6.144000e+07,2491,60000.000000,2219.370820,29.6311,68.9597,job.376651.out
16,3,8,22,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,2276,66000.000000,2221.181942,29.7567,69.252,job.376652.out
16,3,8,24,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,2023,72000.000000,2186.228859,29.3147,68.2233,job.376653.out
16,3,8,26,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,1937,78000.000000,2207.585220,30.1134,70.082,job.376654.out
16,3,8,28,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,1850,84000.000000,2314.323815,29.5447,68.7586,job.376655.out
16,3,8,30,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,1770,90000.000000,2215.717306,31.634,73.6209,job.376656.out
16,3,8,32,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,1666,96000.000000,2187.907517,32.164,74.8544,job.376657.out
16,3,8,34,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,1459,102000.000000,2200.844831,29.7522,69.2414,job.376658.out
16,3,8,36,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,1406,108000.000000,2245.906479,29.7488,69.2337,job.376659.out
16,3,8,38,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,1332,114000.000000,2218.916113,30.1107,70.0758,job.376660.out
16,3,8,40,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,1289,120000.000000,2256.941329,30.1555,70.1801,job.376661.out
16,3,8,42,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,1163,126000.000000,2165.513759,29.7743,69.293,job.376662.out
16,3,8,44,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,1072,132000.000000,2259.215061,27.559,64.1374,job.376663.out
16,3,8,46,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,1014,138000.000000,2195.398138,28.0451,65.2685,job.376664.out
16,3,8,48,20,20,20,48,10,10,10,VECT,OLD,12345,1320,3072,1.474560e+08,875,144000.000000,2063.552836,26.8663,62.5252,job.376665.out
16,3,8,50,20,20,20,50,10,10,10,VECT,OLD,12345,1320,3072,1.536000e+08,809,150000.000000,2001.172736,26.6814,62.0948,job.376666.out
16,3,8,52,20,20,20,52,10,10,10,VECT,OLD,12345,1320,3072,1.597440e+08,813,156000.000000,2139.462441,26.0833,60.703,job.376667.out
16,3,8,54,20,20,20,54,10,10,10,VECT,OLD,12345,1320,3072,1.658880e+08,750,162000.000000,2130.711268,25.0902,58.3918,job.376668.out
16,3,8,56,20,20,20,56,10,10,10,VECT,OLD,12345,1320,3072,1.720320e+08,733,168000.000000,2206.517077,24.5561,57.1486,job.376669.out
16,3,8,58,20,20,20,58,10,10,10,VECT,OLD,12345,1320,3072,1.781760e+08,656,174000.000000,2129.174767,23.5882,54.8961,job.376670.out
16,3,8,60,20,20,20,60,10,10,10,VECT,OLD,12345,1320,3072,1.843200e+08,672,180000.000000,2216.887812,24.0077,55.8725,job.376671.out
16,3,8,62,20,20,20,62,10,10,10,VECT,OLD,12345,1320,3072,1.904640e+08,625,186000.000000,2175.548148,23.5113,54.7172,job.376672.out
16,3,8,64,20,20,20,64,10,10,10,VECT,OLD,12345,1320,3072,1.966080e+08,574,192000.000000,2134.478975,22.7182,52.8714,job.376673.out
16,3,8,66,20,20,20,66,10,10,10,VECT,OLD,12345,1320,3072,2.027520e+08,559,198000.000000,2235.856435,21.7814,50.6913,job.376674.out
16,3,8,68,20,20,20,68,10,10,10,VECT,OLD,12345,1320,3072,2.088960e+08,507,204000.000000,2352.967239,19.3408,45.0114,job.376675.out
16,3,8,70,20,20,20,70,10,10,10,VECT,OLD,12345,1320,3072,2.150400e+08,518,210000.000000,2200.843564,21.7477,50.6127,job.376676.out
16,3,8,72,20,20,20,72,10,10,10,VECT,OLD,12345,1320,3072,2.211840e+08,490,216000.000000,2178.263099,21.3792,49.7553,job.376677.out
16,3,8,74,20,20,20,74,10,10,10,VECT,OLD,12345,1320,3072,2.273280e+08,470,222000.000000,2149.949680,21.3538,49.6961,job.376678.out
16,3,8,76,20,20,20,76,10,10,10,VECT,OLD,12345,1320,3072,2.334720e+08,436,228000.000000,2110.853288,20.7213,48.224,job.376679.out
16,3,8,78,20,20,20,78,10,10,10,VECT,OLD,12345,1320,3072,2.396160e+08,433,234000.000000,2189.965557,20.3573,47.3769,job.376680.out
16,3,8,80,20,20,20,80,10,10,10,VECT,OLD,12345,1320,3072,2.457600e+08,422,240000.000000,2171.193953,20.5247,47.7667,job.376681.out
16,3,8,82,20,20,20,82,10,10,10,VECT,OLD,12345,1320,3072,2.519040e+08,411,246000.000000,2198.123006,20.2385,47.1004,job.376682.out
16,3,8,86,20,20,20,86,10,10,10,VECT,OLD,12345,1320,3072,2.641920e+08,364,258000.000000,2109.781378,19.5856,45.581,job.376684.out
16,3,8,88,20,20,20,88,10,10,10,VECT,OLD,12345,1320,3072,2.703360e+08,347,264000.000000,2109.324017,19.1092,44.4723,job.376685.out
16,3,8,90,20,20,20,90,10,10,10,VECT,OLD,12345,1320,3072,2.764800e+08,344,270000.000000,2136.370578,19.1293,44.519,job.376686.out
16,3,8,92,20,20,20,92,10,10,10,VECT,OLD,12345,1320,3072,2.826240e+08,332,276000.000000,2074.441127,19.4356,45.232,job.376687.out
16,3,8,94,20,20,20,94,10,10,10,VECT,OLD,12345,1320,3072,2.887680e+08,311,282000.000000,2049.556260,18.8279,43.8177,job.376688.out
16,3,8,96,20,20,20,96,10,10,10,VECT,OLD,12345,1320,3072,2.949120e+08,304,288000.000000,2109.285215,18.2635,42.5041,job.376689.out
16,3,8,98,20,20,20,98,10,10,10,VECT,OLD,12345,1320,3072,3.010560e+08,296,294000.000000,2040.802799,18.7625,43.6655,job.376690.out
16,3,8,100,20,20,20,100,10,10,10,VECT,OLD,12345,1320,3072,3.072000e+08,313,300000.000000,2194.626568,18.826,43.8132,job.376691.out
16,3,8,102,20,20,20,102,10,10,10,VECT,OLD,12345,1320,3072,3.133440e+08,278,306000.000000,2033.219944,18.4092,42.8432,job.376692.out
16,3,8,104,20,20,20,104,10,10,10,VECT,OLD,12345,1320,3072,3.194880e+08,278,312000.000000,2128.364697,17.9311,41.7305,job.376693.out
16,3,8,106,20,20,20,106,10,10,10,VECT,OLD,12345,1320,3072,3.256320e+08,279,318000.000000,2179.962623,17.9075,41.6756,job.376694.out
16,3,8,108,20,20,20,108,10,10,10,VECT,OLD,12345,1320,3072,3.317760e+08,272,324000.000000,2118.757109,18.3014,42.5925,job.376695.out
16,3,8,110,20,20,20,110,10,10,10,VECT,OLD,12345,1320,3072,3.379200e+08,251,330000.000000,2052.243811,17.7587,41.3294,job.376696.out
16,3,8,112,20,20,20,112,10,10,10,VECT,OLD,12345,1320,3072,3.440640e+08,258,336000.000000,2195.032270,17.3768,40.4406,job.376697.out
16,3,8,114,20,20,20,114,10,10,10,VECT,OLD,12345,1320,3072,3.502080e+08,242,342000.000000,2055.385395,17.7174,41.2333,job.376698.out
16,3,8,116,20,20,20,116,10,10,10,VECT,OLD,12345,1320,3072,3.563520e+08,248,348000.000000,2128.793051,17.8382,41.5143,job.376699.out
16,3,8,118,20,20,20,118,10,10,10,VECT,OLD,12345,1320,3072,3.624960e+08,229,354000.000000,2040.991082,17.4763,40.6722,job.376700.out
16,3,8,122,20,20,20,122,10,10,10,VECT,OLD,12345,1320,3072,3.747840e+08,217,366000.000000,2038.576353,17.1422,39.8946,job.376702.out
16,3,8,120,20,20,20,120,10,10,10,VECT,OLD,12345,1320,3072,3.686400e+08,245,360000.000000,2308.011457,16.8145,39.1319,job.376701.out
16,3,8,124,20,20,20,124,10,10,10,VECT,OLD,12345,1320,3072,3.809280e+08,229,372000.000000,2164.139091,17.3199,40.3082,job.376703.out
16,3,8,126,20,20,20,126,10,10,10,VECT,OLD,12345,1320,3072,3.870720e+08,227,378000.000000,2191.759633,17.2257,40.089,job.376704.out
16,3,8,128,20,20,20,128,10,10,10,VECT,OLD,12345,1320,3072,3.932160e+08,209,384000.000000,2055.094890,17.183,39.9895,job.376705.out
16,3,8,130,20,20,20,130,10,10,10,VECT,OLD,12345,1320,3072,3.993600e+08,191,390000.000000,2124.922452,15.4244,35.8967,job.376706.out
16,3,8,132,20,20,20,132,10,10,10,VECT,OLD,12345,1320,3072,4.055040e+08,216,396000.000000,2198.675301,17.1175,39.8371,job.376707.out
16,3,8,134,20,20,20,134,10,10,10,VECT,OLD,12345,1320,3072,4.116480e+08,208,402000.000000,2198.318717,16.736,38.9492,job.376708.out
16,3,8,136,20,20,20,136,10,10,10,VECT,OLD,12345,1320,3072,4.177920e+08,191,408000.000000,2047.507356,16.7464,38.9734,job.376709.out
