omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,26,20,20,20,26,10,10,10,AVX2,NEW,12345,1320,3072,7.987200e+07,1461,78000.000000,2269.314270,22.0955,51.4221,job.375813.out
16,3,8,24,20,20,20,24,10,10,10,AVX2,NEW,12345,1320,3072,7.372800e+07,1625,72000.000000,2229.015514,23.0954,53.7493,job.375812.out
16,3,8,20,20,20,20,20,10,10,10,AVX2,NEW,12345,1320,3072,6.144000e+07,1014,60000.000000,2215.944913,12.0804,28.1145,job.375810.out
16,3,8,22,20,20,20,22,10,10,10,AVX2,NEW,12345,1320,3072,6.758400e+07,1713,66000.000000,2188.425028,22.7312,52.9017,job.375811.out
16,3,8,30,20,20,20,30,10,10,10,AVX2,NEW,12345,1320,3072,9.216000e+07,1276,90000.000000,2167.052234,23.3172,54.2655,job.375815.out
16,3,8,28,20,20,20,28,10,10,10,AVX2,NEW,12345,1320,3072,8.601600e+07,1284,84000.000000,3923.464473,12.0956,28.1497,job.375814.out
16,3,8,32,20,20,20,32,10,10,10,AVX2,NEW,12345,1320,3072,9.830400e+07,1199,96000.000000,2080.626878,24.3416,56.6495,job.375816.out
16,3,8,36,20,20,20,36,10,10,10,AVX2,NEW,12345,1320,3072,1.105920e+08,1115,108000.000000,2227.884943,23.7826,55.3485,job.375818.out
16,3,8,34,20,20,20,34,10,10,10,AVX2,NEW,12345,1320,3072,1.044480e+08,1195,102000.000000,2253.502498,23.7992,55.3873,job.375817.out
16,3,8,38,20,20,20,38,10,10,10,AVX2,NEW,12345,1320,3072,1.167360e+08,1069,114000.000000,2197.371411,24.4024,56.7909,job.375819.out
16,3,8,40,20,20,20,40,10,10,10,AVX2,NEW,12345,1320,3072,1.228800e+08,985,120000.000000,2179.618883,23.8611,55.5312,job.375820.out
16,3,8,42,20,20,20,42,10,10,10,AVX2,NEW,12345,1320,3072,1.290240e+08,997,126000.000000,2211.199300,24.9971,58.1752,job.375821.out
16,3,8,44,20,20,20,44,10,10,10,AVX2,NEW,12345,1320,3072,1.351680e+08,962,132000.000000,2226.727693,25.092,58.3958,job.375822.out
16,3,8,46,20,20,20,46,10,10,10,AVX2,NEW,12345,1320,3072,1.413120e+08,928,138000.000000,2248.584362,25.0594,58.32,job.375823.out
16,3,8,48,20,20,20,48,10,10,10,AVX2,NEW,12345,1320,3072,1.474560e+08,837,144000.000000,2143.726336,24.7384,57.573,job.375824.out
16,3,8,50,20,20,20,50,10,10,10,AVX2,NEW,12345,1320,3072,1.536000e+08,774,150000.000000,2490.859580,20.5086,47.7291,job.375825.out
16,3,8,52,20,20,20,52,10,10,10,AVX2,NEW,12345,1320,3072,1.597440e+08,728,156000.000000,2316.264535,21.5735,50.2074,job.375826.out
16,3,8,54,20,20,20,54,10,10,10,AVX2,NEW,12345,1320,3072,1.658880e+08,721,162000.000000,2230.542457,23.0405,53.6216,job.375827.out
16,3,8,56,20,20,20,56,10,10,10,AVX2,NEW,12345,1320,3072,1.720320e+08,704,168000.000000,2260.548466,23.0208,53.5757,job.375828.out
16,3,8,58,20,20,20,58,10,10,10,AVX2,NEW,12345,1320,3072,1.781760e+08,656,174000.000000,2227.567907,22.5463,52.4713,job.375829.out
16,3,8,60,20,20,20,60,10,10,10,AVX2,NEW,12345,1320,3072,1.843200e+08,634,180000.000000,2237.798716,22.4385,52.2205,job.375830.out
16,3,8,62,20,20,20,62,10,10,10,AVX2,NEW,12345,1320,3072,1.904640e+08,587,186000.000000,2209.182919,21.7456,50.608,job.375831.out
16,3,8,64,20,20,20,64,10,10,10,AVX2,NEW,12345,1320,3072,1.966080e+08,532,192000.000000,2077.099402,21.6376,50.3565,job.375832.out
