omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,22,20,20,20,22,10,10,10,VECT,NEW,12345,1320,3072,6.758400e+07,1617,66000.000000,2220.376451,21.1485,49.2184,job.377056.out
16,3,8,28,20,20,20,28,10,10,10,VECT,NEW,12345,1320,3072,8.601600e+07,1264,84000.000000,2217.562223,21.067,49.0287,job.377059.out
16,3,8,26,20,20,20,26,10,10,10,VECT,NEW,12345,1320,3072,7.987200e+07,795,78000.000000,3178.209652,8.58483,19.9792,job.377058.out
16,3,8,24,20,20,20,24,10,10,10,VECT,NEW,12345,1320,3072,7.372800e+07,830,72000.000000,3575.678987,7.35368,17.114,job.377057.out
16,3,8,20,20,20,20,20,10,10,10,VECT,NEW,12345,1320,3072,6.144000e+07,1539,60000.000000,3381.094420,12.0167,27.9661,job.377055.out
16,3,8,30,20,20,20,30,10,10,10,VECT,NEW,12345,1320,3072,9.216000e+07,1239,90000.000000,2212.357943,22.1774,51.6129,job.377060.out
16,3,8,32,20,20,20,32,10,10,10,VECT,NEW,12345,1320,3072,9.830400e+07,1118,96000.000000,2187.295920,21.5903,50.2465,job.377061.out
16,3,8,34,20,20,20,34,10,10,10,VECT,NEW,12345,1320,3072,1.044480e+08,1130,102000.000000,2222.606659,22.8175,53.1026,job.377062.out
16,3,8,36,20,20,20,36,10,10,10,VECT,NEW,12345,1320,3072,1.105920e+08,1052,108000.000000,2166.880572,23.0705,53.6914,job.377063.out
16,3,8,38,20,20,20,38,10,10,10,VECT,NEW,12345,1320,3072,1.167360e+08,1012,114000.000000,2218.502381,22.8812,53.2507,job.377064.out
16,3,8,40,20,20,20,40,10,10,10,VECT,NEW,12345,1320,3072,1.228800e+08,982,120000.000000,2183.419911,23.747,55.2657,job.377065.out
16,3,8,42,20,20,20,42,10,10,10,VECT,NEW,12345,1320,3072,1.290240e+08,888,126000.000000,2177.181751,22.6121,52.6246,job.377066.out
16,3,8,44,20,20,20,44,10,10,10,VECT,NEW,12345,1320,3072,1.351680e+08,888,132000.000000,2165.706590,23.8144,55.4226,job.377067.out
16,3,8,46,20,20,20,46,10,10,10,VECT,NEW,12345,1320,3072,1.413120e+08,848,138000.000000,2167.097649,23.7601,55.2963,job.377068.out
16,3,8,48,20,20,20,48,10,10,10,VECT,NEW,12345,1320,3072,1.474560e+08,825,144000.000000,2190.435039,23.8638,55.5375,job.377069.out
16,3,8,50,20,20,20,50,10,10,10,VECT,NEW,12345,1320,3072,1.536000e+08,775,150000.000000,2188.312527,23.3742,54.3981,job.377070.out
16,3,8,52,20,20,20,52,10,10,10,VECT,NEW,12345,1320,3072,1.597440e+08,724,156000.000000,2201.876395,22.5696,52.5255,job.377071.out
16,3,8,54,20,20,20,54,10,10,10,VECT,NEW,12345,1320,3072,1.658880e+08,671,162000.000000,2162.193229,22.1205,51.4805,job.377072.out
16,3,8,56,20,20,20,56,10,10,10,VECT,NEW,12345,1320,3072,1.720320e+08,627,168000.000000,2049.349769,22.6159,52.6333,job.377073.out
16,3,8,58,20,20,20,58,10,10,10,VECT,NEW,12345,1320,3072,1.781760e+08,622,174000.000000,2126.514828,22.3936,52.116,job.377074.out
16,3,8,60,20,20,20,60,10,10,10,VECT,NEW,12345,1320,3072,1.843200e+08,632,180000.000000,2245.640603,22.2896,51.8739,job.377075.out
16,3,8,64,20,20,20,64,10,10,10,VECT,NEW,12345,1320,3072,1.966080e+08,524,192000.000000,2146.523754,20.6229,47.9951,job.377077.out
16,3,8,62,20,20,20,62,10,10,10,VECT,NEW,12345,1320,3072,1.904640e+08,547,186000.000000,2170.880524,20.6213,47.9915,job.377076.out
16,3,8,66,20,20,20,66,10,10,10,VECT,NEW,12345,1320,3072,2.027520e+08,511,198000.000000,2165.297043,20.5599,47.8485,job.377078.out
16,3,8,68,20,20,20,68,10,10,10,VECT,NEW,12345,1320,3072,2.088960e+08,508,204000.000000,2222.047350,20.5208,47.7574,job.377079.out
16,3,8,70,20,20,20,70,10,10,10,VECT,NEW,12345,1320,3072,2.150400e+08,470,210000.000000,2207.507096,19.6729,45.7841,job.377080.out
16,3,8,72,20,20,20,72,10,10,10,VECT,NEW,12345,1320,3072,2.211840e+08,441,216000.000000,2138.043475,19.6033,45.6222,job.377081.out
16,3,8,74,20,20,20,74,10,10,10,VECT,NEW,12345,1320,3072,2.273280e+08,439,222000.000000,2298.267252,18.6582,43.4227,job.377082.out
16,3,8,76,20,20,20,76,10,10,10,VECT,NEW,12345,1320,3072,2.334720e+08,437,228000.000000,2254.056086,19.4493,45.2639,job.377083.out
16,3,8,78,20,20,20,78,10,10,10,VECT,NEW,12345,1320,3072,2.396160e+08,408,234000.000000,2208.868428,19.0177,44.2595,job.377084.out
16,3,8,80,20,20,20,80,10,10,10,VECT,NEW,12345,1320,3072,2.457600e+08,402,240000.000000,2193.175417,19.356,45.0468,job.377085.out
16,3,8,82,20,20,20,82,10,10,10,VECT,NEW,12345,1320,3072,2.519040e+08,358,246000.000000,2161.569239,17.9268,41.7204,job.377086.out
16,3,8,84,20,20,20,84,10,10,10,VECT,NEW,12345,1320,3072,2.580480e+08,365,252000.000000,2247.307649,18.0087,41.9113,job.377087.out
16,3,8,86,20,20,20,86,10,10,10,VECT,NEW,12345,1320,3072,2.641920e+08,353,258000.000000,2251.863043,17.7953,41.4145,job.377088.out
16,3,8,88,20,20,20,88,10,10,10,VECT,NEW,12345,1320,3072,2.703360e+08,354,264000.000000,2247.554420,18.2957,42.5791,job.377089.out
16,3,8,90,20,20,20,90,10,10,10,VECT,NEW,12345,1320,3072,2.764800e+08,317,270000.000000,2126.889752,17.7064,41.2077,job.377090.out
16,3,8,92,20,20,20,92,10,10,10,VECT,NEW,12345,1320,3072,2.826240e+08,324,276000.000000,2199.555939,17.8884,41.6312,job.377091.out
16,3,8,94,20,20,20,94,10,10,10,VECT,NEW,12345,1320,3072,2.887680e+08,307,282000.000000,2287.055004,16.6557,38.7624,job.377092.out
16,3,8,96,20,20,20,96,10,10,10,VECT,NEW,12345,1320,3072,2.949120e+08,283,288000.000000,2038.615828,17.5912,40.9396,job.377093.out
16,3,8,98,20,20,20,98,10,10,10,VECT,NEW,12345,1320,3072,3.010560e+08,287,294000.000000,2149.521127,17.2719,40.1964,job.377094.out
16,3,8,100,20,20,20,100,10,10,10,VECT,NEW,12345,1320,3072,3.072000e+08,286,300000.000000,2275.729504,16.589,38.607,job.377095.out
16,3,8,104,20,20,20,104,10,10,10,VECT,NEW,12345,1320,3072,3.194880e+08,263,312000.000000,2196.906124,16.4343,38.2471,job.377097.out
16,3,8,106,20,20,20,106,10,10,10,VECT,NEW,12345,1320,3072,3.256320e+08,256,318000.000000,2220.630147,16.1303,37.5397,job.377098.out
