omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,VECT,NEW,12345,1320,3072,6.144000e+07,1711,60000.000000,2173.258948,20.7846,48.3715,job.376442.out
16,3,8,24,20,20,20,24,10,10,10,VECT,NEW,12345,1320,3072,7.372800e+07,1447,72000.000000,2126.335612,21.5587,50.1729,job.376444.out
16,3,8,22,20,20,20,22,10,10,10,VECT,NEW,12345,1320,3072,6.758400e+07,1564,66000.000000,2182.396763,20.8113,48.4336,job.376443.out
16,3,8,28,20,20,20,28,10,10,10,VECT,NEW,12345,1320,3072,8.601600e+07,1206,84000.000000,2128.213625,20.9442,48.7429,job.376446.out
16,3,8,26,20,20,20,26,10,10,10,VECT,NEW,12345,1320,3072,7.987200e+07,651,78000.000000,2571.249609,8.68928,20.2223,job.376445.out
16,3,8,30,20,20,20,30,10,10,10,VECT,NEW,12345,1320,3072,9.216000e+07,1194,90000.000000,2135.434902,22.1418,51.53,job.376447.out
16,3,8,32,20,20,20,32,10,10,10,VECT,NEW,12345,1320,3072,9.830400e+07,1118,96000.000000,2076.385894,22.7435,52.9304,job.376448.out
16,3,8,34,20,20,20,34,10,10,10,VECT,NEW,12345,1320,3072,1.044480e+08,1085,102000.000000,2191.111586,22.2238,51.7208,job.376449.out
16,3,8,36,20,20,20,36,10,10,10,VECT,NEW,12345,1320,3072,1.105920e+08,1056,108000.000000,2203.714213,22.7712,52.9947,job.376450.out
16,3,8,38,20,20,20,38,10,10,10,VECT,NEW,12345,1320,3072,1.167360e+08,967,114000.000000,2088.078595,23.2294,54.061,job.376451.out
16,3,8,40,20,20,20,40,10,10,10,VECT,NEW,12345,1320,3072,1.228800e+08,968,120000.000000,2194.660225,23.2885,54.1987,job.376452.out
16,3,8,42,20,20,20,42,10,10,10,VECT,NEW,12345,1320,3072,1.290240e+08,904,126000.000000,2151.225252,23.2973,54.2192,job.376453.out
16,3,8,44,20,20,20,44,10,10,10,VECT,NEW,12345,1320,3072,1.351680e+08,825,132000.000000,2074.606206,23.0964,53.7517,job.376454.out
16,3,8,46,20,20,20,46,10,10,10,VECT,NEW,12345,1320,3072,1.413120e+08,786,138000.000000,2167.675614,22.0171,51.2398,job.376455.out
16,3,8,48,20,20,20,48,10,10,10,VECT,NEW,12345,1320,3072,1.474560e+08,761,144000.000000,2177.181656,22.1465,51.541,job.376456.out
16,3,8,50,20,20,20,50,10,10,10,VECT,NEW,12345,1320,3072,1.536000e+08,722,150000.000000,2092.659899,22.771,52.9944,job.376457.out
16,3,8,52,20,20,20,52,10,10,10,VECT,NEW,12345,1320,3072,1.597440e+08,664,156000.000000,2029.802780,22.4539,52.2563,job.376458.out
16,3,8,54,20,20,20,54,10,10,10,VECT,NEW,12345,1320,3072,1.658880e+08,636,162000.000000,2084.111854,21.7522,50.6234,job.376459.out
16,3,8,56,20,20,20,56,10,10,10,VECT,NEW,12345,1320,3072,1.720320e+08,599,168000.000000,2115.806285,20.9273,48.7035,job.376460.out
16,3,8,58,20,20,20,58,10,10,10,VECT,NEW,12345,1320,3072,1.781760e+08,588,174000.000000,2104.389944,21.3921,49.7852,job.376461.out
16,3,8,60,20,20,20,60,10,10,10,VECT,NEW,12345,1320,3072,1.843200e+08,569,180000.000000,2055.269728,21.9265,51.0289,job.376462.out
16,3,8,62,20,20,20,62,10,10,10,VECT,NEW,12345,1320,3072,1.904640e+08,519,186000.000000,2059.153846,20.6274,48.0056,job.376463.out
16,3,8,64,20,20,20,64,10,10,10,VECT,NEW,12345,1320,3072,1.966080e+08,552,192000.000000,2270.786894,20.536,47.793,job.376464.out
16,3,8,66,20,20,20,66,10,10,10,VECT,NEW,12345,1320,3072,2.027520e+08,470,198000.000000,2163.628033,18.9249,44.0434,job.376465.out
16,3,8,68,20,20,20,68,10,10,10,VECT,NEW,12345,1320,3072,2.088960e+08,452,204000.000000,2022.359621,20.0615,46.6885,job.376466.out
16,3,8,70,20,20,20,70,10,10,10,VECT,NEW,12345,1320,3072,2.150400e+08,441,210000.000000,2091.183309,19.4858,45.3488,job.376467.out
16,3,8,72,20,20,20,72,10,10,10,VECT,NEW,12345,1320,3072,2.211840e+08,439,216000.000000,2140.952355,19.4879,45.3535,job.376468.out
16,3,8,74,20,20,20,74,10,10,10,VECT,NEW,12345,1320,3072,2.273280e+08,422,222000.000000,2299.347599,17.9272,41.7216,job.376469.out
16,3,8,76,20,20,20,76,10,10,10,VECT,NEW,12345,1320,3072,2.334720e+08,385,228000.000000,2109.874110,18.3059,42.6029,job.376470.out
16,3,8,78,20,20,20,78,10,10,10,VECT,NEW,12345,1320,3072,2.396160e+08,377,234000.000000,2060.783552,18.8355,43.8354,job.376471.out
16,3,8,80,20,20,20,80,10,10,10,VECT,NEW,12345,1320,3072,2.457600e+08,360,240000.000000,2066.488604,18.3964,42.8135,job.376472.out
16,3,8,82,20,20,20,82,10,10,10,VECT,NEW,12345,1320,3072,2.519040e+08,365,246000.000000,2215.656369,17.8311,41.4978,job.376473.out
16,3,8,84,20,20,20,84,10,10,10,VECT,NEW,12345,1320,3072,2.580480e+08,352,252000.000000,2195.445915,17.7776,41.3733,job.376474.out
16,3,8,86,20,20,20,86,10,10,10,VECT,NEW,12345,1320,3072,2.641920e+08,331,258000.000000,2242.716068,16.7543,38.9918,job.376475.out
16,3,8,88,20,20,20,88,10,10,10,VECT,NEW,12345,1320,3072,2.703360e+08,343,264000.000000,2204.843308,18.0706,42.0553,job.376476.out
16,3,8,90,20,20,20,90,10,10,10,VECT,NEW,12345,1320,3072,2.764800e+08,331,270000.000000,2328.637867,16.8866,39.2997,job.376477.out
16,3,8,92,20,20,20,92,10,10,10,VECT,NEW,12345,1320,3072,2.826240e+08,310,276000.000000,2199.818967,17.1134,39.8276,job.376478.out
16,3,8,94,20,20,20,94,10,10,10,VECT,NEW,12345,1320,3072,2.887680e+08,292,282000.000000,2213.893232,16.3655,38.0869,job.376479.out
16,3,8,96,20,20,20,96,10,10,10,VECT,NEW,12345,1320,3072,2.949120e+08,282,288000.000000,2270.441246,15.7392,36.6295,job.376480.out
16,3,8,100,20,20,20,100,10,10,10,VECT,NEW,12345,1320,3072,3.072000e+08,279,300000.000000,2166.951976,16.9953,39.5527,job.376482.out
16,3,8,98,20,20,20,98,10,10,10,VECT,NEW,12345,1320,3072,3.010560e+08,290,294000.000000,2207.879333,16.9911,39.543,job.376481.out
16,3,8,102,20,20,20,102,10,10,10,VECT,NEW,12345,1320,3072,3.133440e+08,251,306000.000000,2085.334226,16.2059,37.7155,job.376483.out
16,3,8,106,20,20,20,106,10,10,10,VECT,NEW,12345,1320,3072,3.256320e+08,245,318000.000000,2128.074193,16.1086,37.4892,job.376485.out
16,3,8,104,20,20,20,104,10,10,10,VECT,NEW,12345,1320,3072,3.194880e+08,252,312000.000000,2167.950980,15.9573,37.1369,job.376484.out
16,3,8,108,20,20,20,108,10,10,10,VECT,NEW,12345,1320,3072,3.317760e+08,241,324000.000000,2095.779090,16.3934,38.1519,job.376486.out
16,3,8,110,20,20,20,110,10,10,10,VECT,NEW,12345,1320,3072,3.379200e+08,237,330000.000000,2160.957891,15.9246,37.0609,job.376487.out
16,3,8,116,20,20,20,116,10,10,10,VECT,NEW,12345,1320,3072,3.563520e+08,217,348000.000000,2116.139149,15.7017,36.5422,job.376490.out
16,3,8,114,20,20,20,114,10,10,10,VECT,NEW,12345,1320,3072,3.502080e+08,213,342000.000000,2055.715818,15.5918,36.2863,job.376489.out
16,3,8,112,20,20,20,112,10,10,10,VECT,NEW,12345,1320,3072,3.440640e+08,235,336000.000000,2211.011508,15.7134,36.5693,job.376488.out
16,3,8,118,20,20,20,118,10,10,10,VECT,NEW,12345,1320,3072,3.624960e+08,219,354000.000000,2231.587868,15.2857,35.5741,job.376491.out
16,3,8,120,20,20,20,120,10,10,10,VECT,NEW,12345,1320,3072,3.686400e+08,200,360000.000000,2025.920871,15.6373,36.3923,job.376492.out
16,3,8,122,20,20,20,122,10,10,10,VECT,NEW,12345,1320,3072,3.747840e+08,224,366000.000000,2343.465008,15.393,35.8237,job.376493.out
16,3,8,124,20,20,20,124,10,10,10,VECT,NEW,12345,1320,3072,3.809280e+08,203,372000.000000,2214.597723,15.0036,34.9176,job.376494.out
16,3,8,126,20,20,20,126,10,10,10,VECT,NEW,12345,1320,3072,3.870720e+08,189,378000.000000,2159.475604,14.5565,33.877,job.376495.out
16,3,8,128,20,20,20,128,10,10,10,VECT,NEW,12345,1320,3072,3.932160e+08,200,384000.000000,2221.443889,15.2117,35.4018,job.376496.out
16,3,8,130,20,20,20,130,10,10,10,VECT,NEW,12345,1320,3072,3.993600e+08,188,390000.000000,2120.325638,15.215,35.4095,job.376497.out
16,3,8,132,20,20,20,132,10,10,10,VECT,NEW,12345,1320,3072,4.055040e+08,186,396000.000000,2163.467611,14.98,34.8624,job.376498.out
16,3,8,134,20,20,20,134,10,10,10,VECT,NEW,12345,1320,3072,4.116480e+08,182,402000.000000,2184.149549,14.739,34.3017,job.376499.out
16,3,8,136,20,20,20,136,10,10,10,VECT,NEW,12345,1320,3072,4.177920e+08,175,408000.000000,2220.143013,14.1504,32.9319,job.376500.out
16,3,8,138,20,20,20,138,10,10,10,VECT,NEW,12345,1320,3072,4.239360e+08,162,414000.000000,2204.695550,13.385,31.1506,job.376501.out
16,3,8,140,20,20,20,140,10,10,10,VECT,NEW,12345,1320,3072,4.300800e+08,163,420000.000000,2071.900917,14.5385,33.8351,job.376502.out
16,3,8,142,20,20,20,142,10,10,10,VECT,NEW,12345,1320,3072,4.362240e+08,169,426000.000000,2142.512932,14.7851,34.4091,job.376503.out
16,3,8,144,20,20,20,144,10,10,10,VECT,NEW,12345,1320,3072,4.423680e+08,161,432000.000000,2144.457800,14.2707,33.2118,job.376504.out
16,3,8,146,20,20,20,146,10,10,10,VECT,NEW,12345,1320,3072,4.485120e+08,158,438000.000000,2199.608211,13.8433,32.2171,job.376505.out
16,3,8,148,20,20,20,148,10,10,10,VECT,NEW,12345,1320,3072,4.546560e+08,166,444000.000000,2249.456529,14.4167,33.5516,job.376506.out
16,3,8,150,20,20,20,150,10,10,10,VECT,NEW,12345,1320,3072,4.608000e+08,152,450000.000000,2123.419502,14.1734,32.9853,job.376507.out
16,3,8,152,20,20,20,152,10,10,10,VECT,NEW,12345,1320,3072,4.669440e+08,150,456000.000000,2101.004545,14.3246,33.3372,job.376508.out
16,3,8,154,20,20,20,154,10,10,10,VECT,NEW,12345,1320,3072,4.730880e+08,146,462000.000000,2138.211085,13.8802,32.3031,job.376509.out
16,3,8,156,20,20,20,156,10,10,10,VECT,NEW,12345,1320,3072,4.792320e+08,147,468000.000000,2231.894733,13.5626,31.5638,job.376510.out
16,3,8,158,20,20,20,158,10,10,10,VECT,NEW,12345,1320,3072,4.853760e+08,141,474000.000000,2132.880861,13.7874,32.0871,job.376511.out
16,3,8,160,20,20,20,160,10,10,10,VECT,NEW,12345,1320,3072,4.915200e+08,136,480000.000000,2057.206141,13.9622,32.4939,job.376512.out
8,3,16,20,20,20,20,10,10,10,10,VECT,NEW,12345,1320,3072,3.072000e+07,1930,30000.000000,2194.292792,11.6101,27.0199,job.376513.out
8,3,16,22,20,20,20,11,10,10,10,VECT,NEW,12345,1320,3072,3.379200e+07,1763,33000.000000,2161.461770,11.8433,27.5625,job.376514.out
8,3,16,24,20,20,20,12,10,10,10,VECT,NEW,12345,1320,3072,3.686400e+07,1638,36000.000000,2222.930792,11.6719,27.1638,job.376515.out
8,3,16,26,20,20,20,13,10,10,10,VECT,NEW,12345,1320,3072,3.993600e+07,1566,39000.000000,2192.218214,12.2582,28.5281,job.376516.out
8,3,16,28,20,20,20,14,10,10,10,VECT,NEW,12345,1320,3072,4.300800e+07,1481,42000.000000,2181.934913,12.5434,29.1919,job.376517.out
8,3,16,30,20,20,20,15,10,10,10,VECT,NEW,12345,1320,3072,4.608000e+07,1358,45000.000000,2147.228365,12.5224,29.143,job.376518.out
8,3,16,32,20,20,20,16,10,10,10,VECT,NEW,12345,1320,3072,4.915200e+07,1336,48000.000000,2232.890121,12.6367,29.409,job.376519.out
8,3,16,34,20,20,20,17,10,10,10,VECT,NEW,12345,1320,3072,5.222400e+07,1250,51000.000000,2195.042910,12.7788,29.7397,job.376520.out
8,3,16,36,20,20,20,18,10,10,10,VECT,NEW,12345,1320,3072,5.529600e+07,1184,54000.000000,2152.125121,13.0717,30.4213,job.376521.out
8,3,16,38,20,20,20,19,10,10,10,VECT,NEW,12345,1320,3072,5.836800e+07,1188,57000.000000,2198.602700,13.5518,31.5388,job.376522.out
8,3,16,40,20,20,20,20,10,10,10,VECT,NEW,12345,1320,3072,6.144000e+07,1109,60000.000000,2165.607084,13.5193,31.4632,job.376523.out
8,3,16,42,20,20,20,21,10,10,10,VECT,NEW,12345,1320,3072,6.451200e+07,991,63000.000000,2036.792097,13.4871,31.3883,job.376524.out
8,3,16,44,20,20,20,22,10,10,10,VECT,NEW,12345,1320,3072,6.758400e+07,951,66000.000000,2030.287558,13.6025,31.6568,job.376525.out
8,3,16,46,20,20,20,23,10,10,10,VECT,NEW,12345,1320,3072,7.065600e+07,1006,69000.000000,2163.592193,14.1164,32.8527,job.376526.out
8,3,16,50,20,20,20,25,10,10,10,VECT,NEW,12345,1320,3072,7.680000e+07,956,75000.000000,2206.116697,14.3002,33.2806,job.376528.out
8,3,16,48,20,20,20,24,10,10,10,VECT,NEW,12345,1320,3072,7.372800e+07,984,72000.000000,2253.737620,13.8317,32.1902,job.376527.out
8,3,16,52,20,20,20,26,10,10,10,VECT,NEW,12345,1320,3072,7.987200e+07,818,78000.000000,2054.668294,13.6634,31.7985,job.376529.out
