omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,MACRO,OLD,12345,1320,3072,6.144000e+07,1170,60000.000000,2064.932473,14.9584,34.8122,job.373548.out
16,3,8,22,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,1158,66000.000000,2231.730926,15.0683,35.068,job.373549.out
16,3,8,24,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,1024,72000.000000,2207.695309,14.6942,34.1974,job.373550.out
16,3,8,26,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,928,78000.000000,2104.503988,15.1337,35.2203,job.373551.out
16,3,8,28,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,962,84000.000000,2333.494469,15.237,35.4607,job.373552.out
16,3,8,30,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,848,90000.000000,2239.517981,14.9947,34.8967,job.373553.out
16,3,8,32,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,809,96000.000000,2245.691689,15.2168,35.4136,job.373554.out
16,3,8,34,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,726,102000.000000,2156.533953,15.1089,35.1626,job.373555.out
16,3,8,36,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,680,108000.000000,2314.173162,13.9633,32.4965,job.373556.out
16,3,8,38,20,20,20,38,10,10,10,MACRO,OLD,12345,1320,3072,1.167360e+08,608,114000.000000,2177.448252,14.006,32.5957,job.373557.out
16,3,8,42,20,20,20,42,10,10,10,MACRO,OLD,12345,1320,3072,1.290240e+08,541,126000.000000,2213.236941,13.5517,31.5384,job.373559.out
16,3,8,44,20,20,20,44,10,10,10,MACRO,OLD,12345,1320,3072,1.351680e+08,470,132000.000000,2079.384014,13.1277,30.5518,job.373560.out
16,3,8,40,20,20,20,40,10,10,10,MACRO,OLD,12345,1320,3072,1.228800e+08,586,120000.000000,2180.864539,14.1874,33.018,job.373558.out
16,3,8,46,20,20,20,46,10,10,10,MACRO,OLD,12345,1320,3072,1.413120e+08,455,138000.000000,2271.365660,12.1634,28.3076,job.373561.out
16,3,8,48,20,20,20,48,10,10,10,MACRO,OLD,12345,1320,3072,1.474560e+08,416,144000.000000,2351.845746,11.2073,26.0824,job.373562.out
16,3,8,50,20,20,20,50,10,10,10,MACRO,OLD,12345,1320,3072,1.536000e+08,364,150000.000000,2034.673534,11.8073,27.4788,job.373563.out
16,3,8,52,20,20,20,52,10,10,10,MACRO,OLD,12345,1320,3072,1.597440e+08,465,156000.000000,2375.573635,13.4357,31.2686,job.373564.out
16,3,8,54,20,20,20,54,10,10,10,MACRO,OLD,12345,1320,3072,1.658880e+08,332,162000.000000,2132.302743,11.0983,25.8288,job.373565.out
16,3,8,56,20,20,20,56,10,10,10,MACRO,OLD,12345,1320,3072,1.720320e+08,415,168000.000000,2379.160243,12.894,30.0078,job.373566.out
16,3,8,58,20,20,20,58,10,10,10,MACRO,OLD,12345,1320,3072,1.781760e+08,321,174000.000000,2322.196881,10.583,24.6295,job.373567.out
16,3,8,60,20,20,20,60,10,10,10,MACRO,OLD,12345,1320,3072,1.843200e+08,294,180000.000000,2135.765342,10.9023,25.3727,job.373568.out
16,3,8,62,20,20,20,62,10,10,10,MACRO,OLD,12345,1320,3072,1.904640e+08,305,186000.000000,2111.587874,11.8211,27.5108,job.373569.out
16,3,8,64,20,20,20,64,10,10,10,MACRO,OLD,12345,1320,3072,1.966080e+08,348,192000.000000,2511.464373,11.7059,27.2429,job.373570.out
16,3,8,66,20,20,20,66,10,10,10,MACRO,OLD,12345,1320,3072,2.027520e+08,311,198000.000000,2169.495076,12.4888,29.0648,job.373571.out
16,3,8,68,20,20,20,68,10,10,10,MACRO,OLD,12345,1320,3072,2.088960e+08,287,204000.000000,2047.251203,12.5833,29.2847,job.373572.out
16,3,8,70,20,20,20,70,10,10,10,MACRO,OLD,12345,1320,3072,2.150400e+08,297,210000.000000,2144.898325,12.7945,29.7762,job.373573.out
16,3,8,72,20,20,20,72,10,10,10,MACRO,OLD,12345,1320,3072,2.211840e+08,236,216000.000000,2032.163837,11.0372,25.6866,job.373574.out
16,3,8,74,20,20,20,74,10,10,10,MACRO,OLD,12345,1320,3072,2.273280e+08,277,222000.000000,2208.046537,12.254,28.5184,job.373575.out
16,3,8,78,20,20,20,78,10,10,10,MACRO,OLD,12345,1320,3072,2.396160e+08,269,234000.000000,2572.462414,10.7664,25.0564,job.373577.out
