omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,VECT,OLD,12345,1320,3072,6.144000e+07,1369,60000.000000,2208.081742,16.3679,38.0925,job.376240.out
16,3,8,22,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,1240,66000.000000,2197.300514,16.3881,38.1396,job.376241.out
16,3,8,24,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,1165,72000.000000,2196.838888,16.8001,39.0985,job.376242.out
16,3,8,26,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,1091,78000.000000,2212.596962,16.9227,39.3837,job.376243.out
16,3,8,28,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,990,84000.000000,2203.924847,16.6024,38.6383,job.376244.out
16,3,8,30,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,907,90000.000000,2125.083884,16.9015,39.3345,job.376245.out
16,3,8,32,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,948,96000.000000,2295.833868,17.4418,40.5919,job.376246.out
16,3,8,34,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,842,102000.000000,2180.110515,17.3335,40.3398,job.376247.out
16,3,8,36,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,815,108000.000000,2226.034430,17.3981,40.4902,job.376248.out
16,3,8,38,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,733,114000.000000,2226.921928,16.5104,38.4241,job.376249.out
16,3,8,40,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,649,120000.000000,2096.480266,16.3451,38.0395,job.376250.out
16,3,8,42,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,591,126000.000000,2132.069205,15.3677,35.7649,job.376251.out
16,3,8,44,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,514,132000.000000,2010.709361,14.8471,34.5532,job.376252.out
16,3,8,46,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,510,138000.000000,2144.499647,14.4403,33.6065,job.376253.out
16,3,8,48,20,20,20,48,10,10,10,VECT,OLD,12345,1320,3072,1.474560e+08,438,144000.000000,2040.942352,13.5975,31.6451,job.376254.out
16,3,8,50,20,20,20,50,10,10,10,VECT,OLD,12345,1320,3072,1.536000e+08,422,150000.000000,2076.440122,13.4133,31.2165,job.376255.out
16,3,8,52,20,20,20,52,10,10,10,VECT,OLD,12345,1320,3072,1.597440e+08,383,156000.000000,2012.452740,13.0632,30.4017,job.376256.out
16,3,8,56,20,20,20,56,10,10,10,VECT,OLD,12345,1320,3072,1.720320e+08,481,168000.000000,2187.190652,16.2563,37.8327,job.376258.out
16,3,8,54,20,20,20,54,10,10,10,VECT,OLD,12345,1320,3072,1.658880e+08,398,162000.000000,2213.319226,12.8176,29.8301,job.376257.out
16,3,8,58,20,20,20,58,10,10,10,VECT,OLD,12345,1320,3072,1.781760e+08,353,174000.000000,2377.002226,11.3696,26.4603,job.376259.out
16,3,8,60,20,20,20,60,10,10,10,VECT,OLD,12345,1320,3072,1.843200e+08,453,180000.000000,2382.505449,15.0588,35.0459,job.376260.out
16,3,8,62,20,20,20,62,10,10,10,VECT,OLD,12345,1320,3072,1.904640e+08,381,186000.000000,2019.526577,15.4398,35.9326,job.376261.out
16,3,8,64,20,20,20,64,10,10,10,VECT,OLD,12345,1320,3072,1.966080e+08,385,192000.000000,2158.962438,15.065,35.0604,job.376262.out
16,3,8,66,20,20,20,66,10,10,10,VECT,OLD,12345,1320,3072,2.027520e+08,382,198000.000000,2219.935715,14.9914,34.889,job.376263.out
16,3,8,68,20,20,20,68,10,10,10,VECT,OLD,12345,1320,3072,2.088960e+08,350,204000.000000,2221.223891,14.1436,32.9159,job.376264.out
16,3,8,70,20,20,20,70,10,10,10,VECT,OLD,12345,1320,3072,2.150400e+08,361,210000.000000,2326.157073,14.3397,33.3724,job.376265.out
16,3,8,72,20,20,20,72,10,10,10,VECT,OLD,12345,1320,3072,2.211840e+08,358,216000.000000,2265.777599,15.0166,34.9478,job.376266.out
16,3,8,74,20,20,20,74,10,10,10,VECT,OLD,12345,1320,3072,2.273280e+08,316,222000.000000,2234.191131,13.8157,32.1529,job.376267.out
16,3,8,76,20,20,20,76,10,10,10,VECT,OLD,12345,1320,3072,2.334720e+08,300,228000.000000,2086.669611,14.423,33.5662,job.376268.out
16,3,8,78,20,20,20,78,10,10,10,VECT,OLD,12345,1320,3072,2.396160e+08,303,234000.000000,2418.300028,12.9003,30.0226,job.376269.out
16,3,8,80,20,20,20,80,10,10,10,VECT,OLD,12345,1320,3072,2.457600e+08,301,240000.000000,2202.192564,14.4336,33.591,job.376270.out
16,3,8,82,20,20,20,82,10,10,10,VECT,OLD,12345,1320,3072,2.519040e+08,279,246000.000000,2137.273796,14.1297,32.8836,job.376271.out
16,3,8,84,20,20,20,84,10,10,10,VECT,OLD,12345,1320,3072,2.580480e+08,283,252000.000000,2198.359123,14.2738,33.2191,job.376272.out
16,3,8,86,20,20,20,86,10,10,10,VECT,OLD,12345,1320,3072,2.641920e+08,208,258000.000000,2141.645285,11.0252,25.6587,job.376273.out
16,3,8,88,20,20,20,88,10,10,10,VECT,OLD,12345,1320,3072,2.703360e+08,260,264000.000000,2204.492792,13.7,31.8837,job.376274.out
16,3,8,90,20,20,20,90,10,10,10,VECT,OLD,12345,1320,3072,2.764800e+08,250,270000.000000,2189.569043,13.5643,31.5679,job.376275.out
16,3,8,92,20,20,20,92,10,10,10,VECT,OLD,12345,1320,3072,2.826240e+08,254,276000.000000,2217.470301,13.9103,32.3731,job.376276.out
16,3,8,94,20,20,20,94,10,10,10,VECT,OLD,12345,1320,3072,2.887680e+08,241,282000.000000,2172.008221,13.7676,32.0409,job.376277.out
16,3,8,96,20,20,20,96,10,10,10,VECT,OLD,12345,1320,3072,2.949120e+08,225,288000.000000,2158.636701,13.2083,30.7394,job.376278.out
16,3,8,98,20,20,20,98,10,10,10,VECT,OLD,12345,1320,3072,3.010560e+08,219,294000.000000,2196.204027,12.8995,30.0206,job.376279.out
16,3,8,100,20,20,20,100,10,10,10,VECT,OLD,12345,1320,3072,3.072000e+08,222,300000.000000,2191.986449,13.3687,31.1126,job.376280.out
16,3,8,102,20,20,20,102,10,10,10,VECT,OLD,12345,1320,3072,3.133440e+08,212,306000.000000,2294.549911,12.4398,28.9507,job.376281.out
16,3,8,104,20,20,20,104,10,10,10,VECT,OLD,12345,1320,3072,3.194880e+08,205,312000.000000,2087.129234,13.4838,31.3804,job.376282.out
16,3,8,108,20,20,20,108,10,10,10,VECT,OLD,12345,1320,3072,3.317760e+08,184,324000.000000,2068.539899,12.6809,29.512,job.376284.out
16,3,8,106,20,20,20,106,10,10,10,VECT,OLD,12345,1320,3072,3.256320e+08,202,318000.000000,2213.195043,12.7706,29.7207,job.376283.out
16,3,8,110,20,20,20,110,10,10,10,VECT,OLD,12345,1320,3072,3.379200e+08,194,330000.000000,2356.910414,11.9516,27.8146,job.376285.out
16,3,8,112,20,20,20,112,10,10,10,VECT,OLD,12345,1320,3072,3.440640e+08,194,336000.000000,2231.278528,12.854,29.9149,job.376286.out
16,3,8,114,20,20,20,114,10,10,10,VECT,OLD,12345,1320,3072,3.502080e+08,188,342000.000000,2219.364649,12.747,29.6657,job.376287.out
16,3,8,116,20,20,20,116,10,10,10,VECT,OLD,12345,1320,3072,3.563520e+08,170,348000.000000,2073.475215,12.554,29.2166,job.376288.out
16,3,8,118,20,20,20,118,10,10,10,VECT,OLD,12345,1320,3072,3.624960e+08,176,354000.000000,2225.135907,12.32,28.6721,job.376289.out
16,3,8,120,20,20,20,120,10,10,10,VECT,OLD,12345,1320,3072,3.686400e+08,172,360000.000000,2190.088538,12.44,28.9514,job.376290.out
16,3,8,122,20,20,20,122,10,10,10,VECT,OLD,12345,1320,3072,3.747840e+08,174,366000.000000,2246.031116,12.4758,29.0345,job.376291.out
16,3,8,124,20,20,20,124,10,10,10,VECT,OLD,12345,1320,3072,3.809280e+08,169,372000.000000,2166.596138,12.7675,29.7134,job.376292.out
16,3,8,126,20,20,20,126,10,10,10,VECT,OLD,12345,1320,3072,3.870720e+08,152,378000.000000,2026.569676,12.4746,29.0318,job.376293.out
16,3,8,128,20,20,20,128,10,10,10,VECT,OLD,12345,1320,3072,3.932160e+08,156,384000.000000,2143.065769,12.2991,28.6233,job.376294.out
16,3,8,130,20,20,20,130,10,10,10,VECT,OLD,12345,1320,3072,3.993600e+08,164,390000.000000,2229.269308,12.624,29.3796,job.376295.out
16,3,8,132,20,20,20,132,10,10,10,VECT,OLD,12345,1320,3072,4.055040e+08,154,396000.000000,2170.804261,12.3608,28.767,job.376296.out
16,3,8,134,20,20,20,134,10,10,10,VECT,OLD,12345,1320,3072,4.116480e+08,154,402000.000000,2211.368508,12.3179,28.6672,job.376297.out
16,3,8,136,20,20,20,136,10,10,10,VECT,OLD,12345,1320,3072,4.177920e+08,145,408000.000000,2268.377636,11.4753,26.7062,job.376298.out
16,3,8,138,20,20,20,138,10,10,10,VECT,OLD,12345,1320,3072,4.239360e+08,143,414000.000000,2361.589039,11.0302,25.6704,job.376299.out
16,3,8,140,20,20,20,140,10,10,10,VECT,OLD,12345,1320,3072,4.300800e+08,137,420000.000000,2048.964821,12.3563,28.7565,job.376300.out
16,3,8,142,20,20,20,142,10,10,10,VECT,OLD,12345,1320,3072,4.362240e+08,142,426000.000000,2309.306736,11.5257,26.8236,job.376301.out
