omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,46,20,20,20,23,10,10,10,AVX2,OLD,12345,1320,3072,7.065600e+07,1740,69000.000000,2144.186730,24.637,57.3371,job.380190.out
16,3,16,44,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,1844,66000.000000,2227.005352,24.0456,55.9608,job.380189.out
16,3,16,50,20,20,20,25,10,10,10,AVX2,OLD,12345,1320,3072,7.680000e+07,1696,75000.000000,2235.029633,25.0413,58.2779,job.380192.out
16,3,16,48,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,1711,72000.000000,2197.244349,24.6693,57.4122,job.380191.out
16,3,16,52,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,1629,78000.000000,2138.150736,26.1475,60.8523,job.380193.out
16,3,16,56,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,1524,84000.000000,2112.331779,26.6658,62.0586,job.380195.out
16,3,16,54,20,20,20,27,10,10,10,AVX2,OLD,12345,1320,3072,8.294400e+07,1731,81000.000000,2471.748833,24.9592,58.0868,job.380194.out
16,3,16,58,20,20,20,29,10,10,10,AVX2,OLD,12345,1320,3072,8.908800e+07,1491,87000.000000,2163.102657,26.3859,61.4073,job.380196.out
16,3,16,60,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,1418,90000.000000,2117.591759,26.5173,61.713,job.380197.out
16,3,16,62,20,20,20,31,10,10,10,AVX2,OLD,12345,1320,3072,9.523200e+07,1445,93000.000000,2175.585658,27.1786,63.252,job.380198.out
16,3,16,64,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,1478,96000.000000,2294.621885,27.2074,63.3191,job.380199.out
16,3,16,66,20,20,20,33,10,10,10,AVX2,OLD,12345,1320,3072,1.013760e+08,1476,99000.000000,2462.102397,26.1137,60.7737,job.380200.out
16,3,16,68,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,1503,102000.000000,2308.491253,29.2202,68.0034,job.380201.out
16,3,16,70,20,20,20,35,10,10,10,AVX2,OLD,12345,1320,3072,1.075200e+08,1260,105000.000000,2143.123988,27.1622,63.2139,job.380202.out
16,3,16,72,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,1485,108000.000000,2406.700357,29.3211,68.2383,job.380203.out
16,3,16,74,20,20,20,37,10,10,10,AVX2,OLD,12345,1320,3072,1.136640e+08,1383,111000.000000,2664.741968,25.3479,58.9916,job.380204.out
16,3,16,76,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,1312,114000.000000,2455.196803,26.8043,62.381,job.380205.out
16,3,16,80,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,1265,120000.000000,2225.130505,30.0171,69.858,job.380207.out
16,3,16,82,20,20,20,41,10,10,10,AVX2,OLD,12345,1320,3072,1.259520e+08,1189,123000.000000,2203.162307,29.2074,67.9736,job.380208.out
16,3,16,78,20,20,20,39,10,10,10,AVX2,OLD,12345,1320,3072,1.198080e+08,1168,117000.000000,2016.276722,29.8216,69.403,job.380206.out
16,3,16,84,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,1156,126000.000000,2229.413109,28.7469,66.9018,job.380209.out
16,3,16,88,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,1058,132000.000000,2148.514548,28.6005,66.5612,job.380211.out
16,3,16,86,20,20,20,43,10,10,10,AVX2,OLD,12345,1320,3072,1.320960e+08,1115,129000.000000,2786.656717,22.7109,52.8544,job.380210.out
16,3,16,90,20,20,20,45,10,10,10,AVX2,OLD,12345,1320,3072,1.382400e+08,1020,135000.000000,2192.916922,27.629,64.3001,job.380212.out
16,3,16,92,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,1025,138000.000000,2287.969155,27.2023,63.3071,job.380213.out
16,3,16,94,20,20,20,47,10,10,10,AVX2,OLD,12345,1320,3072,1.443840e+08,944,141000.000000,2178.550419,26.8829,62.5638,job.380214.out
16,3,16,96,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,931,144000.000000,2218.933309,26.584,61.8683,job.380215.out
16,3,16,98,20,20,20,49,10,10,10,AVX2,OLD,12345,1320,3072,1.505280e+08,861,147000.000000,2188.387658,25.4477,59.2238,job.380216.out
16,3,16,100,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,1.536000e+08,843,150000.000000,2161.420809,25.7414,59.9073,job.380217.out
16,3,16,102,20,20,20,51,10,10,10,AVX2,OLD,12345,1320,3072,1.566720e+08,842,153000.000000,2246.478375,25.2321,58.7221,job.380218.out
16,3,16,104,20,20,20,52,10,10,10,AVX2,OLD,12345,1320,3072,1.597440e+08,804,156000.000000,2188.086182,25.2214,58.697,job.380219.out
16,3,16,106,20,20,20,53,10,10,10,AVX2,OLD,12345,1320,3072,1.628160e+08,757,159000.000000,2192.696690,24.1528,56.2101,job.380221.out
16,3,16,108,20,20,20,54,10,10,10,AVX2,OLD,12345,1320,3072,1.658880e+08,740,162000.000000,2152.668631,24.5032,57.0256,job.380222.out
16,3,16,110,20,20,20,55,10,10,10,AVX2,OLD,12345,1320,3072,1.689600e+08,743,165000.000000,2213.539459,24.369,56.7134,job.380223.out
16,3,16,112,20,20,20,56,10,10,10,AVX2,OLD,12345,1320,3072,1.720320e+08,712,168000.000000,2190.320102,24.0289,55.9219,job.380224.out
16,3,16,114,20,20,20,57,10,10,10,AVX2,OLD,12345,1320,3072,1.751040e+08,658,171000.000000,2140.676128,23.1272,53.8234,job.380225.out
16,3,16,116,20,20,20,58,10,10,10,AVX2,OLD,12345,1320,3072,1.781760e+08,662,174000.000000,2167.592758,23.382,54.4164,job.380226.out
16,3,16,118,20,20,20,59,10,10,10,AVX2,OLD,12345,1320,3072,1.812480e+08,621,177000.000000,2104.295717,22.9832,53.4882,job.380227.out
16,3,16,120,20,20,20,60,10,10,10,AVX2,OLD,12345,1320,3072,1.843200e+08,643,180000.000000,2197.552380,23.1738,53.9317,job.380228.out
16,3,16,122,20,20,20,61,10,10,10,AVX2,OLD,12345,1320,3072,1.873920e+08,592,183000.000000,2141.719965,22.2568,51.7977,job.380229.out
16,3,16,124,20,20,20,62,10,10,10,AVX2,OLD,12345,1320,3072,1.904640e+08,593,186000.000000,2135.658301,22.7242,52.8854,job.380230.out
16,3,16,126,20,20,20,63,10,10,10,AVX2,OLD,12345,1320,3072,1.935360e+08,553,189000.000000,2064.174472,22.2789,51.849,job.380231.out
16,3,16,128,20,20,20,64,10,10,10,AVX2,OLD,12345,1320,3072,1.966080e+08,554,192000.000000,2127.641592,21.9971,51.1932,job.380232.out
16,3,16,130,20,20,20,65,10,10,10,AVX2,OLD,12345,1320,3072,1.996800e+08,549,195000.000000,2228.865792,21.1337,49.1839,job.380233.out
16,3,16,132,20,20,20,66,10,10,10,AVX2,OLD,12345,1320,3072,2.027520e+08,537,198000.000000,2132.514945,21.9382,51.0561,job.380234.out
16,3,16,134,20,20,20,67,10,10,10,AVX2,OLD,12345,1320,3072,2.058240e+08,533,201000.000000,2181.717338,21.6062,50.2834,job.380235.out
16,3,16,136,20,20,20,68,10,10,10,AVX2,OLD,12345,1320,3072,2.088960e+08,517,204000.000000,2155.790457,21.5262,50.0973,job.380236.out
16,3,16,138,20,20,20,69,10,10,10,AVX2,OLD,12345,1320,3072,2.119680e+08,461,207000.000000,2007.823689,20.9121,48.6682,job.380237.out
16,3,16,140,20,20,20,70,10,10,10,AVX2,OLD,12345,1320,3072,2.150400e+08,515,210000.000000,2227.192312,21.3659,49.7243,job.380238.out
16,3,16,142,20,20,20,71,10,10,10,AVX2,OLD,12345,1320,3072,2.181120e+08,459,213000.000000,2059.340537,20.889,48.6143,job.380239.out
16,3,16,144,20,20,20,72,10,10,10,AVX2,OLD,12345,1320,3072,2.211840e+08,439,216000.000000,2119.587614,19.6843,45.8107,job.380240.out
16,3,16,146,20,20,20,73,10,10,10,AVX2,OLD,12345,1320,3072,2.242560e+08,460,219000.000000,2184.111909,20.2946,47.231,job.380241.out
16,3,16,148,20,20,20,74,10,10,10,AVX2,OLD,12345,1320,3072,2.273280e+08,438,222000.000000,2067.664018,20.6919,48.1556,job.380242.out
16,3,16,150,20,20,20,75,10,10,10,AVX2,OLD,12345,1320,3072,2.304000e+08,428,225000.000000,2072.268111,20.4472,47.5861,job.380243.out
16,3,16,152,20,20,20,76,10,10,10,AVX2,OLD,12345,1320,3072,2.334720e+08,421,228000.000000,2048.666521,20.6157,47.9784,job.380244.out
16,3,16,154,20,20,20,77,10,10,10,AVX2,OLD,12345,1320,3072,2.365440e+08,431,231000.000000,2292.028852,19.1127,44.4804,job.380245.out
16,3,16,156,20,20,20,78,10,10,10,AVX2,OLD,12345,1320,3072,2.396160e+08,408,234000.000000,2066.972111,20.3233,47.2978,job.380246.out
16,3,16,158,20,20,20,79,10,10,10,AVX2,OLD,12345,1320,3072,2.426880e+08,407,237000.000000,2091.880424,20.2889,47.2178,job.380247.out
16,3,16,160,20,20,20,80,10,10,10,AVX2,OLD,12345,1320,3072,2.457600e+08,392,240000.000000,2096.520322,19.7447,45.9513,job.380248.out
16,3,16,162,20,20,20,81,10,10,10,AVX2,OLD,12345,1320,3072,2.488320e+08,400,243000.000000,2159.561797,19.804,46.0894,job.380249.out
16,3,16,164,20,20,20,82,10,10,10,AVX2,OLD,12345,1320,3072,2.519040e+08,390,246000.000000,2132.195936,19.7982,46.0758,job.380250.out
16,3,16,166,20,20,20,83,10,10,10,AVX2,OLD,12345,1320,3072,2.549760e+08,380,249000.000000,2105.232885,19.7759,46.0238,job.380251.out
16,3,16,168,20,20,20,84,10,10,10,AVX2,OLD,12345,1320,3072,2.580480e+08,371,252000.000000,2111.504340,19.4821,45.3401,job.380252.out
16,3,16,170,20,20,20,85,10,10,10,AVX2,OLD,12345,1320,3072,2.611200e+08,354,255000.000000,2087.917310,19.0232,44.2721,job.380253.out
16,3,16,172,20,20,20,86,10,10,10,AVX2,OLD,12345,1320,3072,2.641920e+08,361,258000.000000,2132.257592,19.2194,44.7288,job.380254.out
16,3,16,174,20,20,20,87,10,10,10,AVX2,OLD,12345,1320,3072,2.672640e+08,360,261000.000000,2122.052590,19.4823,45.3406,job.380255.out
16,3,16,176,20,20,20,88,10,10,10,AVX2,OLD,12345,1320,3072,2.703360e+08,344,264000.000000,2155.576827,18.5375,43.1419,job.380256.out
16,3,16,178,20,20,20,89,10,10,10,AVX2,OLD,12345,1320,3072,2.734080e+08,346,267000.000000,2112.867964,19.2383,44.7729,job.380257.out
16,3,16,180,20,20,20,90,10,10,10,AVX2,OLD,12345,1320,3072,2.764800e+08,344,270000.000000,2302.994612,17.7452,41.298,job.380258.out
16,3,16,182,20,20,20,91,10,10,10,AVX2,OLD,12345,1320,3072,2.795520e+08,312,273000.000000,2051.878962,18.2649,42.5075,job.380259.out
16,3,16,184,20,20,20,92,10,10,10,AVX2,OLD,12345,1320,3072,2.826240e+08,335,276000.000000,2153.318197,18.8929,43.9689,job.380260.out
16,3,16,186,20,20,20,93,10,10,10,AVX2,OLD,12345,1320,3072,2.856960e+08,308,279000.000000,2048.209854,18.4601,42.9616,job.380261.out
16,3,16,188,20,20,20,94,10,10,10,AVX2,OLD,12345,1320,3072,2.887680e+08,322,282000.000000,2148.634373,18.595,43.2755,job.380262.out
16,3,16,190,20,20,20,95,10,10,10,AVX2,OLD,12345,1320,3072,2.918400e+08,327,285000.000000,2212.381749,18.5347,43.1353,job.380263.out
16,3,16,192,20,20,20,96,10,10,10,AVX2,OLD,12345,1320,3072,2.949120e+08,296,288000.000000,2111.741452,17.7622,41.3374,job.380264.out
