omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
32,3,8,82,16,16,16,82,8,8,8,AVX2,OLD,12345,1320,3072,1.289748e+08,1870,125952.000000,2207.256205,46.9512,109.268,job.399834.out
32,3,8,84,16,16,16,84,8,8,8,AVX2,OLD,12345,1320,3072,1.321206e+08,1809,129024.000000,2226.204591,46.1314,107.36,job.399836.out
31,3,8,84,16,16,16,84,8,8,8,AVX2,OLD,12345,1320,3072,1.321206e+08,1627,129024.000000,2234.880172,41.3292,96.1842,job.399835.out
31,3,8,82,16,16,16,82,8,8,8,AVX2,OLD,12345,1320,3072,1.289748e+08,1669,125952.000000,2168.801485,42.6476,99.2525,job.399833.out
31,3,8,86,16,16,16,86,8,8,8,AVX2,OLD,12345,1320,3072,1.352663e+08,1549,132096.000000,2220.763517,40.5407,94.3493,job.399837.out
32,3,8,86,16,16,16,86,8,8,8,AVX2,OLD,12345,1320,3072,1.352663e+08,1798,132096.000000,2241.142627,46.6297,108.52,job.399838.out
31,3,8,90,16,16,16,90,8,8,8,AVX2,OLD,12345,1320,3072,1.415578e+08,1509,138240.000000,2241.082294,40.956,95.3158,job.399841.out
32,3,8,88,16,16,16,88,8,8,8,AVX2,OLD,12345,1320,3072,1.384120e+08,1644,135168.000000,2339.023429,41.8017,97.2839,job.399840.out
31,3,8,88,16,16,16,88,8,8,8,AVX2,OLD,12345,1320,3072,1.384120e+08,1560,135168.000000,2195.731261,42.2544,98.3375,job.399839.out
32,3,8,90,16,16,16,90,8,8,8,AVX2,OLD,12345,1320,3072,1.415578e+08,1556,138240.000000,2181.440789,43.3863,100.972,job.399842.out
31,3,8,92,16,16,16,92,8,8,8,AVX2,OLD,12345,1320,3072,1.447035e+08,1463,141312.000000,2201.131068,41.3266,96.1784,job.399843.out
32,3,8,92,16,16,16,92,8,8,8,AVX2,OLD,12345,1320,3072,1.447035e+08,1566,141312.000000,2237.043209,43.526,101.297,job.399844.out
31,3,8,94,16,16,16,94,8,8,8,AVX2,OLD,12345,1320,3072,1.478492e+08,1410,144384.000000,2196.153943,40.7876,94.9239,job.399845.out
31,3,8,96,16,16,16,96,8,8,8,AVX2,OLD,12345,1320,3072,1.509949e+08,1365,147456.000000,2175.031459,40.7176,94.761,job.399847.out
