omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
31,3,8,82,16,16,16,82,8,8,8,AVX2,OLD,12345,1320,3072,1.289748e+08,1615,125952.000000,2127.143748,42.0759,97.9221,job.403778.out
32,3,8,82,16,16,16,82,8,8,8,AVX2,OLD,12345,1320,3072,1.289748e+08,1866,125952.000000,2276.911149,45.4175,105.699,job.403779.out
31,3,8,84,16,16,16,84,8,8,8,AVX2,OLD,12345,1320,3072,1.321206e+08,1489,129024.000000,2017.624710,41.8965,97.5045,job.403780.out
32,3,8,84,16,16,16,84,8,8,8,AVX2,OLD,12345,1320,3072,1.321206e+08,1699,129024.000000,2200.646679,43.8295,102.003,job.403781.out
32,3,8,86,16,16,16,86,8,8,8,AVX2,OLD,12345,1320,3072,1.352663e+08,1757,132096.000000,2228.355166,45.8279,106.654,job.403783.out
31,3,8,86,16,16,16,86,8,8,8,AVX2,OLD,12345,1320,3072,1.352663e+08,1637,132096.000000,2278.696628,41.7546,97.1744,job.403782.out
31,3,8,88,16,16,16,88,8,8,8,AVX2,OLD,12345,1320,3072,1.384120e+08,1469,135168.000000,2200.494293,39.7034,92.4007,job.403784.out
32,3,8,88,16,16,16,88,8,8,8,AVX2,OLD,12345,1320,3072,1.384120e+08,1613,135168.000000,2190.944433,43.7854,101.901,job.403785.out
31,3,8,90,16,16,16,90,8,8,8,AVX2,OLD,12345,1320,3072,1.415578e+08,1518,138240.000000,2221.690446,41.5599,96.7213,job.403786.out
32,3,8,90,16,16,16,90,8,8,8,AVX2,OLD,12345,1320,3072,1.415578e+08,1627,138240.000000,2226.012752,44.4576,103.465,job.403787.out
31,3,8,92,16,16,16,92,8,8,8,AVX2,OLD,12345,1320,3072,1.447035e+08,1469,141312.000000,2220.394144,41.1361,95.735,job.403788.out
32,3,8,92,16,16,16,92,8,8,8,AVX2,OLD,12345,1320,3072,1.447035e+08,1525,141312.000000,2228.287648,42.553,99.0325,job.403789.out
31,3,8,94,16,16,16,94,8,8,8,AVX2,OLD,12345,1320,3072,1.478492e+08,1359,144384.000000,2097.773937,41.1559,95.7811,job.403790.out
32,3,8,94,16,16,16,94,8,8,8,AVX2,OLD,12345,1320,3072,1.478492e+08,1542,144384.000000,2472.348954,39.6229,92.2133,job.403791.out
31,3,8,96,16,16,16,96,8,8,8,AVX2,OLD,12345,1320,3072,1.509949e+08,1373,147456.000000,2207.987166,40.3449,93.8937,job.403792.out
32,3,8,96,16,16,16,96,8,8,8,AVX2,OLD,12345,1320,3072,1.509949e+08,1523,147456.000000,2296.320911,43.0311,100.145,job.403793.out
31,3,8,98,16,16,16,98,8,8,8,AVX2,OLD,12345,1320,3072,1.541407e+08,1332,150528.000000,2193.839292,40.2133,93.5872,job.403794.out
32,3,8,98,16,16,16,98,8,8,8,AVX2,OLD,12345,1320,3072,1.541407e+08,1489,150528.000000,2224.151742,44.3405,103.192,job.403795.out
31,3,8,100,16,16,16,100,8,8,8,AVX2,OLD,12345,1320,3072,1.572864e+08,1306,153600.000000,2209.829361,39.9419,92.9556,job.403796.out
32,3,8,100,16,16,16,100,8,8,8,AVX2,OLD,12345,1320,3072,1.572864e+08,1419,153600.000000,2289.677111,41.8844,97.4764,job.403797.out
