
omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,44,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,1871,66000.000000,2034.708326,26.7035,62.1463,job.381022.out
16,3,16,42,20,20,20,21,10,10,10,VECT,OLD,12345,1320,3072,6.451200e+07,1760,63000.000000,2106.308823,23.1624,53.9053,job.381021.out
16,3,16,46,20,20,20,23,10,10,10,VECT,OLD,12345,1320,3072,7.065600e+07,1766,69000.000000,2167.567881,24.7354,57.5661,job.381023.out
16,3,16,48,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,1736,72000.000000,2115.618343,25.9955,60.4985,job.381024.out
16,3,16,50,20,20,20,25,10,10,10,VECT,OLD,12345,1320,3072,7.680000e+07,1596,75000.000000,2058.814149,25.5817,59.5356,job.381025.out
16,3,16,54,20,20,20,27,10,10,10,VECT,OLD,12345,1320,3072,8.294400e+07,1702,81000.000000,2258.265604,26.861,62.5129,job.381027.out
16,3,16,52,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,1696,78000.000000,2180.154092,26.6984,62.1346,job.381026.out
16,3,16,56,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,1680,84000.000000,2310.972319,26.8687,62.5308,job.381028.out
16,3,16,58,20,20,20,29,10,10,10,VECT,OLD,12345,1320,3072,8.908800e+07,1530,87000.000000,2174.121853,26.9389,62.6941,job.381029.out
16,3,16,60,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,1393,90000.000000,2196.407770,25.115,58.4495,job.381030.out
16,3,16,64,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,1437,96000.000000,2170.197574,27.9693,65.0922,job.381032.out
16,3,16,66,20,20,20,33,10,10,10,VECT,OLD,12345,1320,3072,1.013760e+08,1323,99000.000000,2180.029523,26.4354,61.5223,job.381033.out
16,3,16,62,20,20,20,31,10,10,10,VECT,OLD,12345,1320,3072,9.523200e+07,1527,93000.000000,2188.434325,28.5523,66.449,job.381031.out
16,3,16,68,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,1275,102000.000000,2093.760118,27.3298,63.6038,job.381034.out
16,3,16,70,20,20,20,35,10,10,10,VECT,OLD,12345,1320,3072,1.075200e+08,1280,105000.000000,2300.660731,25.7039,59.82,job.381035.out
16,3,16,72,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,1332,108000.000000,2386.453285,26.5233,61.727,job.381036.out
16,3,16,74,20,20,20,37,10,10,10,VECT,OLD,12345,1320,3072,1.136640e+08,1281,111000.000000,2539.389997,24.6374,57.338,job.381037.out
16,3,16,76,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,1294,114000.000000,2429.600566,26.7151,62.1733,job.381038.out
16,3,16,78,20,20,20,39,10,10,10,VECT,OLD,12345,1320,3072,1.198080e+08,1206,117000.000000,2721.400338,22.8136,53.0934,job.381039.out
16,3,16,80,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,1076,120000.000000,2005.414761,28.3297,65.9309,job.381040.out
16,3,16,82,20,20,20,41,10,10,10,VECT,OLD,12345,1320,3072,1.259520e+08,1137,123000.000000,2772.386558,22.1955,51.6549,job.381041.out
16,3,16,84,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,1095,126000.000000,2218.427456,27.3648,63.6853,job.381042.out
16,3,16,86,20,20,20,43,10,10,10,VECT,OLD,12345,1320,3072,1.320960e+08,1075,129000.000000,2190.545465,27.8547,64.8255,job.381043.out
16,3,16,88,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,955,132000.000000,2043.352581,27.1448,63.1734,job.381044.out
16,3,16,90,20,20,20,45,10,10,10,VECT,OLD,12345,1320,3072,1.382400e+08,984,135000.000000,2169.764281,26.9382,62.6926,job.381045.out
16,3,16,94,20,20,20,47,10,10,10,VECT,OLD,12345,1320,3072,1.443840e+08,881,141000.000000,2205.886847,24.7779,57.6649,job.381047.out
16,3,16,92,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,951,138000.000000,2201.292637,26.2322,61.0495,job.381046.out
16,3,16,96,20,20,20,48,10,10,10,VECT,OLD,12345,1320,3072,1.474560e+08,900,144000.000000,2218.734826,25.7011,59.8135,job.381048.out
16,3,16,98,20,20,20,49,10,10,10,VECT,OLD,12345,1320,3072,1.505280e+08,850,147000.000000,2209.748840,24.8798,57.902,job.381049.out
16,3,16,100,20,20,20,50,10,10,10,VECT,OLD,12345,1320,3072,1.536000e+08,814,150000.000000,2168.589858,24.7737,57.6552,job.381050.out
16,3,16,102,20,20,20,51,10,10,10,VECT,OLD,12345,1320,3072,1.566720e+08,776,153000.000000,2180.407321,23.959,55.7591,job.381051.out
16,3,16,104,20,20,20,52,10,10,10,VECT,OLD,12345,1320,3072,1.597440e+08,763,156000.000000,2150.379948,24.3549,56.6805,job.381052.out
16,3,16,106,20,20,20,53,10,10,10,VECT,OLD,12345,1320,3072,1.628160e+08,729,159000.000000,2176.416711,23.4334,54.5359,job.381053.out
