omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,46,20,20,20,23,10,10,10,AVX2,NEW,12345,1320,3072,7.065600e+07,1517,69000.000000,2151.420598,21.4073,49.8206,job.379917.out
16,3,16,42,20,20,20,21,10,10,10,AVX2,NEW,12345,1320,3072,6.451200e+07,1586,63000.000000,2084.292552,21.093,49.0891,job.379915.out
16,3,16,44,20,20,20,22,10,10,10,AVX2,NEW,12345,1320,3072,6.758400e+07,1579,66000.000000,2125.771574,21.5706,50.2007,job.379916.out
16,3,16,48,20,20,20,24,10,10,10,AVX2,NEW,12345,1320,3072,7.372800e+07,1473,72000.000000,2177.831882,21.4271,49.8667,job.379918.out
16,3,16,50,20,20,20,25,10,10,10,AVX2,NEW,12345,1320,3072,7.680000e+07,1392,75000.000000,2168.926649,21.1791,49.2896,job.379919.out
16,3,16,54,20,20,20,27,10,10,10,AVX2,NEW,12345,1320,3072,8.294400e+07,1304,81000.000000,2110.878543,22.0167,51.2388,job.379921.out
16,3,16,56,20,20,20,28,10,10,10,AVX2,NEW,12345,1320,3072,8.601600e+07,1297,84000.000000,2125.029173,22.5583,52.4994,job.379922.out
16,3,16,52,20,20,20,26,10,10,10,AVX2,NEW,12345,1320,3072,7.987200e+07,1379,78000.000000,2193.161681,21.5795,50.2213,job.379920.out
16,3,16,58,20,20,20,29,10,10,10,AVX2,NEW,12345,1320,3072,8.908800e+07,1279,87000.000000,2164.554239,22.619,52.6407,job.379923.out
16,3,16,60,20,20,20,30,10,10,10,AVX2,NEW,12345,1320,3072,9.216000e+07,1265,90000.000000,2254.638749,22.2182,51.7078,job.379924.out
16,3,16,64,20,20,20,32,10,10,10,AVX2,NEW,12345,1320,3072,9.830400e+07,1205,96000.000000,2193.578272,23.2037,54.0014,job.379926.out
16,3,16,62,20,20,20,31,10,10,10,AVX2,NEW,12345,1320,3072,9.523200e+07,1225,93000.000000,2195.097151,22.8359,53.1453,job.379925.out
16,3,16,66,20,20,20,33,10,10,10,AVX2,NEW,12345,1320,3072,1.013760e+08,1121,99000.000000,2103.315649,23.2161,54.0302,job.379927.out
16,3,16,68,20,20,20,34,10,10,10,AVX2,NEW,12345,1320,3072,1.044480e+08,1108,102000.000000,2116.345917,23.4967,54.6831,job.379928.out
16,3,16,70,20,20,20,35,10,10,10,AVX2,NEW,12345,1320,3072,1.075200e+08,1109,105000.000000,2135.945956,23.9874,55.8252,job.379929.out
16,3,16,72,20,20,20,36,10,10,10,AVX2,NEW,12345,1320,3072,1.105920e+08,1077,108000.000000,2140.891731,23.9055,55.6346,job.379930.out
16,3,16,74,20,20,20,37,10,10,10,AVX2,NEW,12345,1320,3072,1.136640e+08,1012,111000.000000,2083.710200,23.7202,55.2034,job.379931.out
16,3,16,76,20,20,20,38,10,10,10,AVX2,NEW,12345,1320,3072,1.167360e+08,1000,114000.000000,2098.613151,23.9015,55.6253,job.379932.out
16,3,16,78,20,20,20,39,10,10,10,AVX2,NEW,12345,1320,3072,1.198080e+08,971,117000.000000,2128.958672,23.4796,54.6434,job.379933.out
16,3,16,80,20,20,20,40,10,10,10,AVX2,NEW,12345,1320,3072,1.228800e+08,948,120000.000000,2096.372979,23.8767,55.5675,job.379934.out
16,3,16,82,20,20,20,41,10,10,10,AVX2,NEW,12345,1320,3072,1.259520e+08,845,123000.000000,2153.481774,21.236,49.422,job.379935.out
16,3,16,84,20,20,20,42,10,10,10,AVX2,NEW,12345,1320,3072,1.290240e+08,876,126000.000000,2055.390188,23.6283,54.9896,job.379936.out
16,3,16,86,20,20,20,43,10,10,10,AVX2,NEW,12345,1320,3072,1.320960e+08,882,129000.000000,2133.790895,23.4617,54.6017,job.379937.out
16,3,16,88,20,20,20,44,10,10,10,AVX2,NEW,12345,1320,3072,1.351680e+08,868,132000.000000,2100.462418,24.0011,55.8571,job.379938.out
16,3,16,90,20,20,20,45,10,10,10,AVX2,NEW,12345,1320,3072,1.382400e+08,828,135000.000000,2100.259378,23.4177,54.4993,job.379939.out
16,3,16,92,20,20,20,46,10,10,10,AVX2,NEW,12345,1320,3072,1.413120e+08,824,138000.000000,2141.276944,23.3661,54.3793,job.379940.out
16,3,16,94,20,20,20,47,10,10,10,AVX2,NEW,12345,1320,3072,1.443840e+08,846,141000.000000,2268.031656,23.1416,53.8568,job.379941.out
16,3,16,96,20,20,20,48,10,10,10,AVX2,NEW,12345,1320,3072,1.474560e+08,771,144000.000000,2105.555871,23.2008,53.9946,job.379942.out
16,3,16,98,20,20,20,49,10,10,10,AVX2,NEW,12345,1320,3072,1.505280e+08,742,147000.000000,2077.122946,23.1053,53.7723,job.379943.out
16,3,16,100,20,20,20,50,10,10,10,AVX2,NEW,12345,1320,3072,1.536000e+08,737,150000.000000,2118.189985,22.9639,53.4434,job.379944.out
16,3,16,102,20,20,20,51,10,10,10,AVX2,NEW,12345,1320,3072,1.566720e+08,707,153000.000000,2110.235036,22.5545,52.4904,job.379945.out
16,3,16,104,20,20,20,52,10,10,10,AVX2,NEW,12345,1320,3072,1.597440e+08,713,156000.000000,2129.730579,22.9796,53.4798,job.379946.out
16,3,16,106,20,20,20,53,10,10,10,AVX2,NEW,12345,1320,3072,1.628160e+08,661,159000.000000,2089.326123,22.1332,51.5101,job.379947.out
16,3,16,108,20,20,20,54,10,10,10,AVX2,NEW,12345,1320,3072,1.658880e+08,642,162000.000000,2099.454518,21.797,50.7275,job.379948.out
16,3,16,110,20,20,20,55,10,10,10,AVX2,NEW,12345,1320,3072,1.689600e+08,627,165000.000000,2058.721025,22.1109,51.4581,job.379949.out
16,3,16,112,20,20,20,56,10,10,10,AVX2,NEW,12345,1320,3072,1.720320e+08,642,168000.000000,2191.201866,21.6578,50.4036,job.379950.out
16,3,16,114,20,20,20,57,10,10,10,AVX2,NEW,12345,1320,3072,1.751040e+08,596,171000.000000,2077.311931,21.5871,50.239,job.379951.out
16,3,16,116,20,20,20,58,10,10,10,AVX2,NEW,12345,1320,3072,1.781760e+08,583,174000.000000,2098.219371,21.2726,49.507,job.379952.out
16,3,16,118,20,20,20,59,10,10,10,AVX2,NEW,12345,1320,3072,1.812480e+08,586,177000.000000,2166.399550,21.0661,49.0267,job.379953.out
16,3,16,120,20,20,20,60,10,10,10,AVX2,NEW,12345,1320,3072,1.843200e+08,558,180000.000000,2056.118773,21.4937,50.0217,job.379954.out
16,3,16,122,20,20,20,61,10,10,10,AVX2,NEW,12345,1320,3072,1.873920e+08,536,183000.000000,2105.124932,20.5017,47.7131,job.379955.out
16,3,16,124,20,20,20,62,10,10,10,AVX2,NEW,12345,1320,3072,1.904640e+08,551,186000.000000,2223.062870,20.2846,47.2077,job.379956.out
16,3,16,128,20,20,20,64,10,10,10,AVX2,NEW,12345,1320,3072,1.966080e+08,510,192000.000000,2122.369093,20.3003,47.2444,job.379958.out
16,3,16,126,20,20,20,63,10,10,10,AVX2,NEW,12345,1320,3072,1.935360e+08,527,189000.000000,2194.492067,19.9706,46.477,job.379957.out
16,3,16,130,20,20,20,65,10,10,10,AVX2,NEW,12345,1320,3072,1.996800e+08,488,195000.000000,2109.280587,19.8506,46.1977,job.379959.out
16,3,16,132,20,20,20,66,10,10,10,AVX2,NEW,12345,1320,3072,2.027520e+08,500,198000.000000,2233.955969,19.499,45.3796,job.379960.out
16,3,16,136,20,20,20,68,10,10,10,AVX2,NEW,12345,1320,3072,2.088960e+08,474,204000.000000,2198.066790,19.3562,45.0472,job.379962.out
16,3,16,134,20,20,20,67,10,10,10,AVX2,NEW,12345,1320,3072,2.058240e+08,488,201000.000000,2176.207454,19.8321,46.1547,job.379961.out
16,3,16,138,20,20,20,69,10,10,10,AVX2,NEW,12345,1320,3072,2.119680e+08,437,207000.000000,2128.577216,18.6989,43.5173,job.379963.out
16,3,16,140,20,20,20,70,10,10,10,AVX2,NEW,12345,1320,3072,2.150400e+08,438,210000.000000,2136.523499,18.9425,44.0845,job.379964.out
16,3,16,144,20,20,20,72,10,10,10,AVX2,NEW,12345,1320,3072,2.211840e+08,428,216000.000000,2095.318501,19.4133,45.1801,job.379966.out
16,3,16,142,20,20,20,71,10,10,10,AVX2,NEW,12345,1320,3072,2.181120e+08,436,213000.000000,2313.791106,17.6602,41.1,job.379965.out
16,3,16,146,20,20,20,73,10,10,10,AVX2,NEW,12345,1320,3072,2.242560e+08,387,219000.000000,2012.552818,18.5294,43.1229,job.379967.out
16,3,16,148,20,20,20,74,10,10,10,AVX2,NEW,12345,1320,3072,2.273280e+08,418,222000.000000,2208.122740,18.4909,43.0334,job.379968.out
16,3,16,150,20,20,20,75,10,10,10,AVX2,NEW,12345,1320,3072,2.304000e+08,386,225000.000000,2077.833038,18.3913,42.8015,job.379969.out
16,3,16,152,20,20,20,76,10,10,10,AVX2,NEW,12345,1320,3072,2.334720e+08,402,228000.000000,2204.554819,18.2933,42.5736,job.379970.out
16,3,16,154,20,20,20,77,10,10,10,AVX2,NEW,12345,1320,3072,2.365440e+08,388,231000.000000,2168.890762,18.1827,42.3161,job.379971.out
16,3,16,156,20,20,20,78,10,10,10,AVX2,NEW,12345,1320,3072,2.396160e+08,360,234000.000000,2067.894288,17.9243,41.7148,job.379972.out
16,3,16,158,20,20,20,79,10,10,10,AVX2,NEW,12345,1320,3072,2.426880e+08,368,237000.000000,2258.175992,16.9938,39.5493,job.379973.out
16,3,16,160,20,20,20,80,10,10,10,AVX2,NEW,12345,1320,3072,2.457600e+08,375,240000.000000,2178.197316,18.1802,42.3102,job.379974.out
16,3,16,162,20,20,20,81,10,10,10,AVX2,NEW,12345,1320,3072,2.488320e+08,356,243000.000000,2293.461599,16.5965,38.6247,job.379975.out
16,3,16,164,20,20,20,82,10,10,10,AVX2,NEW,12345,1320,3072,2.519040e+08,361,246000.000000,2181.553050,17.9114,41.6847,job.379976.out
16,3,16,166,20,20,20,83,10,10,10,AVX2,NEW,12345,1320,3072,2.549760e+08,360,249000.000000,2274.586410,17.3401,40.3552,job.379977.out
16,3,16,168,20,20,20,84,10,10,10,AVX2,NEW,12345,1320,3072,2.580480e+08,347,252000.000000,2148.639923,17.9068,41.6741,job.379978.out
16,3,16,170,20,20,20,85,10,10,10,AVX2,NEW,12345,1320,3072,2.611200e+08,330,255000.000000,2099.032407,17.6396,41.0521,job.379979.out
16,3,16,172,20,20,20,86,10,10,10,AVX2,NEW,12345,1320,3072,2.641920e+08,324,258000.000000,2137.274558,17.2091,40.0502,job.379980.out
16,3,16,174,20,20,20,87,10,10,10,AVX2,NEW,12345,1320,3072,2.672640e+08,324,261000.000000,2147.598840,17.3255,40.3211,job.379981.out
16,3,16,176,20,20,20,88,10,10,10,AVX2,NEW,12345,1320,3072,2.703360e+08,334,264000.000000,2237.970808,17.336,40.3456,job.379982.out
16,3,16,178,20,20,20,89,10,10,10,AVX2,NEW,12345,1320,3072,2.734080e+08,323,267000.000000,2270.263953,16.7144,38.8989,job.379983.out
16,3,16,180,20,20,20,90,10,10,10,AVX2,NEW,12345,1320,3072,2.764800e+08,293,270000.000000,2034.529494,17.1088,39.8169,job.379984.out
16,3,16,182,20,20,20,91,10,10,10,AVX2,NEW,12345,1320,3072,2.795520e+08,305,273000.000000,2114.688479,17.3248,40.3196,job.379985.out
16,3,16,184,20,20,20,92,10,10,10,AVX2,NEW,12345,1320,3072,2.826240e+08,306,276000.000000,2196.728551,16.9164,39.369,job.379986.out
16,3,16,186,20,20,20,93,10,10,10,AVX2,NEW,12345,1320,3072,2.856960e+08,293,279000.000000,2186.899417,16.4473,38.2774,job.379987.out
16,3,16,188,20,20,20,94,10,10,10,AVX2,NEW,12345,1320,3072,2.887680e+08,283,282000.000000,2206.457367,15.9145,37.0374,job.379988.out
16,3,16,190,20,20,20,95,10,10,10,AVX2,NEW,12345,1320,3072,2.918400e+08,303,285000.000000,2208.195847,17.2069,40.0451,job.379989.out
16,3,16,192,20,20,20,96,10,10,10,AVX2,NEW,12345,1320,3072,2.949120e+08,278,288000.000000,2116.824855,16.642,38.7304,job.379990.out
16,3,16,194,20,20,20,97,10,10,10,AVX2,NEW,12345,1320,3072,2.979840e+08,262,291000.000000,2110.478694,15.8952,36.9925,job.379991.out
16,3,16,196,20,20,20,98,10,10,10,AVX2,NEW,12345,1320,3072,3.010560e+08,259,294000.000000,2090.012310,16.0306,37.3077,job.379992.out
16,3,16,200,20,20,20,100,10,10,10,AVX2,NEW,12345,1320,3072,3.072000e+08,280,300000.000000,2203.859295,16.7706,39.0297,job.379994.out
16,3,16,198,20,20,20,99,10,10,10,AVX2,NEW,12345,1320,3072,3.041280e+08,274,297000.000000,2164.765426,16.5405,38.4943,job.379993.out
16,3,16,202,20,20,20,101,10,10,10,AVX2,NEW,12345,1320,3072,3.102720e+08,269,303000.000000,2345.635870,15.2893,35.5823,job.379995.out
16,3,16,204,20,20,20,102,10,10,10,AVX2,NEW,12345,1320,3072,3.133440e+08,260,306000.000000,2161.276492,16.1971,37.6951,job.379996.out
16,3,16,206,20,20,20,103,10,10,10,AVX2,NEW,12345,1320,3072,3.164160e+08,255,309000.000000,2255.558754,15.3708,35.7721,job.379997.out
16,3,16,208,20,20,20,104,10,10,10,AVX2,NEW,12345,1320,3072,3.194880e+08,257,312000.000000,2182.602398,16.1646,37.6195,job.379998.out
16,3,16,210,20,20,20,105,10,10,10,AVX2,NEW,12345,1320,3072,3.225600e+08,256,315000.000000,2196.491045,16.1538,37.5942,job.379999.out
