omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,MACRO,NEW,12345,1320,3072,6.451200e+07,1356,63000.000000,2170.340462,17.3191,40.3062,job.379078.out
16,3,16,46,20,20,20,23,10,10,10,MACRO,NEW,12345,1320,3072,7.065600e+07,1271,69000.000000,2195.857036,17.5729,40.8969,job.379080.out
16,3,16,44,20,20,20,22,10,10,10,MACRO,NEW,12345,1320,3072,6.758400e+07,1299,66000.000000,2162.963917,17.4404,40.5886,job.379079.out
16,3,16,48,20,20,20,24,10,10,10,MACRO,NEW,12345,1320,3072,7.372800e+07,1198,72000.000000,2357.818828,16.0965,37.461,job.379081.out
16,3,16,50,20,20,20,25,10,10,10,MACRO,NEW,12345,1320,3072,7.680000e+07,1187,75000.000000,2213.598389,17.6956,41.1825,job.379082.out
16,3,16,52,20,20,20,26,10,10,10,MACRO,NEW,12345,1320,3072,7.987200e+07,1103,78000.000000,2273.280781,16.6521,38.754,job.379083.out
16,3,16,54,20,20,20,27,10,10,10,MACRO,NEW,12345,1320,3072,8.294400e+07,1032,81000.000000,2146.058872,17.1386,39.8862,job.379084.out
16,3,16,56,20,20,20,28,10,10,10,MACRO,NEW,12345,1320,3072,8.601600e+07,1034,84000.000000,2232.447881,17.1187,39.8399,job.379085.out
16,3,16,58,20,20,20,29,10,10,10,MACRO,NEW,12345,1320,3072,8.908800e+07,1005,87000.000000,2196.699557,17.5133,40.7582,job.379086.out
16,3,16,60,20,20,20,30,10,10,10,MACRO,NEW,12345,1320,3072,9.216000e+07,913,90000.000000,2058.640984,17.5625,40.8726,job.379087.out
16,3,16,62,20,20,20,31,10,10,10,MACRO,NEW,12345,1320,3072,9.523200e+07,964,93000.000000,2189.084856,18.0198,41.937,job.379088.out
16,3,16,64,20,20,20,32,10,10,10,MACRO,NEW,12345,1320,3072,9.830400e+07,932,96000.000000,2246.093442,17.5272,40.7905,job.379089.out
16,3,16,66,20,20,20,33,10,10,10,MACRO,NEW,12345,1320,3072,1.013760e+08,933,99000.000000,2230.105658,18.224,42.4123,job.379090.out
16,3,16,68,20,20,20,34,10,10,10,MACRO,NEW,12345,1320,3072,1.044480e+08,856,102000.000000,2125.712093,18.0727,42.06,job.379091.out
16,3,16,70,20,20,20,35,10,10,10,MACRO,NEW,12345,1320,3072,1.075200e+08,864,105000.000000,2149.892012,18.5669,43.2102,job.379092.out
16,3,16,72,20,20,20,36,10,10,10,MACRO,NEW,12345,1320,3072,1.105920e+08,841,108000.000000,2194.039127,18.215,42.3912,job.379093.out
16,3,16,74,20,20,20,37,10,10,10,MACRO,NEW,12345,1320,3072,1.136640e+08,809,111000.000000,2118.308097,18.6524,43.4093,job.379094.out
16,3,16,76,20,20,20,38,10,10,10,MACRO,NEW,12345,1320,3072,1.167360e+08,819,114000.000000,2229.306289,18.4277,42.8863,job.379095.out
16,3,16,78,20,20,20,39,10,10,10,MACRO,NEW,12345,1320,3072,1.198080e+08,815,117000.000000,2249.183527,18.654,43.4129,job.379096.out
16,3,16,80,20,20,20,40,10,10,10,MACRO,NEW,12345,1320,3072,1.228800e+08,757,120000.000000,2372.348789,16.8481,39.2102,job.379097.out
16,3,16,82,20,20,20,41,10,10,10,MACRO,NEW,12345,1320,3072,1.259520e+08,756,123000.000000,2178.006649,18.7854,43.7187,job.379098.out
16,3,16,84,20,20,20,42,10,10,10,MACRO,NEW,12345,1320,3072,1.290240e+08,746,126000.000000,2191.697946,18.8704,43.9166,job.379099.out
