omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,42,20,20,20,21,10,10,10,VECT,OLD,12345,1320,3072,6.451200e+07,869,63000.000000,2133.392057,11.2913,26.2778,job.382116.out
16,3,16,44,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,793,66000.000000,2125.590995,10.834,25.2137,job.382117.out
16,3,16,46,20,20,20,23,10,10,10,VECT,OLD,12345,1320,3072,7.065600e+07,799,69000.000000,2143.895153,11.3148,26.3325,job.382118.out
16,3,16,48,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,761,72000.000000,2219.163216,10.8638,25.283,job.382119.out
16,3,16,50,20,20,20,25,10,10,10,VECT,OLD,12345,1320,3072,7.680000e+07,771,75000.000000,2249.078892,11.3126,26.3276,job.382120.out
16,3,16,54,20,20,20,27,10,10,10,VECT,OLD,12345,1320,3072,8.294400e+07,710,81000.000000,2232.956244,11.3322,26.3732,job.382122.out
16,3,16,52,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,728,78000.000000,2203.245423,11.3401,26.3914,job.382121.out
16,3,16,56,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,685,84000.000000,2340.631146,10.8166,25.1731,job.382123.out
16,3,16,58,20,20,20,29,10,10,10,VECT,OLD,12345,1320,3072,8.908800e+07,678,87000.000000,2264.770330,11.4598,26.6701,job.382124.out
16,3,16,60,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,654,90000.000000,2254.347673,11.4882,26.7362,job.382125.out
16,3,16,64,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,582,96000.000000,2194.039097,11.2048,26.0765,job.382127.out
16,3,16,62,20,20,20,31,10,10,10,VECT,OLD,12345,1320,3072,9.523200e+07,617,93000.000000,2181.458974,11.5737,26.9353,job.382126.out
16,3,16,66,20,20,20,33,10,10,10,VECT,OLD,12345,1320,3072,1.013760e+08,564,99000.000000,2223.501358,11.0492,25.7144,job.382128.out
16,3,16,68,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,552,102000.000000,2274.995607,10.8896,25.343,job.382129.out
16,3,16,70,20,20,20,35,10,10,10,VECT,OLD,12345,1320,3072,1.075200e+08,510,105000.000000,2213.152443,10.6464,24.777,job.382130.out
16,3,16,72,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,488,108000.000000,2186.763622,10.6046,24.6798,job.382131.out
16,3,16,74,20,20,20,37,10,10,10,VECT,OLD,12345,1320,3072,1.136640e+08,459,111000.000000,2156.424142,10.3957,24.1937,job.382132.out
16,3,16,76,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,438,114000.000000,2171.589225,10.1171,23.5451,job.382133.out
16,3,16,78,20,20,20,39,10,10,10,VECT,OLD,12345,1320,3072,1.198080e+08,430,117000.000000,2117.494582,10.4541,24.3294,job.382134.out
16,3,16,80,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,404,120000.000000,2156.371633,9.89217,23.0218,job.382135.out
16,3,16,82,20,20,20,41,10,10,10,VECT,OLD,12345,1320,3072,1.259520e+08,393,123000.000000,2425.656936,8.76841,20.4065,job.382136.out
16,3,16,84,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,400,126000.000000,2212.230524,10.0243,23.3292,job.382137.out
16,3,16,86,20,20,20,43,10,10,10,VECT,OLD,12345,1320,3072,1.320960e+08,365,129000.000000,2162.511035,9.58025,22.2959,job.382138.out
16,3,16,88,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,348,132000.000000,2183.102426,9.25831,21.5466,job.382139.out
16,3,16,90,20,20,20,45,10,10,10,VECT,OLD,12345,1320,3072,1.382400e+08,355,135000.000000,2260.398080,9.32889,21.7109,job.382140.out
