omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,MACRO,OLD,12345,1320,3072,6.451200e+07,1368,63000.000000,2040.490834,18.5842,43.2506,job.382774.out
16,3,32,88,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,1447,66000.000000,2259.524762,18.5972,43.2808,job.382775.out
16,3,32,92,20,20,20,23,10,10,10,MACRO,OLD,12345,1320,3072,7.065600e+07,1425,69000.000000,2266.484465,19.0882,44.4233,job.382776.out
16,3,32,96,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,1397,72000.000000,2216.161226,19.9701,46.4759,job.382777.out
16,3,32,100,20,20,20,25,10,10,10,MACRO,OLD,12345,1320,3072,7.680000e+07,1241,75000.000000,2023.768803,20.236,47.0947,job.382778.out
16,3,32,104,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,1273,78000.000000,2166.715563,20.1639,46.9268,job.382779.out
16,3,32,108,20,20,20,27,10,10,10,MACRO,OLD,12345,1320,3072,8.294400e+07,1176,81000.000000,2024.885007,20.6988,48.1717,job.382780.out
16,3,32,112,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,1288,84000.000000,2222.198859,21.4222,49.8554,job.382781.out
16,3,32,116,20,20,20,29,10,10,10,MACRO,OLD,12345,1320,3072,8.908800e+07,1183,87000.000000,2133.807205,21.2227,49.3911,job.382782.out
16,3,32,120,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,1097,90000.000000,2012.217599,21.5887,50.2428,job.382783.out
16,3,32,124,20,20,20,31,10,10,10,MACRO,OLD,12345,1320,3072,9.523200e+07,1031,93000.000000,2093.442212,20.1527,46.9008,job.382784.out
16,3,32,128,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,1089,96000.000000,2161.477640,21.2814,49.5277,job.382785.out
16,3,32,132,20,20,20,33,10,10,10,MACRO,OLD,12345,1320,3072,1.013760e+08,1056,99000.000000,2194.769236,20.9586,48.7765,job.382786.out
16,3,32,136,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,1017,102000.000000,2383.794554,19.1472,44.5607,job.382787.out
16,3,32,140,20,20,20,35,10,10,10,MACRO,OLD,12345,1320,3072,1.075200e+08,882,105000.000000,2025.970532,20.113,46.8085,job.382788.out
16,3,32,144,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,951,108000.000000,2244.867212,20.131,46.8504,job.382789.out
16,3,32,148,20,20,20,37,10,10,10,MACRO,OLD,12345,1320,3072,1.136640e+08,873,111000.000000,2177.300485,19.5827,45.5742,job.382790.out
16,3,32,152,20,20,20,38,10,10,10,MACRO,OLD,12345,1320,3072,1.167360e+08,834,114000.000000,2127.358150,19.6645,45.7647,job.382791.out
16,3,32,156,20,20,20,39,10,10,10,MACRO,OLD,12345,1320,3072,1.198080e+08,806,117000.000000,2278.447171,18.211,42.382,job.382792.out
16,3,32,160,20,20,20,40,10,10,10,MACRO,OLD,12345,1320,3072,1.228800e+08,865,120000.000000,2628.880932,17.3732,40.4321,job.382793.out
16,3,32,164,20,20,20,41,10,10,10,MACRO,OLD,12345,1320,3072,1.259520e+08,902,123000.000000,2686.927246,18.1681,42.282,job.382794.out
16,3,32,168,20,20,20,42,10,10,10,MACRO,OLD,12345,1320,3072,1.290240e+08,764,126000.000000,2244.024212,18.8751,43.9275,job.382795.out
16,3,32,172,20,20,20,43,10,10,10,MACRO,OLD,12345,1320,3072,1.320960e+08,831,129000.000000,2339.301761,20.1631,46.925,job.382796.out
16,3,32,176,20,20,20,44,10,10,10,MACRO,OLD,12345,1320,3072,1.351680e+08,830,132000.000000,2167.351245,22.2421,51.7634,job.382797.out
16,3,32,180,20,20,20,45,10,10,10,MACRO,OLD,12345,1320,3072,1.382400e+08,794,135000.000000,2199.485441,21.443,49.9037,job.382798.out
16,3,32,184,20,20,20,46,10,10,10,MACRO,OLD,12345,1320,3072,1.413120e+08,755,138000.000000,2287.420689,20.0416,46.6423,job.382799.out
16,3,32,188,20,20,20,47,10,10,10,MACRO,OLD,12345,1320,3072,1.443840e+08,721,141000.000000,2213.730808,20.2061,47.0251,job.382800.out
16,3,32,192,20,20,20,48,10,10,10,MACRO,OLD,12345,1320,3072,1.474560e+08,710,144000.000000,2400.818382,18.7376,43.6075,job.382801.out
16,3,32,196,20,20,20,49,10,10,10,MACRO,OLD,12345,1320,3072,1.505280e+08,668,147000.000000,2117.676092,20.4027,47.4826,job.382802.out
16,3,32,200,20,20,20,50,10,10,10,MACRO,OLD,12345,1320,3072,1.536000e+08,682,150000.000000,2180.615061,20.6419,48.0393,job.382803.out
16,3,32,204,20,20,20,51,10,10,10,MACRO,OLD,12345,1320,3072,1.566720e+08,653,153000.000000,2179.012335,20.1743,46.951,job.382804.out
16,3,32,208,20,20,20,52,10,10,10,MACRO,OLD,12345,1320,3072,1.597440e+08,642,156000.000000,2168.213432,20.3241,47.2996,job.382805.out
16,3,32,212,20,20,20,53,10,10,10,MACRO,OLD,12345,1320,3072,1.628160e+08,618,159000.000000,2409.915352,17.9406,41.7526,job.382806.out
16,3,32,216,20,20,20,54,10,10,10,MACRO,OLD,12345,1320,3072,1.658880e+08,603,162000.000000,2198.654193,19.5492,45.4962,job.382807.out
16,3,32,220,20,20,20,55,10,10,10,MACRO,OLD,12345,1320,3072,1.689600e+08,564,165000.000000,2278.526199,17.9706,41.8224,job.382808.out
16,3,32,224,20,20,20,56,10,10,10,MACRO,OLD,12345,1320,3072,1.720320e+08,563,168000.000000,2158.194081,19.2832,44.8773,job.382809.out
16,3,32,228,20,20,20,57,10,10,10,MACRO,OLD,12345,1320,3072,1.751040e+08,555,171000.000000,2167.387724,19.2666,44.8386,job.382810.out
16,3,32,232,20,20,20,58,10,10,10,MACRO,OLD,12345,1320,3072,1.781760e+08,534,174000.000000,2127.479668,19.2167,44.7224,job.382811.out
16,3,32,236,20,20,20,59,10,10,10,MACRO,OLD,12345,1320,3072,1.812480e+08,537,177000.000000,2244.898972,18.6296,43.3561,job.382812.out
16,3,32,240,20,20,20,60,10,10,10,MACRO,OLD,12345,1320,3072,1.843200e+08,550,180000.000000,2301.863437,18.9238,44.0408,job.382813.out
16,3,32,244,20,20,20,61,10,10,10,MACRO,OLD,12345,1320,3072,1.873920e+08,501,183000.000000,2237.771846,18.0271,41.954,job.382814.out
16,3,32,248,20,20,20,62,10,10,10,MACRO,OLD,12345,1320,3072,1.904640e+08,503,186000.000000,2268.782264,18.1443,42.2268,job.382815.out
16,3,32,252,20,20,20,63,10,10,10,MACRO,OLD,12345,1320,3072,1.935360e+08,483,189000.000000,2234.576252,17.9749,41.8325,job.382816.out
16,3,32,256,20,20,20,64,10,10,10,MACRO,OLD,12345,1320,3072,1.966080e+08,477,192000.000000,2149.744073,18.745,43.6247,job.382817.out
16,3,32,260,20,20,20,65,10,10,10,MACRO,OLD,12345,1320,3072,1.996800e+08,463,195000.000000,2295.127574,17.3086,40.2818,job.382818.out
