omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,MACRO,NEW,12345,1320,3072,6.451200e+07,1325,63000.000000,2179.876255,16.8491,39.2125,job.383530.out
16,3,32,88,20,20,20,22,10,10,10,MACRO,NEW,12345,1320,3072,6.758400e+07,1263,66000.000000,2127.127227,17.2427,40.1286,job.383531.out
16,3,32,92,20,20,20,23,10,10,10,MACRO,NEW,12345,1320,3072,7.065600e+07,1222,69000.000000,2208.107381,16.8017,39.1021,job.383532.out
16,3,32,96,20,20,20,24,10,10,10,MACRO,NEW,12345,1320,3072,7.372800e+07,1152,72000.000000,2187.640867,16.6825,38.8248,job.383533.out
16,3,32,100,20,20,20,25,10,10,10,MACRO,NEW,12345,1320,3072,7.680000e+07,1176,75000.000000,2250.607528,17.2433,40.13,job.383534.out
16,3,32,104,20,20,20,26,10,10,10,MACRO,NEW,12345,1320,3072,7.987200e+07,1147,78000.000000,2304.071076,17.085,39.7614,job.383535.out
16,3,32,108,20,20,20,27,10,10,10,MACRO,NEW,12345,1320,3072,8.294400e+07,1047,81000.000000,2116.633426,17.6294,41.0285,job.383536.out
16,3,32,112,20,20,20,28,10,10,10,MACRO,NEW,12345,1320,3072,8.601600e+07,1003,84000.000000,2085.547095,17.7751,41.3676,job.383537.out
16,3,32,116,20,20,20,29,10,10,10,MACRO,NEW,12345,1320,3072,8.908800e+07,990,87000.000000,2223.753545,17.042,39.6614,job.383538.out
16,3,32,120,20,20,20,30,10,10,10,MACRO,NEW,12345,1320,3072,9.216000e+07,999,90000.000000,2177.436439,18.1683,42.2827,job.383539.out
16,3,32,124,20,20,20,31,10,10,10,MACRO,NEW,12345,1320,3072,9.523200e+07,926,93000.000000,2291.145044,16.5384,38.4894,job.383540.out
16,3,32,128,20,20,20,32,10,10,10,MACRO,NEW,12345,1320,3072,9.830400e+07,838,96000.000000,2137.576464,16.5595,38.5384,job.383541.out
16,3,32,132,20,20,20,33,10,10,10,MACRO,NEW,12345,1320,3072,1.013760e+08,862,99000.000000,2052.303438,18.2959,42.5795,job.383542.out
16,3,32,136,20,20,20,34,10,10,10,MACRO,NEW,12345,1320,3072,1.044480e+08,870,102000.000000,2121.802280,18.4021,42.8267,job.383543.out
16,3,32,140,20,20,20,35,10,10,10,MACRO,NEW,12345,1320,3072,1.075200e+08,847,105000.000000,2096.798637,18.6625,43.4326,job.383544.out
16,3,32,144,20,20,20,36,10,10,10,MACRO,NEW,12345,1320,3072,1.105920e+08,817,108000.000000,2080.843955,18.6577,43.4216,job.383545.out
16,3,32,148,20,20,20,37,10,10,10,MACRO,NEW,12345,1320,3072,1.136640e+08,851,111000.000000,2254.348835,18.4367,42.9073,job.383546.out
16,3,32,152,20,20,20,38,10,10,10,MACRO,NEW,12345,1320,3072,1.167360e+08,815,114000.000000,2167.534819,18.8603,43.8931,job.383547.out
16,3,32,156,20,20,20,39,10,10,10,MACRO,NEW,12345,1320,3072,1.198080e+08,737,117000.000000,2025.219244,18.7341,43.5995,job.383548.out
16,3,32,160,20,20,20,40,10,10,10,MACRO,NEW,12345,1320,3072,1.228800e+08,748,120000.000000,2082.791317,18.9622,44.1303,job.383549.out
16,3,32,164,20,20,20,41,10,10,10,MACRO,NEW,12345,1320,3072,1.259520e+08,734,123000.000000,2114.057675,18.7904,43.7305,job.383550.out
16,3,32,168,20,20,20,42,10,10,10,MACRO,NEW,12345,1320,3072,1.290240e+08,690,126000.000000,2028.157875,18.8613,43.8953,job.383551.out
16,3,32,172,20,20,20,43,10,10,10,MACRO,NEW,12345,1320,3072,1.320960e+08,695,129000.000000,2092.810488,18.8494,43.8677,job.383552.out
16,3,32,176,20,20,20,44,10,10,10,MACRO,NEW,12345,1320,3072,1.351680e+08,654,132000.000000,2022.717241,18.7789,43.7035,job.383553.out
16,3,32,180,20,20,20,45,10,10,10,MACRO,NEW,12345,1320,3072,1.382400e+08,645,135000.000000,2255.769590,16.9844,39.5274,job.383554.out
16,3,32,184,20,20,20,46,10,10,10,MACRO,NEW,12345,1320,3072,1.413120e+08,673,138000.000000,2183.602053,18.7143,43.5533,job.383555.out
16,3,32,188,20,20,20,47,10,10,10,MACRO,NEW,12345,1320,3072,1.443840e+08,579,141000.000000,2119.288867,16.9496,39.4464,job.383556.out
16,3,32,192,20,20,20,48,10,10,10,MACRO,NEW,12345,1320,3072,1.474560e+08,613,144000.000000,2186.914565,17.76,41.3324,job.383557.out
16,3,32,196,20,20,20,49,10,10,10,MACRO,NEW,12345,1320,3072,1.505280e+08,602,147000.000000,2112.386261,18.4329,42.8983,job.383558.out
