omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,VECT,NEW,12345,1320,3072,6.451200e+07,1484,63000.000000,2127.107520,19.3392,45.0075,job.388081.out
16,3,32,88,20,20,20,22,10,10,10,VECT,NEW,12345,1320,3072,6.758400e+07,1520,66000.000000,2468.781844,17.8796,41.6107,job.388082.out
16,3,32,92,20,20,20,23,10,10,10,VECT,NEW,12345,1320,3072,7.065600e+07,1432,69000.000000,2318.243216,18.7536,43.6449,job.388083.out
16,3,32,96,20,20,20,24,10,10,10,VECT,NEW,12345,1320,3072,7.372800e+07,1372,72000.000000,2159.124596,20.1308,46.8499,job.388084.out
16,3,32,100,20,20,20,25,10,10,10,VECT,NEW,12345,1320,3072,7.680000e+07,1303,75000.000000,2144.675608,20.0492,46.6599,job.388085.out
16,3,32,104,20,20,20,26,10,10,10,VECT,NEW,12345,1320,3072,7.987200e+07,1311,78000.000000,2524.440790,17.8232,41.4794,job.388086.out
16,3,32,108,20,20,20,27,10,10,10,VECT,NEW,12345,1320,3072,8.294400e+07,1182,81000.000000,2139.979451,19.6855,45.8134,job.388087.out
16,3,32,112,20,20,20,28,10,10,10,VECT,NEW,12345,1320,3072,8.601600e+07,1134,84000.000000,2065.085079,20.2958,47.234,job.388088.out
16,3,32,116,20,20,20,29,10,10,10,VECT,NEW,12345,1320,3072,8.908800e+07,1160,87000.000000,2156.059268,20.5954,47.931,job.388089.out
16,3,32,120,20,20,20,30,10,10,10,VECT,NEW,12345,1320,3072,9.216000e+07,1083,90000.000000,2148.131038,19.9647,46.4633,job.388090.out
16,3,32,124,20,20,20,31,10,10,10,VECT,NEW,12345,1320,3072,9.523200e+07,1078,93000.000000,2112.739724,20.8789,48.591,job.388091.out
16,3,32,128,20,20,20,32,10,10,10,VECT,NEW,12345,1320,3072,9.830400e+07,1056,96000.000000,2104.837975,21.1919,49.3192,job.388092.out
16,3,32,132,20,20,20,33,10,10,10,VECT,NEW,12345,1320,3072,1.013760e+08,993,99000.000000,2017.523851,21.4397,49.896,job.388093.out
16,3,32,136,20,20,20,34,10,10,10,VECT,NEW,12345,1320,3072,1.044480e+08,1041,102000.000000,2248.752309,20.776,48.3514,job.388094.out
16,3,32,140,20,20,20,35,10,10,10,VECT,NEW,12345,1320,3072,1.075200e+08,1023,105000.000000,2171.214892,21.7678,50.6596,job.388095.out
16,3,32,144,20,20,20,36,10,10,10,VECT,NEW,12345,1320,3072,1.105920e+08,1010,108000.000000,2215.389709,21.6645,50.4191,job.388096.out
