omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,AVX2,OLD,12345,1320,3072,6.451200e+07,898,63000.000000,2254.327275,11.0421,25.698,job.385427.out
16,3,32,88,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,878,66000.000000,2386.692032,10.683,24.8623,job.385428.out
16,3,32,92,20,20,20,23,10,10,10,AVX2,OLD,12345,1320,3072,7.065600e+07,814,69000.000000,2139.239413,11.5523,26.8852,job.385429.out
16,3,32,96,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,786,72000.000000,2134.381155,11.6664,27.1508,job.385430.out
16,3,32,100,20,20,20,25,10,10,10,AVX2,OLD,12345,1320,3072,7.680000e+07,712,75000.000000,2047.689465,11.4744,26.704,job.385431.out
16,3,32,104,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,732,78000.000000,2141.065545,11.7335,27.3071,job.385432.out
16,3,32,108,20,20,20,27,10,10,10,AVX2,OLD,12345,1320,3072,8.294400e+07,686,81000.000000,2121.813512,11.5227,26.8165,job.385433.out
16,3,32,112,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,679,84000.000000,2192.567669,11.4459,26.6377,job.385434.out
16,3,32,116,20,20,20,29,10,10,10,AVX2,OLD,12345,1320,3072,8.908800e+07,668,87000.000000,2267.853091,11.2754,26.241,job.385435.out
16,3,32,120,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,605,90000.000000,2134.422092,11.2246,26.1227,job.385436.out
16,3,32,124,20,20,20,31,10,10,10,AVX2,OLD,12345,1320,3072,9.523200e+07,587,93000.000000,2455.802231,9.78093,22.7629,job.385437.out
16,3,32,128,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,599,96000.000000,2195.463902,11.5246,26.8208,job.385438.out
16,3,32,132,20,20,20,33,10,10,10,AVX2,OLD,12345,1320,3072,1.013760e+08,574,99000.000000,2180.373728,11.4675,26.688,job.385439.out
16,3,32,136,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,564,102000.000000,2235.799820,11.3214,26.3479,job.385440.out
16,3,32,140,20,20,20,35,10,10,10,AVX2,OLD,12345,1320,3072,1.075200e+08,534,105000.000000,2225.827585,11.0839,25.7952,job.385441.out
16,3,32,144,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,473,108000.000000,2085.301936,10.7788,25.0851,job.385442.out
16,3,32,148,20,20,20,37,10,10,10,AVX2,OLD,12345,1320,3072,1.136640e+08,488,111000.000000,2412.592423,9.87897,22.991,job.385443.out
16,3,32,152,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,447,114000.000000,2232.966444,10.0411,23.3685,job.385444.out
16,3,32,156,20,20,20,39,10,10,10,AVX2,OLD,12345,1320,3072,1.198080e+08,448,117000.000000,2288.268159,10.0788,23.4562,job.385445.out
16,3,32,160,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,415,120000.000000,2213.643295,9.89861,23.0368,job.385446.out
16,3,32,164,20,20,20,41,10,10,10,AVX2,OLD,12345,1320,3072,1.259520e+08,405,123000.000000,2174.362865,10.0805,23.46,job.385447.out
16,3,32,168,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,399,126000.000000,2340.047951,9.45304,21.9998,job.385448.out
16,3,32,172,20,20,20,43,10,10,10,AVX2,OLD,12345,1320,3072,1.320960e+08,362,129000.000000,2123.148425,9.67767,22.5226,job.385449.out
16,3,32,176,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,341,132000.000000,2082.389232,9.51084,22.1343,job.385450.out
16,3,32,180,20,20,20,45,10,10,10,AVX2,OLD,12345,1320,3072,1.382400e+08,319,135000.000000,2059.893313,9.19883,21.4082,job.385451.out
16,3,32,184,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,319,138000.000000,2176.982222,8.89749,20.7069,job.385452.out
16,3,32,188,20,20,20,47,10,10,10,AVX2,OLD,12345,1320,3072,1.443840e+08,331,141000.000000,2420.831175,8.48272,19.7416,job.385453.out
16,3,32,192,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,295,144000.000000,2090.723957,8.94006,20.806,job.385454.out
16,3,32,196,20,20,20,49,10,10,10,AVX2,OLD,12345,1320,3072,1.505280e+08,302,147000.000000,2157.368733,9.05425,21.0717,job.385455.out
