omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,MACRO,OLD,12345,1320,3072,6.451200e+07,778,63000.000000,2224.571429,9.69452,22.5618,job.384290.out
16,3,32,88,20,20,20,22,10,10,10,MACRO,OLD,12345,1320,3072,6.758400e+07,757,66000.000000,2255.324695,9.74728,22.6846,job.384291.out
16,3,32,92,20,20,20,23,10,10,10,MACRO,OLD,12345,1320,3072,7.065600e+07,751,69000.000000,2367.419203,9.63089,22.4137,job.384292.out
16,3,32,96,20,20,20,24,10,10,10,MACRO,OLD,12345,1320,3072,7.372800e+07,673,72000.000000,2201.143942,9.68616,22.5423,job.384293.out
16,3,32,100,20,20,20,25,10,10,10,MACRO,OLD,12345,1320,3072,7.680000e+07,639,75000.000000,2215.775132,9.51676,22.1481,job.384294.out
16,3,32,104,20,20,20,26,10,10,10,MACRO,OLD,12345,1320,3072,7.987200e+07,642,78000.000000,2293.678847,9.60616,22.3561,job.384295.out
16,3,32,108,20,20,20,27,10,10,10,MACRO,OLD,12345,1320,3072,8.294400e+07,587,81000.000000,2182.177942,9.58706,22.3117,job.384296.out
16,3,32,112,20,20,20,28,10,10,10,MACRO,OLD,12345,1320,3072,8.601600e+07,621,84000.000000,2341.935330,9.80051,22.8085,job.384297.out
16,3,32,116,20,20,20,29,10,10,10,MACRO,OLD,12345,1320,3072,8.908800e+07,557,87000.000000,2171.329486,9.81977,22.8533,job.384298.out
16,3,32,120,20,20,20,30,10,10,10,MACRO,OLD,12345,1320,3072,9.216000e+07,542,90000.000000,2165.513508,9.91137,23.0665,job.384299.out
16,3,32,124,20,20,20,31,10,10,10,MACRO,OLD,12345,1320,3072,9.523200e+07,526,93000.000000,2253.687324,9.55054,22.2267,job.384300.out
16,3,32,128,20,20,20,32,10,10,10,MACRO,OLD,12345,1320,3072,9.830400e+07,525,96000.000000,2330.645346,9.51496,22.1439,job.384301.out
16,3,32,132,20,20,20,33,10,10,10,MACRO,OLD,12345,1320,3072,1.013760e+08,486,99000.000000,2240.234063,9.44998,21.9927,job.384302.out
16,3,32,136,20,20,20,34,10,10,10,MACRO,OLD,12345,1320,3072,1.044480e+08,490,102000.000000,2256.086584,9.7475,22.6851,job.384303.out
16,3,32,140,20,20,20,35,10,10,10,MACRO,OLD,12345,1320,3072,1.075200e+08,455,105000.000000,2226.036848,9.44324,21.977,job.384304.out
16,3,32,144,20,20,20,36,10,10,10,MACRO,OLD,12345,1320,3072,1.105920e+08,438,108000.000000,2204.493874,9.44151,21.973,job.384305.out
16,3,32,148,20,20,20,37,10,10,10,MACRO,OLD,12345,1320,3072,1.136640e+08,422,111000.000000,2212.631796,9.31492,21.6784,job.384306.out
16,3,32,152,20,20,20,38,10,10,10,MACRO,OLD,12345,1320,3072,1.167360e+08,397,114000.000000,2188.835859,9.09777,21.173,job.384307.out
16,3,32,156,20,20,20,39,10,10,10,MACRO,OLD,12345,1320,3072,1.198080e+08,392,117000.000000,2235.777315,9.02602,21.006,job.384308.out
16,3,32,160,20,20,20,40,10,10,10,MACRO,OLD,12345,1320,3072,1.228800e+08,361,120000.000000,2201.817275,8.65685,20.1468,job.384309.out
16,3,32,164,20,20,20,41,10,10,10,MACRO,OLD,12345,1320,3072,1.259520e+08,343,123000.000000,2114.808053,8.7777,20.4281,job.384310.out
16,3,32,168,20,20,20,42,10,10,10,MACRO,OLD,12345,1320,3072,1.290240e+08,351,126000.000000,2338.849312,8.32009,19.3631,job.384311.out
16,3,32,172,20,20,20,43,10,10,10,MACRO,OLD,12345,1320,3072,1.320960e+08,332,129000.000000,2167.283709,8.6949,20.2354,job.384312.out
16,3,32,176,20,20,20,44,10,10,10,MACRO,OLD,12345,1320,3072,1.351680e+08,337,132000.000000,2357.908166,8.30098,19.3187,job.384313.out
16,3,32,180,20,20,20,45,10,10,10,MACRO,OLD,12345,1320,3072,1.382400e+08,305,135000.000000,2145.259794,8.44513,19.6541,job.384314.out
16,3,32,184,20,20,20,46,10,10,10,MACRO,OLD,12345,1320,3072,1.413120e+08,299,138000.000000,2211.361154,8.21,19.1069,job.384315.out
16,3,32,188,20,20,20,47,10,10,10,MACRO,OLD,12345,1320,3072,1.443840e+08,285,141000.000000,2175.394479,8.12791,18.9159,job.384316.out
16,3,32,192,20,20,20,48,10,10,10,MACRO,OLD,12345,1320,3072,1.474560e+08,258,144000.000000,2108.487379,7.75289,18.0431,job.384317.out
16,3,32,196,20,20,20,49,10,10,10,MACRO,OLD,12345,1320,3072,1.505280e+08,268,147000.000000,2156.576558,8.03785,18.7063,job.384318.out
16,3,32,200,20,20,20,50,10,10,10,MACRO,OLD,12345,1320,3072,1.536000e+08,265,150000.000000,2223.764666,7.86504,18.3041,job.384319.out
16,3,32,204,20,20,20,51,10,10,10,MACRO,OLD,12345,1320,3072,1.566720e+08,260,153000.000000,2226.710921,7.86056,18.2937,job.384320.out
