omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,32,84,20,20,20,21,10,10,10,VECT,OLD,12345,1320,3072,6.451200e+07,921,63000.000000,2285.384801,11.171,25.9981,job.387703.out
16,3,32,88,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,815,66000.000000,2163.758718,10.9382,25.4561,job.387704.out
16,3,32,92,20,20,20,23,10,10,10,VECT,OLD,12345,1320,3072,7.065600e+07,813,69000.000000,2172.903077,11.3593,26.4362,job.387705.out
16,3,32,96,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,770,72000.000000,2110.039028,11.5607,26.905,job.387706.out
16,3,32,100,20,20,20,25,10,10,10,VECT,OLD,12345,1320,3072,7.680000e+07,738,75000.000000,2288.949026,10.6398,24.7618,job.387707.out
16,3,32,104,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,716,78000.000000,2098.996529,11.7071,27.2456,job.387708.out
16,3,32,108,20,20,20,27,10,10,10,VECT,OLD,12345,1320,3072,8.294400e+07,670,81000.000000,2109.208311,11.3212,26.3476,job.387709.out
16,3,32,112,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,693,84000.000000,2430.851378,10.5368,24.5219,job.387710.out
16,3,32,116,20,20,20,29,10,10,10,VECT,OLD,12345,1320,3072,8.908800e+07,656,87000.000000,2310.665043,10.8677,25.2922,job.387711.out
16,3,32,120,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,634,90000.000000,2184.301324,11.494,26.7497,job.387712.out
16,3,32,124,20,20,20,31,10,10,10,VECT,OLD,12345,1320,3072,9.523200e+07,618,93000.000000,2279.778657,11.0926,25.8154,job.387713.out
16,3,32,128,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,576,96000.000000,2155.513253,11.2874,26.269,job.387714.out
16,3,32,132,20,20,20,33,10,10,10,VECT,OLD,12345,1320,3072,1.013760e+08,564,99000.000000,2191.735858,11.2093,26.0871,job.387715.out
16,3,32,136,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,536,102000.000000,2170.402738,11.0835,25.7944,job.387716.out
16,3,32,140,20,20,20,35,10,10,10,VECT,OLD,12345,1320,3072,1.075200e+08,518,105000.000000,2408.252264,9.93733,23.1269,job.387717.out
16,3,32,144,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,490,108000.000000,2196.239513,10.6021,24.674,job.387718.out
16,3,32,148,20,20,20,37,10,10,10,VECT,OLD,12345,1320,3072,1.136640e+08,460,111000.000000,2146.869823,10.4647,24.3543,job.387719.out
16,3,32,152,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,449,114000.000000,2279.808734,9.87883,22.9907,job.387720.out
16,3,32,156,20,20,20,39,10,10,10,VECT,OLD,12345,1320,3072,1.198080e+08,435,117000.000000,2194.035670,10.2067,23.7537,job.387721.out
16,3,32,160,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,397,120000.000000,2173.805169,9.64281,22.4415,job.387722.out
16,3,32,164,20,20,20,41,10,10,10,VECT,OLD,12345,1320,3072,1.259520e+08,375,123000.000000,2119.976857,9.57322,22.2795,job.387723.out
16,3,32,168,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,374,126000.000000,2152.169373,9.63426,22.4216,job.387724.out
16,3,32,172,20,20,20,43,10,10,10,VECT,OLD,12345,1320,3072,1.320960e+08,343,129000.000000,2121.223926,9.17804,21.3598,job.387725.out
16,3,32,176,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,333,132000.000000,2111.798779,9.15837,21.314,job.387726.out
16,3,32,180,20,20,20,45,10,10,10,VECT,OLD,12345,1320,3072,1.382400e+08,333,135000.000000,2107.540222,9.38544,21.8425,job.387727.out
16,3,32,184,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,313,138000.000000,2082.235785,9.12738,21.2419,job.387728.out
16,3,32,188,20,20,20,47,10,10,10,VECT,OLD,12345,1320,3072,1.443840e+08,318,141000.000000,2197.591940,8.97743,20.8929,job.387729.out
