omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,64,168,20,20,20,21,10,10,10,AVX2,OLD,12345,1320,3072,6.451200e+07,1285,63000.000000,2012.353835,17.7008,41.1945,job.393911.out
16,3,64,176,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,1664,66000.000000,2379.808409,20.3052,47.2558,job.393912.out
16,3,64,184,20,20,20,23,10,10,10,AVX2,OLD,12345,1320,3072,7.065600e+07,1507,69000.000000,2033.051703,22.5044,52.3738,job.393913.out
16,3,64,192,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,1445,72000.000000,2030.110597,22.5493,52.4784,job.393914.out
16,3,64,200,20,20,20,25,10,10,10,AVX2,OLD,12345,1320,3072,7.680000e+07,1490,75000.000000,2137.843836,22.9998,53.5268,job.393915.out
16,3,64,208,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,1388,78000.000000,2110.608908,22.5699,52.5262,job.393916.out
16,3,64,216,20,20,20,27,10,10,10,AVX2,OLD,12345,1320,3072,8.294400e+07,1424,81000.000000,2362.598392,21.4812,49.9925,job.393917.out
16,3,64,224,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,1422,84000.000000,2137.734912,24.5854,57.217,job.393918.out
16,3,64,232,20,20,20,29,10,10,10,AVX2,OLD,12345,1320,3072,8.908800e+07,1339,87000.000000,2099.301611,24.4162,56.8231,job.393919.out
16,3,64,240,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,1401,90000.000000,2149.327914,25.8125,60.0728,job.393920.out
16,3,64,248,20,20,20,31,10,10,10,AVX2,OLD,12345,1320,3072,9.523200e+07,1303,93000.000000,2338.086791,22.8044,53.0722,job.393921.out
16,3,64,256,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,1268,96000.000000,2134.364590,25.0943,58.4012,job.393922.out
16,3,64,264,20,20,20,33,10,10,10,AVX2,OLD,12345,1320,3072,1.013760e+08,1257,99000.000000,2390.614004,22.9041,53.3041,job.393923.out
16,3,64,272,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,1131,102000.000000,2004.886701,25.3178,58.9214,job.393924.out
16,3,64,280,20,20,20,35,10,10,10,AVX2,OLD,12345,1320,3072,1.075200e+08,985,105000.000000,2048.947725,22.2099,51.6886,job.393925.out
16,3,64,288,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,1077,108000.000000,2111.035338,24.2436,56.4214,job.393926.out
16,3,64,296,20,20,20,37,10,10,10,AVX2,OLD,12345,1320,3072,1.136640e+08,1354,111000.000000,2711.266874,24.3906,56.7635,job.393927.out
16,3,64,304,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,946,114000.000000,2182.662180,21.7401,50.5952,job.393928.out
