omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,64,168,20,20,20,21,10,10,10,AVX2,OLD,12345,1320,3072,6.451200e+07,749,63000.000000,2230.490821,9.30839,21.6632,job.395868.out
16,3,64,176,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,774,66000.000000,2309.760427,9.73129,22.6474,job.395869.out
16,3,64,184,20,20,20,23,10,10,10,AVX2,OLD,12345,1320,3072,7.065600e+07,729,69000.000000,2120.618039,10.4368,24.2893,job.395870.out
16,3,64,192,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,722,72000.000000,2358.661959,9.69743,22.5686,job.395871.out
16,3,64,200,20,20,20,25,10,10,10,AVX2,OLD,12345,1320,3072,7.680000e+07,669,75000.000000,2082.130537,10.6031,24.6763,job.395872.out
16,3,64,208,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,674,78000.000000,2146.090351,10.7785,25.0846,job.395873.out
16,3,64,216,20,20,20,27,10,10,10,AVX2,OLD,12345,1320,3072,8.294400e+07,667,81000.000000,2198.344953,10.8135,25.166,job.395874.out
16,3,64,224,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,618,84000.000000,2381.174470,9.59244,22.3242,job.395875.out
16,3,64,232,20,20,20,29,10,10,10,AVX2,OLD,12345,1320,3072,8.908800e+07,610,87000.000000,2156.054458,10.8303,25.2052,job.395876.out
16,3,64,240,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,595,90000.000000,2170.110400,10.8575,25.2684,job.395877.out
16,3,64,248,20,20,20,31,10,10,10,AVX2,OLD,12345,1320,3072,9.523200e+07,574,93000.000000,2215.997629,10.5993,24.6675,job.395878.out
16,3,64,256,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,546,96000.000000,2142.564299,10.7642,25.0513,job.395879.out
16,3,64,264,20,20,20,33,10,10,10,AVX2,OLD,12345,1320,3072,1.013760e+08,533,99000.000000,2250.161132,10.3181,24.0131,job.395880.out
16,3,64,272,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,472,102000.000000,2029.055679,10.44,24.2967,job.395881.out
16,3,64,280,20,20,20,35,10,10,10,AVX2,OLD,12345,1320,3072,1.075200e+08,485,105000.000000,2136.760133,10.4864,24.4048,job.395882.out
16,3,64,288,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,469,108000.000000,2141.509360,10.4071,24.2201,job.395883.out
16,3,64,296,20,20,20,37,10,10,10,AVX2,OLD,12345,1320,3072,1.136640e+08,392,111000.000000,2108.858114,9.07851,21.1282,job.395884.out
16,3,64,304,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,431,114000.000000,2143.549326,10.0856,23.4719,job.395885.out
16,3,64,312,20,20,20,39,10,10,10,AVX2,OLD,12345,1320,3072,1.198080e+08,419,117000.000000,2149.018844,10.0372,23.3593,job.395886.out
16,3,64,320,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,406,120000.000000,2176.920322,9.84731,22.9174,job.395887.out
16,3,64,328,20,20,20,41,10,10,10,AVX2,OLD,12345,1320,3072,1.259520e+08,382,123000.000000,2236.029147,9.24578,21.5175,job.395888.out
16,3,64,336,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,378,126000.000000,2251.449187,9.30792,21.6621,job.395889.out
16,3,64,344,20,20,20,43,10,10,10,AVX2,OLD,12345,1320,3072,1.320960e+08,353,129000.000000,2155.344687,9.29609,21.6345,job.395890.out
16,3,64,352,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,342,132000.000000,2510.266476,7.91285,18.4154,job.395891.out
16,3,64,360,20,20,20,45,10,10,10,AVX2,OLD,12345,1320,3072,1.382400e+08,340,135000.000000,2213.105445,9.12564,21.2378,job.395892.out
16,3,64,368,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,321,138000.000000,2165.892890,8.99912,20.9434,job.395893.out
16,3,64,376,20,20,20,47,10,10,10,AVX2,OLD,12345,1320,3072,1.443840e+08,322,141000.000000,2518.326593,7.9326,18.4613,job.395894.out
16,3,64,384,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,300,144000.000000,2286.671875,8.31252,19.3455,job.395895.out
16,3,64,392,20,20,20,49,10,10,10,AVX2,OLD,12345,1320,3072,1.505280e+08,299,147000.000000,2352.477059,8.22083,19.1321,job.395896.out
16,3,64,400,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,1.536000e+08,278,150000.000000,2149.252271,8.53692,19.8677,job.395897.out
16,3,64,408,20,20,20,51,10,10,10,AVX2,OLD,12345,1320,3072,1.566720e+08,264,153000.000000,2188.020159,8.12263,18.9036,job.395898.out
16,3,64,416,20,20,20,52,10,10,10,AVX2,OLD,12345,1320,3072,1.597440e+08,261,156000.000000,2227.258218,8.04354,18.7195,job.395899.out
16,3,64,424,20,20,20,53,10,10,10,AVX2,OLD,12345,1320,3072,1.628160e+08,255,159000.000000,2239.582251,7.96568,18.5383,job.395900.out
16,3,64,432,20,20,20,54,10,10,10,AVX2,OLD,12345,1320,3072,1.658880e+08,238,162000.000000,2200.472302,7.70954,17.9422,job.395901.out
16,3,64,440,20,20,20,55,10,10,10,AVX2,OLD,12345,1320,3072,1.689600e+08,233,165000.000000,2262.512295,7.47656,17.4,job.395902.out
16,3,64,448,20,20,20,56,10,10,10,AVX2,OLD,12345,1320,3072,1.720320e+08,225,168000.000000,2192.200159,7.5869,17.6568,job.395903.out
16,3,64,456,20,20,20,57,10,10,10,AVX2,OLD,12345,1320,3072,1.751040e+08,211,171000.000000,2269.812276,6.99425,16.2775,job.395904.out
16,3,64,464,20,20,20,58,10,10,10,AVX2,OLD,12345,1320,3072,1.781760e+08,216,174000.000000,2336.423162,7.0779,16.4722,job.395905.out
16,3,64,472,20,20,20,59,10,10,10,AVX2,OLD,12345,1320,3072,1.812480e+08,238,177000.000000,2500.725984,7.41202,17.2498,job.395906.out
16,3,64,480,20,20,20,60,10,10,10,AVX2,OLD,12345,1320,3072,1.843200e+08,220,180000.000000,2392.034638,7.28418,16.9523,job.395907.out
16,3,64,488,20,20,20,61,10,10,10,AVX2,OLD,12345,1320,3072,1.873920e+08,205,183000.000000,2218.095513,7.44179,17.3191,job.395908.out
16,3,64,496,20,20,20,62,10,10,10,AVX2,OLD,12345,1320,3072,1.904640e+08,205,186000.000000,2227.196132,7.53288,17.5311,job.395909.out
16,3,64,504,20,20,20,63,10,10,10,AVX2,OLD,12345,1320,3072,1.935360e+08,207,189000.000000,2450.192561,7.02562,16.3505,job.395910.out
16,3,64,512,20,20,20,64,10,10,10,AVX2,OLD,12345,1320,3072,1.966080e+08,244,192000.000000,2760.953878,7.46594,17.3753,job.395911.out
16,3,64,520,20,20,20,65,10,10,10,AVX2,OLD,12345,1320,3072,1.996800e+08,207,195000.000000,2361.920320,7.51956,17.5001,job.395912.out
16,3,64,528,20,20,20,66,10,10,10,AVX2,OLD,12345,1320,3072,2.027520e+08,196,198000.000000,2298.682931,7.42839,17.2879,job.395913.out
16,3,64,536,20,20,20,67,10,10,10,AVX2,OLD,12345,1320,3072,2.058240e+08,215,201000.000000,2754.078976,6.90416,16.0679,job.395914.out
16,3,64,544,20,20,20,68,10,10,10,AVX2,OLD,12345,1320,3072,2.088960e+08,183,204000.000000,2220.942734,7.39599,17.2125,job.395915.out
