omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,AVX2,NEW,12345,1320,3072,6.144000e+07,1874,60000.000000,2200.696679,22.4809,52.3191,job.375185.out
16,3,8,30,20,20,20,30,10,10,10,AVX2,NEW,12345,1320,3072,9.216000e+07,1282,90000.000000,2212.880563,22.9417,53.3915,job.375190.out
16,3,8,22,20,20,20,22,10,10,10,AVX2,NEW,12345,1320,3072,6.758400e+07,1659,66000.000000,2119.104250,22.7348,52.91,job.375186.out
16,3,8,28,20,20,20,28,10,10,10,AVX2,NEW,12345,1320,3072,8.601600e+07,1330,84000.000000,2072.072749,23.7235,55.211,job.375189.out
16,3,8,24,20,20,20,24,10,10,10,AVX2,NEW,12345,1320,3072,7.372800e+07,1480,72000.000000,2060.486285,22.755,52.9571,job.375187.out
16,3,8,26,20,20,20,26,10,10,10,AVX2,NEW,12345,1320,3072,7.987200e+07,1438,78000.000000,2127.077995,23.2019,53.997,job.375188.out
16,3,8,32,20,20,20,32,10,10,10,AVX2,NEW,12345,1320,3072,9.830400e+07,1218,96000.000000,2107.784011,24.4087,56.8058,job.375191.out
16,3,8,34,20,20,20,34,10,10,10,AVX2,NEW,12345,1320,3072,1.044480e+08,1135,102000.000000,2171.395419,23.459,54.5955,job.375192.out
16,3,8,36,20,20,20,36,10,10,10,AVX2,NEW,12345,1320,3072,1.105920e+08,1100,108000.000000,2089.083849,25.0215,58.2318,job.375193.out
16,3,8,38,20,20,20,38,10,10,10,AVX2,NEW,12345,1320,3072,1.167360e+08,1043,114000.000000,2082.388010,25.1235,58.4692,job.375194.out
16,3,8,40,20,20,20,40,10,10,10,AVX2,NEW,12345,1320,3072,1.228800e+08,997,120000.000000,2134.375371,24.6637,57.3992,job.375195.out
16,3,8,42,20,20,20,42,10,10,10,AVX2,NEW,12345,1320,3072,1.290240e+08,937,126000.000000,2082.233480,24.9479,58.0605,job.375196.out
16,3,8,44,20,20,20,44,10,10,10,AVX2,NEW,12345,1320,3072,1.351680e+08,890,132000.000000,2122.779772,24.3507,56.6707,job.375197.out
16,3,8,46,20,20,20,46,10,10,10,AVX2,NEW,12345,1320,3072,1.413120e+08,837,138000.000000,2127.044702,23.8935,55.6068,job.375198.out
16,3,8,48,20,20,20,48,10,10,10,AVX2,NEW,12345,1320,3072,1.474560e+08,841,144000.000000,2148.390915,24.8026,57.7225,job.375199.out
16,3,8,50,20,20,20,50,10,10,10,AVX2,NEW,12345,1320,3072,1.536000e+08,761,150000.000000,2054.332069,24.4488,56.8991,job.375200.out
16,3,8,52,20,20,20,52,10,10,10,AVX2,NEW,12345,1320,3072,1.597440e+08,728,156000.000000,2127.474559,23.4879,54.6628,job.375201.out
16,3,8,54,20,20,20,54,10,10,10,AVX2,NEW,12345,1320,3072,1.658880e+08,678,162000.000000,2059.788206,23.4625,54.6037,job.375202.out
16,3,8,56,20,20,20,56,10,10,10,AVX2,NEW,12345,1320,3072,1.720320e+08,641,168000.000000,2047.511043,23.1416,53.8569,job.375203.out
