omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,AVX2,OLD,12345,1320,3072,6.144000e+07,1469,60000.000000,2222.678304,17.4481,40.6066,job.375602.out
16,3,8,22,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,1351,66000.000000,2241.841157,17.5004,40.7281,job.375603.out
16,3,8,24,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,1240,72000.000000,2214.329812,17.7404,41.2869,job.375604.out
16,3,8,26,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,1155,78000.000000,2234.799302,17.7374,41.2798,job.375605.out
16,3,8,28,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,1060,84000.000000,2204.188041,17.7742,41.3653,job.375606.out
16,3,8,32,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,1012,96000.000000,2240.839103,19.0763,44.3957,job.375608.out
16,3,8,30,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,1012,90000.000000,2230.448401,17.9673,41.8149,job.375607.out
16,3,8,34,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,898,102000.000000,2169.603179,18.5759,43.2311,job.375609.out
16,3,8,36,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,852,108000.000000,2246.864015,18.0194,41.936,job.375610.out
16,3,8,38,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,720,114000.000000,2138.054741,16.8916,39.3114,job.375611.out
16,3,8,40,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,659,120000.000000,2087.995890,16.6644,38.7826,job.375612.out
16,3,8,42,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,586,126000.000000,2167.315648,14.9899,34.8856,job.375613.out
16,3,8,46,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,662,138000.000000,2539.752403,15.827,36.8337,job.375615.out
16,3,8,44,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,609,132000.000000,2189.631631,16.1537,37.5941,job.375614.out
16,3,8,48,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,615,144000.000000,2604.628298,14.9604,34.817,job.375616.out
16,3,8,50,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,1.536000e+08,448,150000.000000,2166.664487,13.6468,31.7598,job.375617.out
16,3,8,56,20,20,20,56,10,10,10,AVX2,OLD,12345,1320,3072,1.720320e+08,501,168000.000000,2211.949537,16.7427,38.9647,job.375620.out
16,3,8,54,20,20,20,54,10,10,10,AVX2,OLD,12345,1320,3072,1.658880e+08,524,162000.000000,2543.082049,14.6872,34.1811,job.375619.out
16,3,8,52,20,20,20,52,10,10,10,AVX2,OLD,12345,1320,3072,1.597440e+08,495,156000.000000,2063.929572,16.4622,38.312,job.375618.out
16,3,8,58,20,20,20,58,10,10,10,AVX2,OLD,12345,1320,3072,1.781760e+08,458,174000.000000,2217.987881,15.8091,36.7922,job.375621.out
16,3,8,60,20,20,20,60,10,10,10,AVX2,OLD,12345,1320,3072,1.843200e+08,462,180000.000000,2229.742196,16.4101,38.1909,job.375622.out
16,3,8,62,20,20,20,62,10,10,10,AVX2,OLD,12345,1320,3072,1.904640e+08,437,186000.000000,2239.216725,15.9717,37.1705,job.375623.out
16,3,8,64,20,20,20,64,10,10,10,AVX2,OLD,12345,1320,3072,1.966080e+08,418,192000.000000,2203.801142,16.0235,37.2911,job.375624.out
16,3,8,66,20,20,20,66,10,10,10,AVX2,OLD,12345,1320,3072,2.027520e+08,362,198000.000000,2079.947454,15.1626,35.2875,job.375625.out
16,3,8,68,20,20,20,68,10,10,10,AVX2,OLD,12345,1320,3072,2.088960e+08,369,204000.000000,2214.407978,14.9572,34.8096,job.375626.out
16,3,8,70,20,20,20,70,10,10,10,AVX2,OLD,12345,1320,3072,2.150400e+08,357,210000.000000,2173.010321,15.1802,35.3285,job.375627.out
16,3,8,76,20,20,20,76,10,10,10,AVX2,OLD,12345,1320,3072,2.334720e+08,315,228000.000000,2119.079644,14.9125,34.7055,job.375630.out
16,3,8,72,20,20,20,72,10,10,10,AVX2,OLD,12345,1320,3072,2.211840e+08,356,216000.000000,2221.363042,15.2313,35.4474,job.375628.out
16,3,8,74,20,20,20,74,10,10,10,AVX2,OLD,12345,1320,3072,2.273280e+08,331,222000.000000,2660.082774,12.1545,28.2869,job.375629.out
16,3,8,78,20,20,20,78,10,10,10,AVX2,OLD,12345,1320,3072,2.396160e+08,320,234000.000000,2346.170232,14.043,32.6818,job.375631.out
16,3,8,80,20,20,20,80,10,10,10,AVX2,OLD,12345,1320,3072,2.457600e+08,308,240000.000000,2336.225120,13.9219,32.4002,job.375632.out
16,3,8,86,20,20,20,86,10,10,10,AVX2,OLD,12345,1320,3072,2.641920e+08,282,258000.000000,2272.182240,14.0889,32.7888,job.375635.out
16,3,8,84,20,20,20,84,10,10,10,AVX2,OLD,12345,1320,3072,2.580480e+08,267,252000.000000,2375.037090,12.4651,29.0096,job.375634.out
16,3,8,82,20,20,20,82,10,10,10,AVX2,OLD,12345,1320,3072,2.519040e+08,285,246000.000000,2273.527093,13.5685,31.5776,job.375633.out
16,3,8,88,20,20,20,88,10,10,10,AVX2,OLD,12345,1320,3072,2.703360e+08,268,264000.000000,2237.052567,13.916,32.3864,job.375636.out
16,3,8,90,20,20,20,90,10,10,10,AVX2,OLD,12345,1320,3072,2.764800e+08,264,270000.000000,2279.210905,13.7606,32.0246,job.375637.out
16,3,8,94,20,20,20,94,10,10,10,AVX2,OLD,12345,1320,3072,2.887680e+08,244,282000.000000,2276.983335,13.2963,30.9442,job.375639.out
16,3,8,92,20,20,20,92,10,10,10,AVX2,OLD,12345,1320,3072,2.826240e+08,241,276000.000000,2161.011682,13.5432,31.5187,job.375638.out
