omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,AVX2,OLD,12345,1320,3072,6.144000e+07,1446,60000.000000,2207.843667,17.2904,40.2394,job.374979.out
16,3,8,22,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,1304,66000.000000,2202.281371,17.195,40.0174,job.374980.out
16,3,8,24,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,1233,72000.000000,2206.205284,17.7053,41.205,job.374981.out
16,3,8,28,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,1043,84000.000000,2186.876524,17.6276,41.0241,job.374983.out
16,3,8,26,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,1178,78000.000000,2308.085385,17.5162,40.765,job.374982.out
16,3,8,30,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,970,90000.000000,2181.642303,17.6069,40.9761,job.374984.out
16,3,8,32,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,957,96000.000000,2226.408204,18.1565,42.255,job.374985.out
16,3,8,36,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,831,108000.000000,2187.358938,18.0533,42.015,job.374988.out
16,3,8,38,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,754,114000.000000,2218.632301,17.0468,39.6726,job.374989.out
16,3,8,42,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,568,126000.000000,2074.020518,15.183,35.3351,job.374991.out
16,3,8,44,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,546,132000.000000,2056.782986,15.4181,35.8821,job.374992.out
16,3,8,40,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,752,120000.000000,2444.000848,16.2461,37.8092,job.374990.out
16,3,8,34,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,898,102000.000000,2193.157043,18.3764,42.7668,job.374987.out
16,3,8,46,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,628,138000.000000,2412.107434,15.8086,36.791,job.374993.out
16,3,8,48,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,482,144000.000000,2141.883238,14.2583,33.1829,job.374994.out
16,3,8,50,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,1.536000e+08,572,150000.000000,2148.699625,17.5697,40.8895,job.374995.out
16,3,8,54,20,20,20,54,10,10,10,AVX2,OLD,12345,1320,3072,1.658880e+08,512,162000.000000,2197.971642,16.6041,38.6423,job.374997.out
16,3,8,56,20,20,20,56,10,10,10,AVX2,OLD,12345,1320,3072,1.720320e+08,471,168000.000000,2095.848671,16.612,38.6607,job.374998.out
16,3,8,58,20,20,20,58,10,10,10,AVX2,OLD,12345,1320,3072,1.781760e+08,463,174000.000000,2118.095719,16.7354,38.948,job.374999.out
16,3,8,52,20,20,20,52,10,10,10,AVX2,OLD,12345,1320,3072,1.597440e+08,394,156000.000000,2048.604662,13.2013,30.7229,job.374996.out
16,3,8,60,20,20,20,60,10,10,10,AVX2,OLD,12345,1320,3072,1.843200e+08,432,180000.000000,2526.413720,13.5427,31.5175,job.375000.out
16,3,8,64,20,20,20,64,10,10,10,AVX2,OLD,12345,1320,3072,1.966080e+08,395,192000.000000,2119.906154,15.7411,36.6338,job.375002.out
16,3,8,62,20,20,20,62,10,10,10,AVX2,OLD,12345,1320,3072,1.904640e+08,422,186000.000000,2189.129820,15.7764,36.7159,job.375001.out
16,3,8,68,20,20,20,68,10,10,10,AVX2,OLD,12345,1320,3072,2.088960e+08,369,204000.000000,2136.381517,15.5035,36.0809,job.375004.out
16,3,8,72,20,20,20,72,10,10,10,AVX2,OLD,12345,1320,3072,2.211840e+08,358,216000.000000,2241.300503,15.1806,35.3294,job.375006.out
16,3,8,66,20,20,20,66,10,10,10,AVX2,OLD,12345,1320,3072,2.027520e+08,373,198000.000000,2136.689691,15.2085,35.3942,job.375003.out
16,3,8,70,20,20,20,70,10,10,10,AVX2,OLD,12345,1320,3072,2.150400e+08,365,210000.000000,2182.555700,15.4525,35.9622,job.375005.out
16,3,8,74,20,20,20,74,10,10,10,AVX2,OLD,12345,1320,3072,2.273280e+08,325,222000.000000,2131.205004,14.8958,34.6666,job.375007.out
16,3,8,76,20,20,20,76,10,10,10,AVX2,OLD,12345,1320,3072,2.334720e+08,332,228000.000000,2205.946749,15.0984,35.1381,job.375008.out
16,3,8,80,20,20,20,80,10,10,10,AVX2,OLD,12345,1320,3072,2.457600e+08,308,240000.000000,2178.149081,14.9323,34.7516,job.375010.out
16,3,8,78,20,20,20,78,10,10,10,AVX2,OLD,12345,1320,3072,2.396160e+08,305,234000.000000,2372.426871,13.2366,30.8051,job.375009.out
16,3,8,84,20,20,20,84,10,10,10,AVX2,OLD,12345,1320,3072,2.580480e+08,289,252000.000000,2266.965637,14.1353,32.8968,job.375012.out
16,3,8,86,20,20,20,86,10,10,10,AVX2,OLD,12345,1320,3072,2.641920e+08,281,258000.000000,2177.876054,14.6469,34.0873,job.375013.out
16,3,8,82,20,20,20,82,10,10,10,AVX2,OLD,12345,1320,3072,2.519040e+08,295,246000.000000,2343.774479,13.6237,31.706,job.375011.out
16,3,8,88,20,20,20,88,10,10,10,AVX2,OLD,12345,1320,3072,2.703360e+08,252,264000.000000,2171.077604,13.4829,31.3783,job.375014.out
16,3,8,90,20,20,20,90,10,10,10,AVX2,OLD,12345,1320,3072,2.764800e+08,261,270000.000000,2251.010704,13.7746,32.0573,job.375015.out
16,3,8,92,20,20,20,92,10,10,10,AVX2,OLD,12345,1320,3072,2.826240e+08,237,276000.000000,2058.867857,13.9792,32.5334,job.375016.out
16,3,8,94,20,20,20,94,10,10,10,AVX2,OLD,12345,1320,3072,2.887680e+08,249,282000.000000,2197.637270,14.0587,32.7184,job.375017.out
16,3,8,96,20,20,20,96,10,10,10,AVX2,OLD,12345,1320,3072,2.949120e+08,220,288000.000000,2039.814185,13.6671,31.8071,job.375018.out
16,3,8,98,20,20,20,98,10,10,10,AVX2,OLD,12345,1320,3072,3.010560e+08,234,294000.000000,2183.007488,13.8663,32.2707,job.375019.out
16,3,8,100,20,20,20,100,10,10,10,AVX2,OLD,12345,1320,3072,3.072000e+08,224,300000.000000,2168.404892,13.6358,31.7343,job.375020.out
16,3,8,102,20,20,20,102,10,10,10,AVX2,OLD,12345,1320,3072,3.133440e+08,217,306000.000000,2220.232832,13.1594,30.6255,job.375021.out
16,3,8,104,20,20,20,104,10,10,10,AVX2,OLD,12345,1320,3072,3.194880e+08,216,312000.000000,2258.925008,13.1268,30.5497,job.375022.out
16,3,8,108,20,20,20,108,10,10,10,AVX2,OLD,12345,1320,3072,3.317760e+08,192,324000.000000,2113.002781,12.9538,30.1471,job.375024.out
16,3,8,106,20,20,20,106,10,10,10,AVX2,OLD,12345,1320,3072,3.256320e+08,210,318000.000000,2177.136962,13.4963,31.4095,job.375023.out
16,3,8,110,20,20,20,110,10,10,10,AVX2,OLD,12345,1320,3072,3.379200e+08,181,330000.000000,2015.487612,13.0396,30.3468,job.375025.out
16,3,8,112,20,20,20,112,10,10,10,AVX2,OLD,12345,1320,3072,3.440640e+08,191,336000.000000,2177.294152,12.9691,30.1825,job.375026.out
16,3,8,114,20,20,20,114,10,10,10,AVX2,OLD,12345,1320,3072,3.502080e+08,188,342000.000000,2236.560534,12.649,29.4377,job.375027.out
16,3,8,116,20,20,20,116,10,10,10,AVX2,OLD,12345,1320,3072,3.563520e+08,167,348000.000000,2025.766880,12.6229,29.3769,job.375028.out
16,3,8,118,20,20,20,118,10,10,10,AVX2,OLD,12345,1320,3072,3.624960e+08,170,354000.000000,2038.615978,12.9888,30.2285,job.375029.out
16,3,8,120,20,20,20,120,10,10,10,AVX2,OLD,12345,1320,3072,3.686400e+08,184,360000.000000,2277.274473,12.7985,29.7855,job.375030.out
16,3,8,124,20,20,20,124,10,10,10,AVX2,OLD,12345,1320,3072,3.809280e+08,160,372000.000000,2069.168007,12.6567,29.4555,job.375032.out
16,3,8,122,20,20,20,122,10,10,10,AVX2,OLD,12345,1320,3072,3.747840e+08,178,366000.000000,2191.201767,13.0819,30.4452,job.375031.out
16,3,8,126,20,20,20,126,10,10,10,AVX2,OLD,12345,1320,3072,3.870720e+08,173,378000.000000,2234.145114,12.8789,29.9727,job.375033.out
16,3,8,128,20,20,20,128,10,10,10,AVX2,OLD,12345,1320,3072,3.932160e+08,159,384000.000000,2074.207799,12.9518,30.1423,job.375034.out
