omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,8,20,20,20,20,20,10,10,10,VECT,OLD,12345,1320,3072,6.144000e+07,1443,60000.000000,2221.505535,17.1484,39.9089,job.376853.out
16,3,8,22,20,20,20,22,10,10,10,VECT,OLD,12345,1320,3072,6.758400e+07,1303,66000.000000,2354.871020,16.0684,37.3957,job.376854.out
16,3,8,24,20,20,20,24,10,10,10,VECT,OLD,12345,1320,3072,7.372800e+07,1219,72000.000000,2235.502349,17.2748,40.2032,job.376855.out
16,3,8,28,20,20,20,28,10,10,10,VECT,OLD,12345,1320,3072,8.601600e+07,1031,84000.000000,2194.795305,17.3619,40.4058,job.376857.out
16,3,8,26,20,20,20,26,10,10,10,VECT,OLD,12345,1320,3072,7.987200e+07,1110,78000.000000,2215.128491,17.1977,40.0238,job.376856.out
16,3,8,30,20,20,20,30,10,10,10,VECT,OLD,12345,1320,3072,9.216000e+07,948,90000.000000,2206.236150,17.0158,39.6003,job.376858.out
16,3,8,32,20,20,20,32,10,10,10,VECT,OLD,12345,1320,3072,9.830400e+07,885,96000.000000,2118.256540,17.6477,41.0711,job.376859.out
16,3,8,34,20,20,20,34,10,10,10,VECT,OLD,12345,1320,3072,1.044480e+08,880,102000.000000,2192.911823,18.01,41.9142,job.376860.out
16,3,8,36,20,20,20,36,10,10,10,VECT,OLD,12345,1320,3072,1.105920e+08,821,108000.000000,2204.113678,17.7005,41.1939,job.376861.out
16,3,8,38,20,20,20,38,10,10,10,VECT,OLD,12345,1320,3072,1.167360e+08,732,114000.000000,2212.641565,16.5942,38.6193,job.376862.out
16,3,8,40,20,20,20,40,10,10,10,VECT,OLD,12345,1320,3072,1.228800e+08,615,120000.000000,2036.807364,15.9426,37.1028,job.376863.out
16,3,8,42,20,20,20,42,10,10,10,VECT,OLD,12345,1320,3072,1.290240e+08,568,126000.000000,2026.501468,15.5391,36.1636,job.376864.out
16,3,8,44,20,20,20,44,10,10,10,VECT,OLD,12345,1320,3072,1.351680e+08,521,132000.000000,2082.714994,14.529,33.8128,job.376865.out
16,3,8,48,20,20,20,48,10,10,10,VECT,OLD,12345,1320,3072,1.474560e+08,439,144000.000000,2132.947112,13.0407,30.3492,job.376867.out
16,3,8,46,20,20,20,46,10,10,10,VECT,OLD,12345,1320,3072,1.413120e+08,540,138000.000000,2313.388941,14.1735,32.9856,job.376866.out
16,3,8,52,20,20,20,52,10,10,10,VECT,OLD,12345,1320,3072,1.597440e+08,537,156000.000000,2212.706327,16.6582,38.7681,job.376869.out
16,3,8,50,20,20,20,50,10,10,10,VECT,OLD,12345,1320,3072,1.536000e+08,403,150000.000000,2081.525312,12.7781,29.7382,job.376868.out
16,3,8,54,20,20,20,54,10,10,10,VECT,OLD,12345,1320,3072,1.658880e+08,495,162000.000000,2618.167681,13.4764,31.3634,job.376870.out
16,3,8,56,20,20,20,56,10,10,10,VECT,OLD,12345,1320,3072,1.720320e+08,459,168000.000000,2081.376864,16.3014,37.9377,job.376871.out
16,3,8,58,20,20,20,58,10,10,10,VECT,OLD,12345,1320,3072,1.781760e+08,428,174000.000000,2050.466257,15.9806,37.1912,job.376872.out
16,3,8,60,20,20,20,60,10,10,10,VECT,OLD,12345,1320,3072,1.843200e+08,377,180000.000000,2078.855916,14.3629,33.4264,job.376873.out
16,3,8,62,20,20,20,62,10,10,10,VECT,OLD,12345,1320,3072,1.904640e+08,440,186000.000000,2368.212506,15.2054,35.3871,job.376874.out
16,3,8,66,20,20,20,66,10,10,10,VECT,OLD,12345,1320,3072,2.027520e+08,389,198000.000000,2234.487857,15.1666,35.2969,job.376876.out
16,3,8,64,20,20,20,64,10,10,10,VECT,OLD,12345,1320,3072,1.966080e+08,367,192000.000000,2191.628075,14.1466,32.9231,job.376875.out
16,3,8,68,20,20,20,68,10,10,10,VECT,OLD,12345,1320,3072,2.088960e+08,388,204000.000000,2246.955376,15.4996,36.0718,job.376877.out
16,3,8,70,20,20,20,70,10,10,10,VECT,OLD,12345,1320,3072,2.150400e+08,365,210000.000000,2334.273530,14.4482,33.6249,job.376878.out
16,3,8,72,20,20,20,72,10,10,10,VECT,OLD,12345,1320,3072,2.211840e+08,349,216000.000000,2198.450225,15.0874,35.1126,job.376879.out
16,3,8,74,20,20,20,74,10,10,10,VECT,OLD,12345,1320,3072,2.273280e+08,306,222000.000000,2163.571376,13.8152,32.1516,job.376880.out
16,3,8,76,20,20,20,76,10,10,10,VECT,OLD,12345,1320,3072,2.334720e+08,317,228000.000000,2136.488544,14.8849,34.6412,job.376881.out
16,3,8,78,20,20,20,78,10,10,10,VECT,OLD,12345,1320,3072,2.396160e+08,322,234000.000000,2277.057526,14.5596,33.8842,job.376882.out
16,3,8,82,20,20,20,82,10,10,10,VECT,OLD,12345,1320,3072,2.519040e+08,292,246000.000000,2331.662731,13.5552,31.5466,job.376884.out
16,3,8,80,20,20,20,80,10,10,10,VECT,OLD,12345,1320,3072,2.457600e+08,292,240000.000000,2460.840650,12.5304,29.1615,job.376883.out
16,3,8,86,20,20,20,86,10,10,10,VECT,OLD,12345,1320,3072,2.641920e+08,263,258000.000000,2330.204749,12.8125,29.8182,job.376886.out
16,3,8,88,20,20,20,88,10,10,10,VECT,OLD,12345,1320,3072,2.703360e+08,259,264000.000000,2287.918761,13.1497,30.6029,job.376887.out
16,3,8,84,20,20,20,84,10,10,10,VECT,OLD,12345,1320,3072,2.580480e+08,276,252000.000000,2430.695145,12.5902,29.3008,job.376885.out
16,3,8,92,20,20,20,92,10,10,10,VECT,OLD,12345,1320,3072,2.826240e+08,254,276000.000000,2307.299191,13.3688,31.1128,job.376889.out
16,3,8,90,20,20,20,90,10,10,10,VECT,OLD,12345,1320,3072,2.764800e+08,250,270000.000000,2226.967731,13.3365,31.0377,job.376888.out
16,3,8,94,20,20,20,94,10,10,10,VECT,OLD,12345,1320,3072,2.887680e+08,248,282000.000000,2380.611174,12.926,30.0824,job.376890.out
16,3,8,96,20,20,20,96,10,10,10,VECT,OLD,12345,1320,3072,2.949120e+08,245,288000.000000,2211.104663,14.0411,32.6775,job.376891.out
16,3,8,98,20,20,20,98,10,10,10,VECT,OLD,12345,1320,3072,3.010560e+08,213,294000.000000,2231.809173,12.3459,28.7323,job.376892.out
16,3,8,102,20,20,20,102,10,10,10,VECT,OLD,12345,1320,3072,3.133440e+08,202,306000.000000,2016.670168,13.4862,31.3861,job.376894.out
16,3,8,100,20,20,20,100,10,10,10,VECT,OLD,12345,1320,3072,3.072000e+08,220,300000.000000,2281.612066,12.7278,29.6212,job.376893.out
16,3,8,106,20,20,20,106,10,10,10,VECT,OLD,12345,1320,3072,3.256320e+08,215,318000.000000,2333.411091,12.8922,30.0037,job.376896.out
16,3,8,104,20,20,20,104,10,10,10,VECT,OLD,12345,1320,3072,3.194880e+08,209,312000.000000,2139.945276,13.4076,31.2031,job.376895.out
16,3,8,108,20,20,20,108,10,10,10,VECT,OLD,12345,1320,3072,3.317760e+08,178,324000.000000,2046.636821,12.3987,28.8552,job.376897.out
16,3,8,110,20,20,20,110,10,10,10,VECT,OLD,12345,1320,3072,3.379200e+08,200,330000.000000,2231.060418,13.0162,30.2923,job.376898.out
