omp_thrd,Gauge_group,MPI_size,GLB_T,GLB_X,GLB_Y,GLB_Z,LOC_T,LOC_X,LOC_Y,LOC_Z,algb_kernel,geom_type,RLXD,SITE_FLOP,SITE_BYTE,Dirc_Data_Mov,reps,data_in_kb,msec,GFLOPS,BAND,Job_Output
16,3,16,46,20,20,20,23,10,10,10,AVX2,OLD,12345,1320,3072,7.065600e+07,1685,69000.000000,2049.079803,24.9656,58.1019,job.379353.out
16,3,16,48,20,20,20,24,10,10,10,AVX2,OLD,12345,1320,3072,7.372800e+07,1791,72000.000000,2176.867692,26.0645,60.6591,job.379354.out
16,3,16,44,20,20,20,22,10,10,10,AVX2,OLD,12345,1320,3072,6.758400e+07,1899,66000.000000,2259.889968,24.4025,56.7913,job.379352.out
16,3,16,42,20,20,20,21,10,10,10,AVX2,OLD,12345,1320,3072,6.451200e+07,1872,63000.000000,2241.940925,23.1459,53.8669,job.379351.out
16,3,16,52,20,20,20,26,10,10,10,AVX2,OLD,12345,1320,3072,7.987200e+07,1769,78000.000000,2271.941098,26.7226,62.1907,job.379356.out
16,3,16,50,20,20,20,25,10,10,10,AVX2,OLD,12345,1320,3072,7.680000e+07,1736,75000.000000,2193.671488,26.1151,60.777,job.379355.out
16,3,16,54,20,20,20,27,10,10,10,AVX2,OLD,12345,1320,3072,8.294400e+07,1760,81000.000000,2240.349149,27.9985,65.1601,job.379357.out
16,3,16,56,20,20,20,28,10,10,10,AVX2,OLD,12345,1320,3072,8.601600e+07,1656,84000.000000,2087.340829,29.3224,68.2411,job.379358.out
16,3,16,60,20,20,20,30,10,10,10,AVX2,OLD,12345,1320,3072,9.216000e+07,1511,90000.000000,2166.142078,27.6231,64.2865,job.379360.out
16,3,16,58,20,20,20,29,10,10,10,AVX2,OLD,12345,1320,3072,8.908800e+07,1628,87000.000000,2413.353120,25.8229,60.097,job.379359.out
16,3,16,62,20,20,20,31,10,10,10,AVX2,OLD,12345,1320,3072,9.523200e+07,1504,93000.000000,2151.152045,28.6096,66.5824,job.379361.out
16,3,16,64,20,20,20,32,10,10,10,AVX2,OLD,12345,1320,3072,9.830400e+07,1413,96000.000000,2092.067544,28.5293,66.3953,job.379362.out
16,3,16,66,20,20,20,33,10,10,10,AVX2,OLD,12345,1320,3072,1.013760e+08,1311,99000.000000,2065.915367,27.6425,64.3317,job.379363.out
16,3,16,68,20,20,20,34,10,10,10,AVX2,OLD,12345,1320,3072,1.044480e+08,1361,102000.000000,2202.546302,27.7323,64.5406,job.379364.out
16,3,16,70,20,20,20,35,10,10,10,AVX2,OLD,12345,1320,3072,1.075200e+08,1505,105000.000000,2563.843017,27.1198,63.1153,job.379365.out
16,3,16,72,20,20,20,36,10,10,10,AVX2,OLD,12345,1320,3072,1.105920e+08,1442,108000.000000,2234.271901,30.6694,71.3761,job.379366.out
16,3,16,74,20,20,20,37,10,10,10,AVX2,OLD,12345,1320,3072,1.136640e+08,1339,111000.000000,2229.069695,29.3381,68.2779,job.379367.out
16,3,16,76,20,20,20,38,10,10,10,AVX2,OLD,12345,1320,3072,1.167360e+08,1309,114000.000000,2615.993122,25.0992,58.4128,job.379368.out
16,3,16,80,20,20,20,40,10,10,10,AVX2,OLD,12345,1320,3072,1.228800e+08,1242,120000.000000,2240.577508,29.2682,68.115,job.379370.out
16,3,16,78,20,20,20,39,10,10,10,AVX2,OLD,12345,1320,3072,1.198080e+08,1305,117000.000000,2720.359666,24.6958,57.4738,job.379369.out
16,3,16,84,20,20,20,42,10,10,10,AVX2,OLD,12345,1320,3072,1.290240e+08,1136,126000.000000,2188.910769,28.7722,66.9608,job.379372.out
16,3,16,82,20,20,20,41,10,10,10,AVX2,OLD,12345,1320,3072,1.259520e+08,1161,123000.000000,2919.222153,21.524,50.0922,job.379371.out
16,3,16,86,20,20,20,43,10,10,10,AVX2,OLD,12345,1320,3072,1.320960e+08,1123,129000.000000,2336.402062,27.2819,63.4924,job.379373.out
16,3,16,88,20,20,20,44,10,10,10,AVX2,OLD,12345,1320,3072,1.351680e+08,1077,132000.000000,2199.367680,28.441,66.1899,job.379374.out
16,3,16,90,20,20,20,45,10,10,10,AVX2,OLD,12345,1320,3072,1.382400e+08,1007,135000.000000,2171.005719,27.5521,64.1213,job.379375.out
16,3,16,92,20,20,20,46,10,10,10,AVX2,OLD,12345,1320,3072,1.413120e+08,970,138000.000000,2176.613316,27.0597,62.9752,job.379376.out
16,3,16,94,20,20,20,47,10,10,10,AVX2,OLD,12345,1320,3072,1.443840e+08,952,141000.000000,2190.851379,26.9585,62.7398,job.379377.out
16,3,16,96,20,20,20,48,10,10,10,AVX2,OLD,12345,1320,3072,1.474560e+08,934,144000.000000,2218.774467,26.6716,62.0721,job.379378.out
16,3,16,98,20,20,20,49,10,10,10,AVX2,OLD,12345,1320,3072,1.505280e+08,829,147000.000000,2096.998521,25.5697,59.5078,job.379379.out
16,3,16,100,20,20,20,50,10,10,10,AVX2,OLD,12345,1320,3072,1.536000e+08,849,150000.000000,2210.574749,25.3482,58.9921,job.379380.out
16,3,16,102,20,20,20,51,10,10,10,AVX2,OLD,12345,1320,3072,1.566720e+08,793,153000.000000,2104.186412,25.3707,59.0446,job.379381.out
16,3,16,104,20,20,20,52,10,10,10,AVX2,OLD,12345,1320,3072,1.597440e+08,819,156000.000000,2328.760290,24.14,56.1803,job.379382.out
16,3,16,106,20,20,20,53,10,10,10,AVX2,OLD,12345,1320,3072,1.628160e+08,725,159000.000000,2166.638869,23.41,54.4814,job.379383.out
16,3,16,108,20,20,20,54,10,10,10,AVX2,OLD,12345,1320,3072,1.658880e+08,732,162000.000000,2195.273542,23.7679,55.3143,job.379384.out
16,3,16,110,20,20,20,55,10,10,10,AVX2,OLD,12345,1320,3072,1.689600e+08,720,165000.000000,2174.194389,24.042,55.9523,job.379385.out
16,3,16,112,20,20,20,56,10,10,10,AVX2,OLD,12345,1320,3072,1.720320e+08,637,168000.000000,2043.067567,23.0472,53.6372,job.379386.out
16,3,16,114,20,20,20,57,10,10,10,AVX2,OLD,12345,1320,3072,1.751040e+08,670,171000.000000,2212.508606,22.7845,53.0256,job.379387.out
16,3,16,116,20,20,20,58,10,10,10,AVX2,OLD,12345,1320,3072,1.781760e+08,646,174000.000000,2188.852840,22.5953,52.5854,job.379388.out
16,3,16,118,20,20,20,59,10,10,10,AVX2,OLD,12345,1320,3072,1.812480e+08,633,177000.000000,2180.999843,22.6034,52.6043,job.379389.out
16,3,16,120,20,20,20,60,10,10,10,AVX2,OLD,12345,1320,3072,1.843200e+08,585,180000.000000,2067.866637,22.4057,52.1442,job.379390.out
16,3,16,122,20,20,20,61,10,10,10,AVX2,OLD,12345,1320,3072,1.873920e+08,574,183000.000000,2147.675063,21.5202,50.0835,job.379391.out
16,3,16,124,20,20,20,62,10,10,10,AVX2,OLD,12345,1320,3072,1.904640e+08,570,186000.000000,2205.980372,21.1465,49.2137,job.379392.out
16,3,16,126,20,20,20,63,10,10,10,AVX2,OLD,12345,1320,3072,1.935360e+08,559,189000.000000,2170.386488,21.4185,49.8467,job.379393.out
16,3,16,128,20,20,20,64,10,10,10,AVX2,OLD,12345,1320,3072,1.966080e+08,551,192000.000000,2155.725702,21.593,50.2527,job.379394.out
16,3,16,130,20,20,20,65,10,10,10,AVX2,OLD,12345,1320,3072,1.996800e+08,528,195000.000000,2175.849523,20.8206,48.4551,job.379395.out
16,3,16,132,20,20,20,66,10,10,10,AVX2,OLD,12345,1320,3072,2.027520e+08,500,198000.000000,2114.806801,20.5976,47.9363,job.379396.out
16,3,16,136,20,20,20,68,10,10,10,AVX2,OLD,12345,1320,3072,2.088960e+08,534,204000.000000,2292.531225,20.9078,48.6582,job.379398.out
16,3,16,134,20,20,20,67,10,10,10,AVX2,OLD,12345,1320,3072,2.058240e+08,518,201000.000000,2199.397226,20.8293,48.4755,job.379397.out
16,3,16,138,20,20,20,69,10,10,10,AVX2,OLD,12345,1320,3072,2.119680e+08,486,207000.000000,2164.937979,20.4463,47.584,job.379399.out
16,3,16,140,20,20,20,70,10,10,10,AVX2,OLD,12345,1320,3072,2.150400e+08,472,210000.000000,2201.465765,19.8108,46.1051,job.379400.out
16,3,16,142,20,20,20,71,10,10,10,AVX2,OLD,12345,1320,3072,2.181120e+08,463,213000.000000,2162.788979,20.0632,46.6924,job.379401.out
16,3,16,144,20,20,20,72,10,10,10,AVX2,OLD,12345,1320,3072,2.211840e+08,459,216000.000000,2197.370034,19.8525,46.2023,job.379402.out
16,3,16,146,20,20,20,73,10,10,10,AVX2,OLD,12345,1320,3072,2.242560e+08,420,219000.000000,2279.743391,17.7525,41.315,job.379403.out
16,3,16,148,20,20,20,74,10,10,10,AVX2,OLD,12345,1320,3072,2.273280e+08,431,222000.000000,2137.908526,19.6922,45.8291,job.379404.out
16,3,16,150,20,20,20,75,10,10,10,AVX2,OLD,12345,1320,3072,2.304000e+08,429,225000.000000,2170.925749,19.5635,45.5297,job.379405.out
16,3,16,152,20,20,20,76,10,10,10,AVX2,OLD,12345,1320,3072,2.334720e+08,410,228000.000000,2122.960423,19.3745,45.0896,job.379406.out
16,3,16,154,20,20,20,77,10,10,10,AVX2,OLD,12345,1320,3072,2.365440e+08,397,231000.000000,2131.622187,18.9298,44.0547,job.379407.out
16,3,16,156,20,20,20,78,10,10,10,AVX2,OLD,12345,1320,3072,2.396160e+08,403,234000.000000,2228.756658,18.6171,43.327,job.379408.out
16,3,16,158,20,20,20,79,10,10,10,AVX2,OLD,12345,1320,3072,2.426880e+08,415,237000.000000,2260.198265,19.1471,44.5605,job.379409.out
16,3,16,160,20,20,20,80,10,10,10,AVX2,OLD,12345,1320,3072,2.457600e+08,384,240000.000000,2079.333482,19.5016,45.3856,job.379410.out
16,3,16,162,20,20,20,81,10,10,10,AVX2,OLD,12345,1320,3072,2.488320e+08,363,243000.000000,2096.894657,18.5093,43.0761,job.379411.out
16,3,16,164,20,20,20,82,10,10,10,AVX2,OLD,12345,1320,3072,2.519040e+08,389,246000.000000,2272.165880,18.5309,43.1265,job.379412.out
16,3,16,166,20,20,20,83,10,10,10,AVX2,OLD,12345,1320,3072,2.549760e+08,380,249000.000000,2239.889988,18.587,43.257,job.379413.out
16,3,16,168,20,20,20,84,10,10,10,AVX2,OLD,12345,1320,3072,2.580480e+08,360,252000.000000,2164.359344,18.4428,42.9214,job.379414.out
16,3,16,170,20,20,20,85,10,10,10,AVX2,OLD,12345,1320,3072,2.611200e+08,329,255000.000000,2071.322968,17.8214,41.4752,job.379415.out
16,3,16,172,20,20,20,86,10,10,10,AVX2,OLD,12345,1320,3072,2.641920e+08,347,258000.000000,2041.400240,19.2963,44.9077,job.379416.out
16,3,16,174,20,20,20,87,10,10,10,AVX2,OLD,12345,1320,3072,2.672640e+08,354,261000.000000,2253.468403,18.0404,41.9848,job.379417.out
16,3,16,176,20,20,20,88,10,10,10,AVX2,OLD,12345,1320,3072,2.703360e+08,338,264000.000000,2190.039937,17.9276,41.7223,job.379418.out
16,3,16,178,20,20,20,89,10,10,10,AVX2,OLD,12345,1320,3072,2.734080e+08,319,267000.000000,2149.161771,17.4376,40.5819,job.379419.out
16,3,16,180,20,20,20,90,10,10,10,AVX2,OLD,12345,1320,3072,2.764800e+08,320,270000.000000,2103.628406,18.0716,42.0576,job.379420.out
16,3,16,182,20,20,20,91,10,10,10,AVX2,OLD,12345,1320,3072,2.795520e+08,328,273000.000000,2211.335466,17.817,41.465,job.379421.out
16,3,16,184,20,20,20,92,10,10,10,AVX2,OLD,12345,1320,3072,2.826240e+08,316,276000.000000,2151.126898,17.8395,41.5174,job.379422.out
16,3,16,186,20,20,20,93,10,10,10,AVX2,OLD,12345,1320,3072,2.856960e+08,295,279000.000000,2091.299194,17.3166,40.3005,job.379423.out
16,3,16,188,20,20,20,94,10,10,10,AVX2,OLD,12345,1320,3072,2.887680e+08,297,282000.000000,2090.433099,17.6288,41.027,job.379424.out
16,3,16,190,20,20,20,95,10,10,10,AVX2,OLD,12345,1320,3072,2.918400e+08,302,285000.000000,2027.756452,18.6762,43.4646,job.379425.out
16,3,16,192,20,20,20,96,10,10,10,AVX2,OLD,12345,1320,3072,2.949120e+08,291,288000.000000,2122.555863,17.3732,40.4321,job.379426.out
16,3,16,194,20,20,20,97,10,10,10,AVX2,OLD,12345,1320,3072,2.979840e+08,278,291000.000000,2106.350210,16.899,39.3285,job.379427.out
16,3,16,196,20,20,20,98,10,10,10,AVX2,OLD,12345,1320,3072,3.010560e+08,284,294000.000000,2079.342769,17.6682,41.1187,job.379428.out
16,3,16,198,20,20,20,99,10,10,10,AVX2,OLD,12345,1320,3072,3.041280e+08,279,297000.000000,2070.431827,17.6097,40.9826,job.379429.out
16,3,16,200,20,20,20,100,10,10,10,AVX2,OLD,12345,1320,3072,3.072000e+08,274,300000.000000,2082.889151,17.3643,40.4116,job.379430.out
16,3,16,202,20,20,20,101,10,10,10,AVX2,OLD,12345,1320,3072,3.102720e+08,280,303000.000000,2205.703553,16.9241,39.3871,job.379431.out
16,3,16,204,20,20,20,102,10,10,10,AVX2,OLD,12345,1320,3072,3.133440e+08,267,306000.000000,2103.011609,17.094,39.7824,job.379432.out
16,3,16,206,20,20,20,103,10,10,10,AVX2,OLD,12345,1320,3072,3.164160e+08,268,309000.000000,2130.313743,17.1042,39.8061,job.379433.out
16,3,16,208,20,20,20,104,10,10,10,AVX2,OLD,12345,1320,3072,3.194880e+08,259,312000.000000,2123.880778,16.7408,38.9605,job.379434.out
16,3,16,210,20,20,20,105,10,10,10,AVX2,OLD,12345,1320,3072,3.225600e+08,259,315000.000000,2148.094720,16.7113,38.8917,job.379435.out
16,3,16,212,20,20,20,106,10,10,10,AVX2,OLD,12345,1320,3072,3.256320e+08,251,318000.000000,2128.090203,16.503,38.407,job.379436.out
16,3,16,214,20,20,20,107,10,10,10,AVX2,OLD,12345,1320,3072,3.287040e+08,252,321000.000000,2135.918395,16.6638,38.7812,job.379437.out
16,3,16,216,20,20,20,108,10,10,10,AVX2,OLD,12345,1320,3072,3.317760e+08,239,324000.000000,2026.329035,16.8146,39.1321,job.379438.out
16,3,16,218,20,20,20,109,10,10,10,AVX2,OLD,12345,1320,3072,3.348480e+08,228,327000.000000,2110.810054,15.5413,36.1687,job.379439.out
16,3,16,220,20,20,20,110,10,10,10,AVX2,OLD,12345,1320,3072,3.379200e+08,245,330000.000000,2141.598397,16.611,38.6582,job.379440.out
16,3,16,222,20,20,20,111,10,10,10,AVX2,OLD,12345,1320,3072,3.409920e+08,229,333000.000000,2024.147613,16.5764,38.5778,job.379441.out
16,3,16,224,20,20,20,112,10,10,10,AVX2,OLD,12345,1320,3072,3.440640e+08,229,336000.000000,2051.334611,16.5041,38.4095,job.379442.out
16,3,16,226,20,20,20,113,10,10,10,AVX2,OLD,12345,1320,3072,3.471360e+08,216,339000.000000,2019.901530,15.9506,37.1213,job.379443.out
16,3,16,228,20,20,20,114,10,10,10,AVX2,OLD,12345,1320,3072,3.502080e+08,234,342000.000000,2170.746664,16.2213,37.7514,job.379444.out
16,3,16,230,20,20,20,115,10,10,10,AVX2,OLD,12345,1320,3072,3.532800e+08,230,345000.000000,2110.661917,16.5417,38.4971,job.379445.out
16,3,16,232,20,20,20,116,10,10,10,AVX2,OLD,12345,1320,3072,3.563520e+08,227,348000.000000,2045.298761,16.9942,39.5502,job.379446.out
16,3,16,234,20,20,20,117,10,10,10,AVX2,OLD,12345,1320,3072,3.594240e+08,211,351000.000000,2079.506687,15.6705,36.4694,job.379447.out
16,3,16,236,20,20,20,118,10,10,10,AVX2,OLD,12345,1320,3072,3.624960e+08,219,354000.000000,2131.681538,16.0021,37.2413,job.379448.out
16,3,16,238,20,20,20,119,10,10,10,AVX2,OLD,12345,1320,3072,3.655680e+08,222,357000.000000,2155.129504,16.1808,37.6572,job.379449.out
16,3,16,240,20,20,20,120,10,10,10,AVX2,OLD,12345,1320,3072,3.686400e+08,213,360000.000000,2110.870307,15.9835,37.1981,job.379450.out
16,3,16,244,20,20,20,122,10,10,10,AVX2,OLD,12345,1320,3072,3.747840e+08,204,366000.000000,2044.423971,16.0692,37.3973,job.379452.out
16,3,16,242,20,20,20,121,10,10,10,AVX2,OLD,12345,1320,3072,3.717120e+08,219,363000.000000,2291.559592,15.2641,35.5238,job.379451.out
16,3,16,246,20,20,20,123,10,10,10,AVX2,OLD,12345,1320,3072,3.778560e+08,205,369000.000000,2082.554894,15.9822,37.1949,job.379453.out
16,3,16,248,20,20,20,124,10,10,10,AVX2,OLD,12345,1320,3072,3.809280e+08,200,372000.000000,2053.852975,15.9388,37.094,job.379454.out
